observationAbout,value,unit,scalingFactor,variableMeasured
dcid:country/USA,24992,,,dcid:SampleSize_Count_Person_Years18Onwards_EducationalAttainmentNotHighSchoolGraduateOrAlternative_WithAsthma
dcid:country/USA,15.4,Percent,,dcid:Percent_Person_Years18Onwards_EducationalAttainmentNotHighSchoolGraduateOrAlternative_WithAsthma
dcid:country/USA,0.42,Percent,100,dcid:StdError_Count_Person_Years18Onwards_EducationalAttainmentNotHighSchoolGraduateOrAlternative_WithAsthma
dcid:country/USA,109107,,,dcid:SampleSize_Count_Person_Years18Onwards_EducationalAttainmentHighSchoolGraduateGedOrAlternative_WithAsthma
dcid:country/USA,13.9,Percent,,dcid:Percent_Person_Years18Onwards_EducationalAttainmentHighSchoolGraduateGedOrAlternative_WithAsthma
dcid:country/USA,0.22,Percent,100,dcid:StdError_Count_Person_Years18Onwards_EducationalAttainmentHighSchoolGraduateGedOrAlternative_WithAsthma
dcid:country/USA,175451,,,dcid:SampleSize_Count_Person_Years18Onwards_EducationalAttainmentCollegeGraduate_WithAsthma
dcid:country/USA,13.4,Percent,,dcid:Percent_Person_Years18Onwards_EducationalAttainmentCollegeGraduate_WithAsthma
dcid:country/USA,0.18,Percent,100,dcid:StdError_Count_Person_Years18Onwards_EducationalAttainmentCollegeGraduate_WithAsthma
dcid:geoId/01,356,,,dcid:SampleSize_Count_Person_Years18Onwards_EducationalAttainmentNotHighSchoolGraduateOrAlternative_WithAsthma
dcid:geoId/01,25.3,Percent,,dcid:Percent_Person_Years18Onwards_EducationalAttainmentNotHighSchoolGraduateOrAlternative_WithAsthma
dcid:geoId/01,3.05,Percent,100,dcid:StdError_Count_Person_Years18Onwards_EducationalAttainmentNotHighSchoolGraduateOrAlternative_WithAsthma
dcid:geoId/01,1243,,,dcid:SampleSize_Count_Person_Years18Onwards_EducationalAttainmentHighSchoolGraduateGedOrAlternative_WithAsthma
dcid:geoId/01,15.9,Percent,,dcid:Percent_Person_Years18Onwards_EducationalAttainmentHighSchoolGraduateGedOrAlternative_WithAsthma
dcid:geoId/01,1.44,Percent,100,dcid:StdError_Count_Person_Years18Onwards_EducationalAttainmentHighSchoolGraduateGedOrAlternative_WithAsthma
