observationAbout,observationDate,variableMeasured,value,unit,scalingFactor
dcid:country/USA,2021,dcid:SampleSize_Count_Person_NotHispanicOrLatino_WithAsthma_WhiteAlone,321217,,
dcid:country/USA,2021,dcid:Percent_Person_NotHispanicOrLatino_WithAsthma_WhiteAlone,14.8,Percent,
dcid:country/USA,2021,dcid:StdError_Count_Person_NotHispanicOrLatino_WithAsthma_WhiteAlone,0.13,Percent,100
dcid:country/USA,2021,dcid:SampleSize_Count_Person_NotHispanicOrLatino_WithAsthma_BlackOrAfricanAmericanAlone,31805,,
dcid:country/USA,2021,dcid:Percent_Person_NotHispanicOrLatino_WithAsthma_BlackOrAfricanAmericanAlone,16.9,Percent,
dcid:country/USA,2021,dcid:StdError_Count_Person_NotHispanicOrLatino_WithAsthma_BlackOrAfricanAmericanAlone,0.38,Percent,100
dcid:country/USA,2021,dcid:SampleSize_Count_Person_NotHispanicOrLatino_WithAsthma_OtherRace,32240,,
dcid:country/USA,2021,dcid:Percent_Person_NotHispanicOrLatino_WithAsthma_OtherRace,12.9,Percent,
dcid:country/USA,2021,dcid:StdError_Count_Person_NotHispanicOrLatino_WithAsthma_OtherRace,0.47,Percent,100
dcid:country/USA,2021,dcid:SampleSize_Count_Person_HispanicOrLatino_WithAsthma,34001,,
dcid:country/USA,2021,dcid:Percent_Person_HispanicOrLatino_WithAsthma,13,Percent,
dcid:country/USA,2021,dcid:StdError_Count_Person_HispanicOrLatino_WithAsthma,0.38,Percent,100
dcid:geoId/01,2021,dcid:SampleSize_Count_Person_NotHispanicOrLatino_WithAsthma_WhiteAlone,3075,,
dcid:geoId/01,2021,dcid:Percent_Person_NotHispanicOrLatino_WithAsthma_WhiteAlone,15.9,Percent,
dcid:geoId/01,2021,dcid:StdError_Count_Person_NotHispanicOrLatino_WithAsthma_WhiteAlone,0.92,Percent,100
dcid:geoId/01,2021,dcid:SampleSize_Count_Person_NotHispanicOrLatino_WithAsthma_BlackOrAfricanAmericanAlone,1169,,
dcid:geoId/01,2021,dcid:Percent_Person_NotHispanicOrLatino_WithAsthma_BlackOrAfricanAmericanAlone,17.9,Percent,
dcid:geoId/01,2021,dcid:StdError_Count_Person_NotHispanicOrLatino_WithAsthma_BlackOrAfricanAmericanAlone,1.63,Percent,100
dcid:geoId/01,2021,dcid:SampleSize_Count_Person_NotHispanicOrLatino_WithAsthma_OtherRace,190,,
dcid:geoId/01,2021,dcid:Percent_Person_NotHispanicOrLatino_WithAsthma_OtherRace,10.9,Percent,
dcid:geoId/01,2021,dcid:StdError_Count_Person_NotHispanicOrLatino_WithAsthma_OtherRace,2.8,Percent,100
dcid:geoId/01,2021,dcid:SampleSize_Count_Person_HispanicOrLatino_WithAsthma,84,,
dcid:geoId/01,2021,dcid:Percent_Person_HispanicOrLatino_WithAsthma,18.2,Percent,
dcid:geoId/01,2021,dcid:StdError_Count_Person_HispanicOrLatino_WithAsthma,5.16,Percent,100
