Reporting Area,Current MMWR Year,MMWR WEEK,observationDate,Label,Current week,"Current week, flag",Previous 52 week Max,"Previous 52 weeks Max, flag",Cumulative YTD Current MMWR Year,"Cumulative YTD Current MMWR Year, flag",Cumulative YTD Previous MMWR Year,"Cumulative YTD Previous MMWR Year, flag",LOCATION1,LOCATION2,sort_order,geocode
US RESIDENTS,2022,10,2022-03-06,Anthrax,,-,0.0,-,,-,,-,,US RESIDENTS,20221000001.0,
NEW ENGLAND,2022,10,2022-03-06,Anthrax,,-,0.0,-,,-,,-,,NEW ENGLAND,20221000002.0,
CONNECTICUT,2022,10,2022-03-06,Anthrax,,-,0.0,-,,-,,-,CONNECTICUT,,20221000003.0,POINT (-72.738288 41.575155)
MAINE,2022,10,2022-03-06,Anthrax,,-,0.0,-,,-,,-,MAINE,,20221000004.0,POINT (-69.06137 45.117911)
MASSACHUSETTS,2022,10,2022-03-06,Anthrax,,-,0.0,-,,-,,-,MASSACHUSETTS,,20221000005.0,POINT (-71.481104 42.151077)
NEW HAMPSHIRE,2022,10,2022-03-06,Anthrax,,-,0.0,-,,-,,-,NEW HAMPSHIRE,,20221000006.0,POINT (-71.57139 43.680429)
RHODE ISLAND,2022,10,2022-03-06,Anthrax,,-,0.0,-,,-,,-,RHODE ISLAND,,20221000007.0,POINT (-71.534637 41.572574)
VERMONT,2022,10,2022-03-06,Anthrax,,-,0.0,-,,-,,-,VERMONT,,20221000008.0,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2022,10,2022-03-06,Anthrax,,-,0.0,-,,-,,-,,MIDDLE ATLANTIC,20221000009.0,
NEW JERSEY,2022,10,2022-03-06,Anthrax,,-,0.0,-,,-,,-,NEW JERSEY,,20221000010.0,POINT (-74.655514 40.110253)
NEW YORK,2022,10,2022-03-06,Anthrax,,-,0.0,-,,-,,-,NEW YORK,,20221000011.0,POINT (-75.59655 42.921241)
NEW YORK CITY,2022,10,2022-03-06,Anthrax,,-,0.0,-,,-,,-,NEW YORK CITY,,20221000012.0,
PENNSYLVANIA,2022,10,2022-03-06,Anthrax,,-,0.0,-,,-,,-,PENNSYLVANIA,,20221000013.0,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2022,10,2022-03-06,Anthrax,,-,0.0,-,,-,,-,,EAST NORTH CENTRAL,20221000014.0,
ILLINOIS,2022,10,2022-03-06,Anthrax,,-,0.0,-,,-,,-,ILLINOIS,,20221000015.0,POINT (-89.148632 40.124144)
INDIANA,2022,10,2022-03-06,Anthrax,,-,0.0,-,,-,,-,INDIANA,,20221000016.0,POINT (-86.2818 39.919991)
MICHIGAN,2022,10,2022-03-06,Anthrax,,-,0.0,-,,-,,-,MICHIGAN,,20221000017.0,POINT (-85.730977 44.874798)
OHIO,2022,10,2022-03-06,Anthrax,,-,0.0,-,,-,,-,OHIO,,20221000018.0,POINT (-82.70936 40.415534)
