statvar,dcid
Annual_Amount_Emissions_CropResidues_CarbonDioxide,Annual_Emissions_CarbonDioxide_CropResidues
Annual_Amount_Emissions_ClimateTraceChemicals_CarbonDioxide,Annual_Emissions_CarbonDioxide_ClimateTraceChemicals
Annual_Amount_Emissions_ClimateTraceOtherChemicals_CarbonDioxide,Annual_Emissions_CarbonDioxide_ClimateTraceOtherChemicals
Annual_Amount_Emissions_ClimateTraceOtherMetals_CarbonDioxide,Annual_Emissions_CarbonDioxide_ClimateTraceOtherMetals
Annual_Amount_Emissions_ClimateTraceOtherMiningQuarrying_CarbonDioxide,Annual_Emissions_CarbonDioxide_ClimateTraceOtherMiningQuarrying
Annual_Amount_Emissions_CropResidues_CarbonDioxide,Annual_Emissions_CarbonDioxide_CropResidues
Annual_Amount_Emissions_DomesticShipping_CarbonDioxide,Annual_Emissions_CarbonDioxide_DomesticShipping
Annual_Amount_Emissions_DomesticWastewaterTreatmentAndDischarge_CarbonDioxide,Annual_Emissions_CarbonDioxide_DomesticWastewaterTreatmentAndDischarge
Annual_Amount_Emissions_EntericFermentationOperation_CarbonDioxide,Annual_Emissions_CarbonDioxide_EntericFermentationOperation
Annual_Amount_Emissions_EntericFermentationPasture_CarbonDioxide,Annual_Emissions_CarbonDioxide_EntericFermentationPasture
Annual_Amount_Emissions_FoodProcessingBeveragesTobaccoProduction_CarbonDioxide,Annual_Emissions_CarbonDioxide_FoodProcessingBeveragesTobaccoProduction
Annual_Amount_Emissions_FuelCombustionForNonResidentialCommercialOnsiteHeating_CarbonDioxide,Annual_Emissions_CarbonDioxide_FuelCombustionForNonResidentialCommercialOnsiteHeating
Annual_Amount_Emissions_GlassProduction_CarbonDioxide,Annual_Emissions_CarbonDioxide_GlassProduction
Annual_Amount_Emissions_HeatPlants_CarbonDioxide,Annual_Emissions_CarbonDioxide_HeatPlants
Annual_Amount_Emissions_IndustrialWastewaterTreatmentAndDischarge_CarbonDioxide,Annual_Emissions_CarbonDioxide_IndustrialWastewaterTreatmentAndDischarge
Annual_Amount_Emissions_InternationalShipping_CarbonDioxide,Annual_Emissions_CarbonDioxide_InternationalShipping
Annual_Amount_Emissions_LimeProduction_CarbonDioxide,Annual_Emissions_CarbonDioxide_LimeProduction
Annual_Amount_Emissions_ManureAppliedToSoils_CarbonDioxide,Annual_Emissions_CarbonDioxide_ManureAppliedToSoils
Annual_Amount_Emissions_ManureLeftOnPasture_CarbonDioxide,Annual_Emissions_CarbonDioxide_ManureLeftOnPasture
Annual_Amount_Emissions_ManureManagementOperation_CarbonDioxide,Annual_Emissions_CarbonDioxide_ManureManagementOperation
Annual_Amount_Emissions_NonBroadcastingVessels_CarbonDioxide,Annual_Emissions_CarbonDioxide_NonBroadcastingVessels
Annual_Amount_Emissions_OilAndGasTransport_CarbonDioxide,Annual_Emissions_CarbonDioxide_OilAndGasTransport
Annual_Amount_Emissions_Removals_CarbonDioxide,Annual_Emissions_CarbonDioxide_Removals
Annual_Amount_Emissions_TextileLeatherApparel_CarbonDioxide,Annual_Emissions_CarbonDioxide_TextileLeatherApparel
Annual_Amount_Emissions_WaterReservoirs_CarbonDioxide,Annual_Emissions_CarbonDioxide_WaterReservoirs
Annual_Amount_Emissions_WoodProducts_CarbonDioxide,Annual_Emissions_CarbonDioxide_WoodProducts
Annual_Amount_Emissions_ClimateTraceChemicals_Methane,Annual_Emissions_Methane_ClimateTraceChemicals
Annual_Amount_Emissions_ClimateTraceOtherChemicals_Methane,Annual_Emissions_Methane_ClimateTraceOtherChemicals
Annual_Amount_Emissions_ClimateTraceOtherMetals_Methane,Annual_Emissions_Methane_ClimateTraceOtherMetals
Annual_Amount_Emissions_ClimateTraceOtherMiningQuarrying_Methane,Annual_Emissions_Methane_ClimateTraceOtherMiningQuarrying
Annual_Amount_Emissions_CropResidues_Methane,Annual_Emissions_Methane_CropResidues
Annual_Amount_Emissions_DomesticShipping_Methane,Annual_Emissions_Methane_DomesticShipping
Annual_Amount_Emissions_DomesticWastewaterTreatmentAndDischarge_Methane,Annual_Emissions_Methane_DomesticWastewaterTreatmentAndDischarge
Annual_Amount_Emissions_EntericFermentationOperation_Methane,Annual_Emissions_Methane_EntericFermentationOperation
Annual_Amount_Emissions_EntericFermentationPasture_Methane,Annual_Emissions_Methane_EntericFermentationPasture
Annual_Amount_Emissions_FoodProcessingBeveragesTobaccoProduction_Methane,Annual_Emissions_Methane_FoodProcessingBeveragesTobaccoProduction
Annual_Amount_Emissions_FuelCombustionForNonResidentialCommercialOnsiteHeating_Methane,Annual_Emissions_Methane_FuelCombustionForNonResidentialCommercialOnsiteHeating
Annual_Amount_Emissions_GlassProduction_Methane,Annual_Emissions_Methane_GlassProduction
Annual_Amount_Emissions_HeatPlants_Methane,Annual_Emissions_Methane_HeatPlants
Annual_Amount_Emissions_IndustrialWastewaterTreatmentAndDischarge_Methane,Annual_Emissions_Methane_IndustrialWastewaterTreatmentAndDischarge
Annual_Amount_Emissions_InternationalShipping_Methane,Annual_Emissions_Methane_InternationalShipping
Annual_Amount_Emissions_LimeProduction_Methane,Annual_Emissions_Methane_LimeProduction
Annual_Amount_Emissions_ManureAppliedToSoils_Methane,Annual_Emissions_Methane_ManureAppliedToSoils
