"key","value"
"1:process_input_generated-svobs",9689
"1:process_input_generated-svobs-Poverty_cleaned.csv",9689
"1:process_input_input-data-rows",3232
"1:process_input_input-files-processed",1
"1:process_input_input-header-rows",1
"1:process_input_input-rows-processed",3233
"1:process_input_input-sections",1
"1:process_input_num-rows-output/Poverty_cleaned.csv",3178
"1:process_input_process-mem",4188827648
"1:process_input_process-mem-rss",1270693888
"1:process_input_process-time-sys-secs",1.31
"1:process_input_process-time-user-secs",59.38
"1:process_input_process_elapsed_time",7.5648825479973105
"1:process_input_process_remaining_time",7.307494029506836
"1:process_input_processed",3233
"1:process_input_processing-input-rows-rate",427.3869647294036
"1:process_input_processing-input-rows-rate_output/Poverty_cleaned.csv",427.4603349154817
"1:process_input_processing-time-seconds",7.563919549109414
"1:process_input_processing-time-seconds_output/Poverty_cleaned.csv",7.563919549109414
"1:process_input_processing_rate",427.3694904696026
"1:process_input_start_time",1361565.248124376
"1:process_input_total",6356
"1:process_input_warning-unresolved-value-ref",40
"2:prepare_output_process-mem",4188827648
"2:prepare_output_process-mem-rss",1270693888
"2:prepare_output_process-time-sys-secs",1.31
"2:prepare_output_process-time-user-secs",59.43
"2:prepare_output_process_elapsed_time",0.049235735025629404
"2:prepare_output_processed",0
"2:prepare_output_start_time",1361572.813161064
"3:write_statvar_mcf_process-mem",4190924800
"3:write_statvar_mcf_process-mem-rss",1273495552
"3:write_statvar_mcf_process-time-sys-secs",1.33
"3:write_statvar_mcf_process-time-user-secs",59.61
"3:write_statvar_mcf_process_elapsed_time",2.801339618100226
"3:write_statvar_mcf_processed",0
"3:write_statvar_mcf_start_time",1361572.862657049
"4:write_svobs_csv_process-mem",4190924800
"4:write_svobs_csv_process-mem-rss",1273495552
"4:write_svobs_csv_process-time-sys-secs",1.33
"4:write_svobs_csv_process-time-user-secs",59.86
"4:write_svobs_csv_process_elapsed_time",0.25688414688445627
"4:write_svobs_csv_processed",0
"4:write_svobs_csv_start_time",1361575.664264817
"PVs-matched",7
"dropped-output-statvars-mcf",0
"dropped-statvars-without-svobs",1
"error-node-merge-conflict",1
"existing-nodes-from-api",1
"existing-statvars-from-mcf",19378
"generated-statvars",19378
"generated-unique-statvars",2
"input-nodes-with-additions",1
"nodes-with-diff",1
"output-new-schema-mcf",0
"output-statvars-mcf",1
"output-svobs-csv-rows",9689
"output-svobs-unique-observationAbout",3232
"output-svobs-unique-observationDate",3
"output-svobs-unique-scalingFactor",1
"output-svobs-unique-typeOf",1
"output-svobs-unique-unit",1
"output-svobs-unique-value",591
"output-svobs-unique-variableMeasured",1
"process-mem",4183584768
"process-mem-rss",1265389568
"process-time-sys-secs",1.3
"process-time-user-secs",51.83
"process_elapsed_time",0.004444506887719035
"processed",1
"pvs-added",1
"pvs-added-definition",1
"pvs-modified",1
"pvs-modified-name",1
"spell-allowlist-file",1
"spell-allowlist-words",24
"spell-check-ignored-pvs",1
"spell-check-nodes",1
"spell-check-pvs",6
"start_time",1361565.247494667
"svobs-added",9689
"total",1
"urls-allowlist",0
"warning-missing-property-key",300552
