Place,State or Territory / EDA Program,Year,Value
AK,Total,2012,7300925
AK,Total,2013,188155
AK,Total,2014,2799384
AK,Total,2015,1637588
AK,Total,2016,782377
AK,Total,2017,4947906
AK,Total,2018,699418
AK,Total,2019,2281777
AK,Total,2020,3601348
AK,Total,2021,4875443
AK,Total,2022,39760024
AK,Total,2023,2982734
AK,Total,2024,13388066
AK,Total,2025,1204252
AK,Total,2026,499874
AK,Distressed Area Recompete Pilot Program,2024,303408
AK,Economic Adjustment Assistance,2012,2133425
AK,Economic Adjustment Assistance,2014,324000
AK,Economic Adjustment Assistance,2016,326576
AK,Economic Adjustment Assistance,2017,1109263
AK,Economic Adjustment Assistance,2020,2799717
AK,Economic Adjustment Assistance,2021,1000000
AK,Economic Adjustment Assistance,2022,39057524
AK,Economic Adjustment Assistance,2023,2682734
AK,Economic Adjustment Assistance,2024,8384059
AK,Economic Adjustment Assistance,2025,1059252
AK,Economic Adjustment Assistance,2026,499874
AK,Planning,2012,1742500
AK,Planning,2013,140000
AK,Planning,2014,159800
AK,Planning,2015,1138600
AK,Planning,2016,250000
AK,Planning,2017,2942643
AK,Planning,2018,180000
AK,Planning,2019,60000
AK,Planning,2020,210000
AK,Planning,2021,989151
AK,Planning,2022,297500
AK,Planning,2023,210000
AK,Planning,2024,1140000
AK,Planning,2025,145000
AK,Public Works,2012,2800000
AK,Public Works,2014,2315584
AK,Public Works,2018,519418
AK,Public Works,2019,2144677
AK,Public Works,2021,2028704
AK,Public Works,2024,3061140
AK,Regional Innovation Strategies,2020,591631
AK,Regional Technology and Innovation Hubs,2024,499459
AK,STEM Talent Challenge,2021,258535
AK,Technical Assistance,2012,625000
AK,Technical Assistance,2013,48155
AK,Technical Assistance,2015,498988
AK,Technical Assistance,2016,205801
AK,Technical Assistance,2017,896000
AK,Technical Assistance,2019,77100
AK,Technical Assistance,2021,599053
AK,Technical Assistance,2022,405000
AK,Technical Assistance,2023,90000
AL,Total,2012,1587960
AL,Total,2013,7018395
AL,Total,2014,2471320
AL,Total,2015,4095340
AL,Total,2016,9226910
AL,Total,2017,2130378
AL,Total,2018,1974305
AL,Total,2019,284500
AL,Total,2020,5996739
AL,Total,2021,1347486
AL,Total,2022,24463901
AL,Total,2023,4927240
AL,Total,2024,4122744
AL,Total,2025,20239066
AL,Distressed Area Recompete Pilot Program,2025,20239066
AL,Economic Adjustment Assistance,2013,6076100
AL,Economic Adjustment Assistance,2014,1376320
AL,Economic Adjustment Assistance,2015,3087340
AL,Economic Adjustment Assistance,2016,5786817
AL,Economic Adjustment Assistance,2020,4699739
AL,Economic Adjustment Assistance,2022,21577743
AL,Economic Adjustment Assistance,2023,1229560
AL,Planning,2012,945000
AL,Planning,2014,1045000
AL,Planning,2015,1008000
AL,Planning,2016,333000
AL,Planning,2017,1050000
AL,Planning,2018,1050000
AL,Planning,2020,1297000
AL,Planning,2021,1047486
AL,Planning,2023,1260000
AL,Planning,2024,980000
AL,Public Works,2013,942295
AL,Public Works,2016,2607093
AL,Public Works,2022,1680500
AL,Public Works,2023,2437680
AL,Public Works,2024,2642744
AL,Regional Innovation Strategies,2022,657622
AL,Regional Technology and Innovation Hubs,2024,500000
AL,STEM Talent Challenge,2022,219182
AL,Technical Assistance,2012,642960
AL,Technical Assistance,2014,50000
AL,Technical Assistance,2016,500000
AL,Technical Assistance,2017,1080378
AL,Technical Assistance,2018,924305
AL,Technical Assistance,2019,284500
AL,Technical Assistance,2021,300000
AL,Technical Assistance,2022,328854
AR,Total,2012,5460000
AR,Total,2013,1572065
AR,Total,2014,13331646
AR,Total,2015,3900000
AR,Total,2016,7484400
AR,Total,2017,2487063
AR,Total,2018,1419460
AR,Total,2019,576302
AR,Total,2020,5480000
AR,Total,2022,6863985
AR,Total,2023,1914800
AR,Total,2024,18173923
AR,Total,2026,390000
AR,Distressed Area Recompete Pilot Program,2024,495000
AR,Economic Adjustment Assistance,2012,4500000
AR,Economic Adjustment Assistance,2013,310000
AR,Economic Adjustment Assistance,2014,8298116
AR,Economic Adjustment Assistance,2015,2500000
AR,Economic Adjustment Assistance,2016,6166674
AR,Economic Adjustment Assistance,2020,3800000
AR,Economic Adjustment Assistance,2022,5563985
AR,Economic Adjustment Assistance,2024,13165402
AR,Economic Adjustment Assistance,2026,390000
AR,Planning,2013,306309
AR,Planning,2014,1260000
AR,Planning,2015,150000
AR,Planning,2017,1680000
AR,Planning,2020,1680000
AR,Planning,2023,1914800
AR,Public Works,2012,960000
AR,Public Works,2013,135000
AR,Public Works,2014,3773530
AR,Public Works,2015,1250000
AR,Public Works,2016,817726
AR,Public Works,2022,1300000
AR,Public Works,2024,3500000
AR,STEM Talent Challenge,2024,493521
AR,Technical Assistance,2013,820756
AR,Technical Assistance,2016,500000
AR,Technical Assistance,2017,807063
AR,Technical Assistance,2018,1419460
AR,Technical Assistance,2019,576302
AR,Technical Assistance,2024,520000
AS,Total,2017,78000
AS,Total,2019,100000
AS,Total,2022,1000000
AS,Total,2024,728134
AS,Economic Adjustment Assistance,2022,1000000
AS,Economic Adjustment Assistance,2024,728134
AS,Planning,2017,78000
AS,Technical Assistance,2019,100000
AZ,Total,2012,5150048
AZ,Total,2013,1121864
AZ,Total,2014,3041300
AZ,Total,2015,2980718
AZ,Total,2016,3706716
AZ,Total,2017,2073991
AZ,Total,2018,310000
AZ,Total,2019,1119649
AZ,Total,2020,2487100
AZ,Total,2021,1545742
