Place,State or Territory / EDA Program,Year,Value
Alabama,Total,2012,4159800
Alabama,Total,2013,7018395
Alabama,Total,2014,2471320
Alabama,Total,2015,4095340
Alabama,Total,2016,10999910
Alabama,Total,2017,7612648
Alabama,Total,2018,5894592
Alabama,Total,2019,284500
Alabama,Total,2020,7596739
Alabama,Total,2021,1969944
Alabama,Total,2022,29190461
Alabama,Total,2023,4927240
Alabama,Total,2024,4122744
Alabama,Total,2025,20239066
Alabama,Distressed Area Recompete Pilot Program,2025,20239066
Alabama,Economic Adjustment Assistance,2013,6076100
Alabama,Economic Adjustment Assistance,2014,1376320
Alabama,Economic Adjustment Assistance,2015,3087340
Alabama,Economic Adjustment Assistance,2016,5786817
Alabama,Economic Adjustment Assistance,2020,6299739
Alabama,Economic Adjustment Assistance,2022,22577743
Alabama,Economic Adjustment Assistance,2023,1229560
Alabama,Planning,2012,945000
Alabama,Planning,2014,1045000
Alabama,Planning,2015,1008000
Alabama,Planning,2016,606000
Alabama,Planning,2017,1050000
Alabama,Planning,2018,1050000
Alabama,Planning,2020,1297000
Alabama,Planning,2021,1669944
Alabama,Planning,2023,1260000
Alabama,Planning,2024,980000
Alabama,Public Works,2013,942295
Alabama,Public Works,2016,2607093
Alabama,Public Works,2022,1680500
Alabama,Public Works,2023,2437680
Alabama,Public Works,2024,2642744
Alabama,Regional Innovation Strategies,2022,3288110
Alabama,Regional Technology and Innovation Hubs,2024,500000
Alabama,STEM Talent Challenge,2022,657546
Alabama,Technical Assistance,2012,3214800
Alabama,Technical Assistance,2014,50000
Alabama,Technical Assistance,2016,2000000
Alabama,Technical Assistance,2017,6562648
Alabama,Technical Assistance,2018,4844592
Alabama,Technical Assistance,2019,284500
Alabama,Technical Assistance,2021,300000
Alabama,Technical Assistance,2022,986562
Alaska,Total,2012,13075925
Alaska,Total,2013,328155
Alaska,Total,2014,2799384
Alaska,Total,2015,5207526
Alaska,Total,2016,947554
Alaska,Total,2017,15131945
Alaska,Total,2018,1239418
Alaska,Total,2019,2410977
Alaska,Total,2020,9009503
Alaska,Total,2021,6664966
Alaska,Total,2022,72988422
Alaska,Total,2023,3552734
Alaska,Total,2024,15451254
Alaska,Total,2025,1204252
Alaska,Total,2026,499874
Alaska,Distressed Area Recompete Pilot Program,2024,303408
Alaska,Economic Adjustment Assistance,2012,2133425
Alaska,Economic Adjustment Assistance,2014,324000
Alaska,Economic Adjustment Assistance,2016,326576
Alaska,Economic Adjustment Assistance,2017,1109263
Alaska,Economic Adjustment Assistance,2020,5249717
Alaska,Economic Adjustment Assistance,2021,1000000
Alaska,Economic Adjustment Assistance,2022,71178422
Alaska,Economic Adjustment Assistance,2023,2982734
Alaska,Economic Adjustment Assistance,2024,9872788
Alaska,Economic Adjustment Assistance,2025,1059252
Alaska,Economic Adjustment Assistance,2026,499874
Alaska,Planning,2012,5017500
Alaska,Planning,2013,280000
Alaska,Planning,2014,159800
Alaska,Planning,2015,2213600
Alaska,Planning,2016,250000
Alaska,Planning,2017,9914682
Alaska,Planning,2018,720000
Alaska,Planning,2019,60000
Alaska,Planning,2020,210000
Alaska,Planning,2021,2261604
Alaska,Planning,2022,595000
Alaska,Planning,2023,210000
Alaska,Planning,2024,1215000
Alaska,Planning,2025,145000
Alaska,Public Works,2012,2800000
Alaska,Public Works,2014,2315584
Alaska,Public Works,2018,519418
Alaska,Public Works,2019,2144677
Alaska,Public Works,2021,2028704
Alaska,Public Works,2024,3061140
Alaska,Regional Innovation Strategies,2020,3549786
Alaska,Regional Technology and Innovation Hubs,2024,998918
Alaska,STEM Talent Challenge,2021,775605
Alaska,Technical Assistance,2012,3125000
Alaska,Technical Assistance,2013,48155
Alaska,Technical Assistance,2015,2993926
Alaska,Technical Assistance,2016,370978
Alaska,Technical Assistance,2017,4108000
Alaska,Technical Assistance,2019,206300
Alaska,Technical Assistance,2021,599053
Alaska,Technical Assistance,2022,1215000
Alaska,Technical Assistance,2023,360000
American Samoa,Total,2017,156000
American Samoa,Total,2019,300000
American Samoa,Total,2022,1000000
American Samoa,Total,2024,728134
American Samoa,Economic Adjustment Assistance,2022,1000000
American Samoa,Economic Adjustment Assistance,2024,728134
American Samoa,Planning,2017,156000
American Samoa,Technical Assistance,2019,300000
Arizona,Total,2012,6520048
Arizona,Total,2013,2321864
Arizona,Total,2014,3041300
Arizona,Total,2015,4760206
Arizona,Total,2016,3706716
Arizona,Total,2017,7483654
Arizona,Total,2018,1270000
Arizona,Total,2019,3968846
Arizona,Total,2020,4387100
Arizona,Total,2021,2898434
Arizona,Total,2022,28987063
Arizona,Total,2023,2635000
Arizona,Total,2024,8214442
Arizona,Total,2025,5638731
Arizona,Total,2026,5483656
Arizona,Distressed Area Recompete Pilot Program,2024,1499850
Arizona,Economic Adjustment Assistance,2012,4135648
Arizona,Economic Adjustment Assistance,2013,371864
Arizona,Economic Adjustment Assistance,2014,75000
Arizona,Economic Adjustment Assistance,2016,300000
Arizona,Economic Adjustment Assistance,2020,3700000
Arizona,Economic Adjustment Assistance,2021,1699038
Arizona,Economic Adjustment Assistance,2022,21697418
Arizona,Economic Adjustment Assistance,2023,2115000
Arizona,Economic Adjustment Assistance,2024,1288437
Arizona,Economic Adjustment Assistance,2025,5638731
Arizona,Planning,2012,2292000
Arizona,Planning,2013,350000
Arizona,Planning,2014,60000
Arizona,Planning,2015,1330900
Arizona,Planning,2016,94216
Arizona,Planning,2017,3791735
Arizona,Planning,2018,1270000
Arizona,Planning,2019,70000
Arizona,Planning,2020,660000
Arizona,Planning,2021,900000
Arizona,Planning,2022,210000
Arizona,Planning,2023,450000
Arizona,Regional Innovation Strategies,2022,5239950
Arizona,Regional Technology and Innovation Hubs,2024,998542
Arizona,STEM Talent Challenge,2022,742551
Arkansas,Distressed Area Recompete Pilot Program,2024,495000
Arkansas,STEM Talent Challenge,2024,493521
California,Distressed Area Recompete Pilot Program,2024,499400
California,Good Jobs Challenge,2015,3489631
California,Regional Innovation Strategies,2017,3981645
California,Regional Innovation Strategies,2019,3935575
California,Regional Innovation Strategies,2021,1322512
California,Regional Innovation Strategies,2022,4117968
