key,prop,value,p1,v1,p2,v2,p3,v3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Region,observationAbout,{Data},,,,,,,,,,,,,,,,
"Debt service as percentage of exports of goods and services and net income from abroad, Total, Percent",#ignore,ignore value,,,,,,,,,,,,,,,,
"Debt service as percentage of exports of goods and services and net income from abroad, Percent",#ignore,ignore value,,,,,,,,,,,,,,,,
"Incidence of extreme poverty, Accra, Percent",measuredProperty,count,populationType,Person,povertyStatus,ExtremePoverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,observationAbout,wikidataId/Q3761,,,name,"""percentage of people in Accra live in extreme poverty"""
"Incidence of extreme poverty, Rural Coastal, Percent",measuredProperty,count,populationType,Person,povertyStatus,ExtremePoverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,placeOfResidenceClassification,Rural,landCoverType,Coastal,name,"""percentage of people living in rural coastal areas are extremely poor"""
"Incidence of extreme poverty, Rural Forest, Percent",measuredProperty,count,populationType,Person,povertyStatus,ExtremePoverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,placeOfResidenceClassification,Rural,landCoverType,Forest,name,"""percentage of people living in rural forest areas are extremely poor"""
"Incidence of extreme poverty, Rural Savannah, Percent",measuredProperty,count,populationType,Person,povertyStatus,ExtremePoverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,placeOfResidenceClassification,Rural,landCoverType,Savannah,name,"""percentage of people living in rural savannah areas are extremely poor"""
"Incidence of extreme poverty, Rural, Percent",measuredProperty,count,populationType,Person,povertyStatus,ExtremePoverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,placeOfResidenceClassification,Rural,,,name,"""percentage of people living in rural areas are extremely poor"""
"Incidence of extreme poverty, Total, Percent",measuredProperty,count,populationType,Person,povertyStatus,ExtremePoverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,,,,,name,"""percentage of the total population lives in extreme poverty"""
"Incidence of extreme poverty, Urban Coastal, Percent",measuredProperty,count,populationType,Person,povertyStatus,ExtremePoverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,placeOfResidenceClassification,Urban,landCoverType,Coastal,name,"""What percentage of people living in urban coastal areas are extremely poor"""
"Incidence of extreme poverty, Urban Forest, Percent",measuredProperty,count,populationType,Person,povertyStatus,ExtremePoverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,placeOfResidenceClassification,Urban,landCoverType,Forest,name,"""percentage of people living in urban forest areas are extremely poor"""
"Incidence of extreme poverty, Urban Savannah, Percent",measuredProperty,count,populationType,Person,povertyStatus,ExtremePoverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,placeOfResidenceClassification,Urban,landCoverType,Savannah,name,"""percentage of people living in urban savannah areas are extremely poor"""
"Incidence of extreme poverty, Urban, Percent",measuredProperty,count,populationType,Person,povertyStatus,ExtremePoverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,placeOfResidenceClassification,Urban,,,name,"""percentage of people living in urban areas are extremely poor"""
"Incidence of poverty, Accra, Percent",measuredProperty,count,populationType,Person,povertyStatus,Poverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,observationAbout,wikidataId/Q3761,,,name,"""percentage of people in Accra live in poverty"""
"Incidence of poverty, Female Rural, Percent",measuredProperty,count,populationType,Person,povertyStatus,Poverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,placeOfResidenceClassification,Rural,gender,Female,name,"""percentage of rural women live in poverty"""
"Incidence of poverty, Female Urban, Percent",measuredProperty,count,populationType,Person,povertyStatus,Poverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,placeOfResidenceClassification,Urban,gender,Female,name,"""percentage of urban women live in poverty"""
