observationAbout,observationDate,value,variableMeasured,unit,scalingFactor,#input
country/KEN,2016,76986,dcid:Count_CriminalActivities,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:2:3
country/KEN,2017,77992,dcid:Count_CriminalActivities,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:2:4
country/KEN,2018,88268,dcid:Count_CriminalActivities,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:2:5
country/KEN,2019,93411,dcid:Count_CriminalActivities,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:2:6
country/KEN,2020,69645,dcid:Count_CriminalActivities,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:2:7
country/KEN,2016,2751,dcid:Count_CriminalActivities_Homicide,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:3:3
country/KEN,2017,2774,dcid:Count_CriminalActivities_Homicide,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:3:4
country/KEN,2018,2856,dcid:Count_CriminalActivities_Homicide,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:3:5
country/KEN,2019,2971,dcid:Count_CriminalActivities_Homicide,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:3:6
country/KEN,2020,3111,dcid:Count_CriminalActivities_Homicide,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:3:7
country/KEN,2016,6228,dcid:Offense_Count_CriminalActivities_CrimeAgainstMorality,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:4:3
country/KEN,2017,5492,dcid:Offense_Count_CriminalActivities_CrimeAgainstMorality,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:4:4
country/KEN,2018,7233,dcid:Offense_Count_CriminalActivities_CrimeAgainstMorality,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:4:5
country/KEN,2019,8051,dcid:Offense_Count_CriminalActivities_CrimeAgainstMorality,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:4:6
country/KEN,2020,9153,dcid:Offense_Count_CriminalActivities_CrimeAgainstMorality,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:4:7
country/KEN,2016,22295,dcid:Offense_Count_CriminalActivities_CrimeAgainstPerson,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:5:3
country/KEN,2017,22515,dcid:Offense_Count_CriminalActivities_CrimeAgainstPerson,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:5:4
country/KEN,2018,25049,dcid:Offense_Count_CriminalActivities_CrimeAgainstPerson,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:5:5
country/KEN,2019,27196,dcid:Offense_Count_CriminalActivities_CrimeAgainstPerson,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:5:6
country/KEN,2020,19288,dcid:Offense_Count_CriminalActivities_CrimeAgainstPerson,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:5:7
country/KEN,2016,2697,dcid:Count_CriminalActivities_Robbery,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:6:3
country/KEN,2017,2713,dcid:Count_CriminalActivities_Robbery,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:6:4
country/KEN,2018,2935,dcid:Count_CriminalActivities_Robbery,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:6:5
country/KEN,2019,2858,dcid:Count_CriminalActivities_Robbery,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:6:6
country/KEN,2020,2384,dcid:Count_CriminalActivities_Robbery,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:6:7
country/KEN,2016,5621,dcid:Count_CriminalActivities_CrimeBreakings,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:7:3
country/KEN,2017,6131,dcid:Count_CriminalActivities_CrimeBreakings,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:7:4
country/KEN,2018,5970,dcid:Count_CriminalActivities_CrimeBreakings,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:7:5
country/KEN,2019,5976,dcid:Count_CriminalActivities_CrimeBreakings,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:7:6
country/KEN,2020,4252,dcid:Count_CriminalActivities_CrimeBreakings,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:7:7
country/KEN,2016,1918,dcid:Count_CriminalActivities_TheftOfStock,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:8:3
country/KEN,2017,2136,dcid:Count_CriminalActivities_TheftOfStock,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:8:4
country/KEN,2018,2077,dcid:Count_CriminalActivities_TheftOfStock,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:8:5
country/KEN,2019,1962,dcid:Count_CriminalActivities_TheftOfStock,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:8:6
country/KEN,2020,1556,dcid:Count_CriminalActivities_TheftOfStock,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:8:7
country/KEN,2016,10361,dcid:Count_CriminalActivities_Stealing,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:9:3
country/KEN,2017,11656,dcid:Count_CriminalActivities_Stealing,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:9:4
country/KEN,2018,12845,dcid:Count_CriminalActivities_Stealing,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:9:5
country/KEN,2019,13954,dcid:Count_CriminalActivities_Stealing,,,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/crimes/input/kenya_crimes_data.csv:9:6
