observationAbout,observationDate,variableMeasured,value,unit,observationPeriod
dcid:wikidataId/Q1159,2015-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,237.5,INR,P1Y
dcid:wikidataId/Q1159,2016-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,257.5,INR,P1Y
dcid:wikidataId/Q1159,2017-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,276.6,INR,P1Y
dcid:wikidataId/Q1159,2018-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,291,INR,P1Y
dcid:wikidataId/Q1159,2019-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,303.9,INR,P1Y
dcid:wikidataId/Q1159,2020-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,324.2,INR,P1Y
dcid:wikidataId/Q1159,2021-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,353.1,INR,P1Y
dcid:wikidataId/Q1159,2022-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,409.3,INR,P1Y
dcid:wikidataId/Q1159,2023-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,482.4,INR,P1Y
dcid:wikidataId/Q1159,2024-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,524.5,INR,P1Y
dcid:wikidataId/Q1164,2015-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,248.8,INR,P1Y
dcid:wikidataId/Q1164,2016-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,265.3,INR,P1Y
dcid:wikidataId/Q1164,2017-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,283.8,INR,P1Y
dcid:wikidataId/Q1164,2018-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,287.9,INR,P1Y
dcid:wikidataId/Q1164,2019-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,295.8,INR,P1Y
dcid:wikidataId/Q1164,2020-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,308.5,INR,P1Y
dcid:wikidataId/Q1164,2021-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,317.7,INR,P1Y
dcid:wikidataId/Q1164,2022-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,341.1,INR,P1Y
dcid:wikidataId/Q1164,2023-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,368.9,INR,P1Y
dcid:wikidataId/Q1164,2024-03,dcid:Mean_WagesDaily_Amount_Male_Rural_ConstructionWorker,398.4,INR,P1Y
