"MinDate","observationPeriods","MeasurementMethods","NumPlaces","StatVar","ScalingFactors","Units"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","4004","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneA03_BuildingStructureAndContents_FloodEvent","[]","[]"
"1984","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","38089","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneX_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","264","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA21_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1979","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","49","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA30_BuildingStructure_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","219","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneA19_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","380","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA20_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","1093","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA15_BuildingStructure_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","2240","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneAO_BuildingStructureAndContents_FloodEvent","[]","[]"
"1979","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","49","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneA30_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","3927","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA05_BuildingContents_FloodEvent","[]","[USDollar]"
"1982","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","15","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV01_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1982","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","64","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV19_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","219","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneV15_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","3927","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA05_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","1659","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneAH_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","13258","CountOfClaims_NaturalHazardInsurance_FEMAModerateRiskFloodZone_BuildingStructureAndContents_FloodEvent","[]","[]"
