National Center for Education Statistics,,,,,,,,,
"Table 12. Amount and percentage distribution of revenues and expenses at Title IV institutions and administrative offices, by level and control of institution or administrative office, accounting standards utilized, source of funds and type of expense: United States, fiscal year 2018",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Source of funds and type of expense,,4-year,,,2-year,,,Less-than-2-year,
,,Revenues or expenses (in thousands),Percent,,Revenues or expenses (in thousands),Percent,,Revenues or expenses (in thousands),Percent
,,,,,,,,,
,,Public institutions (GASB standards)1,,,,,,,
,,,,,,,,,
Total revenues and investment return,,"338,605,331",100,,"56,315,105",100,,"845,907",100
,,,,,,,,,
Operating revenues,,"212,713,508",62.8,,"15,845,451",28.1,,"298,878",35.3
,,,,,,,,,
Tuition and fees (net of allowances and discounts),,"68,370,853",20.2,,"8,919,748",15.8,,"148,107",17.5
Grants and contracts,,"45,912,640",13.6,,"4,566,187",8.1,,"103,149",12.2
Federal (excludes FDSL loans)2 ,,"26,527,443",7.8,,"1,553,164",2.8,,"22,352",2.6
State,,"6,161,062",1.8,,"2,435,111",4.3,,"51,213",6.1
Local,,"1,940,107",0.6,,"324,580",0.6,,"28,038",3.3
Private,,"11,284,028",3.3,,"253,331",0.4,,"1,546",0.2
Sales and services of auxiliary enterprises after     deducting discounts and allowances,,"26,649,713",7.9,,"1,428,895",2.5,,—,—
Sales and services of hospitals,,"49,318,389",14.6,,—,—,,—,—
Sales and services of educational activities,,"10,709,107",3.2,,"156,738",0.3,,"9,025",1.1
Independent operations,,"1,763,442",0.5,,—,—,,—,—
Other operating revenues,,"9,989,364",3,,"773,882",1.4,,"38,596",4.6
,,,,,,,,,
Nonoperating revenues,,"108,873,095",32.2,,"38,171,863",67.8,,"497,870",58.9
,,,,,,,,,
Appropriations,,"61,451,054",18.1,,"26,468,069",47,,"381,027",45
Federal ,,"1,963,587",0.6,,"52,020",0.1,,"15,863",1.9
State ,,"57,779,899",17.1,,"14,565,040",25.9,,"210,367",24.9
Local ,,"1,707,567",0.5,,"11,851,010",21,,"154,797",18.3
Nonoperating grants,,"16,765,632",5,,"10,275,325",18.2,,"98,856",11.7
Federal,,"12,507,190",3.7,,"8,484,202",15.1,,"85,767",10.1
State,,"4,024,166",1.2,,"1,643,063",2.9,,"12,190",1.4
Local,,"234,277",0.1,,"148,060",0.3,,899,0.1
Gifts,,"8,371,621",2.5,,"315,329",0.6,,"6,581",0.8
Investment income,,"15,643,151",4.6,,"342,899",0.6,,"2,605",0.3
Other nonoperating revenues,,"6,641,638",2,,"770,241",1.4,,"8,800",1
,,,,,,,,,
Total other revenues and additions,,"17,018,727",5,,"2,297,792",4.1,,"49,160",5.8
,,,,,,,,,
Capital appropriations,,"4,708,911",1.4,,"1,626,839",2.9,,—,—
Capital grants and gifts,,"3,688,985",1.1,,"324,188",0.6,,—,—
Additions to permanent endowments,,"1,347,758",0.4,,"13,028",#,,—,—
Other revenues and additions,,"7,273,074",2.1,,"333,737",0.6,,"49,160",5.8
,,,,,,,,,
Total expenses ,,"319,772,061",100,,"54,425,170",100,,"712,238",100
,,,,,,,,,
Instruction,,"86,839,484",27.2,,"22,478,206",41.3,,"369,380",51.9
Research,,"36,467,784",11.4,,"29,275",0.1,,51,#
Public service,,"14,699,998",4.6,,"875,940",1.6,,"1,791",0.3
Academic support,,"26,198,838",8.2,,"4,716,504",8.7,,"62,995",8.8
Student services,,"15,111,771",4.7,,"6,089,923",11.2,,"59,505",8.4
