National Center for Education Statistics,,,,
"Graduation rates of students at the Title IV institution where the students started as full-time, first-time students, by control of institution, degree sought, level of institution, degree completed, and time to degree: United States, cohort years 2001 and 2005",,,,
,,,,
"Degree sought, level of institution, 
degree completed, and time to degree","Total 
(%)","Public 
(%)","Private 
not-for-profit 
(%)","Private 
for-profit 
(%)"
,,,,
"Bachelor‘s or equivalent degree-seekers attending 4-year 
     institutions and completing bachelor‘s or equivalent degree 
     (cohort year 2001)",,,,
,,,,
"Graduation rate within 100% of normal program 
     completion time",36.4,29.5,51.0,19.1
"Graduation rate within 150% of normal program 
     completion time",57.4,55.0,64.5,27.0
"Graduation rate within 200% of normal program 
     completion time",60.2,58.4,66.1,29.1
,,,,
"Degree- or certificate-seekers attending 2-year institutions 
     and completing a degree or certificate (cohort year 2005)",,,,
,,,,
"Graduation rate within 100% of normal program 
     completion time",17.9,11.9,38.6,36.4
"Graduation rate within 150% of normal program 
     completion time",31.2,22.0,52.7,60.2
"Graduation rate within 200% of normal program 
     completion time",36.6,28.1,58.5,63.3
,,,,
"Certificate-seekers attending less-than-2-year institutions 
     and completing a certificate (cohort year 2005)",,,,
,,,,
"Graduation rate within 100% of normal program 
     completion time",43.7,56.4,58.2,41.3
"Graduation rate within 150% of normal program 
     completion time",67.4,73.5,75.2,66.2
"Graduation rate within 200% of normal program 
     completion time",70.8,79.3,78.9,69.3
,,,,
"NOTE: The rates in this table reflect graduation rates at institutions regardless of the length of programs, unless otherwise indicated. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated as the total number of completers within specified time to degree divided by the revised cohort minus any allowable exclusions. The revised cohort is the current (spring 2010) estimate of the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the reference year. Allowable exclusions include those students who died or were totally and permanently disabled; those who left school to serve in the armed forces; those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions.",,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Spring 2010, Graduation Rates 200 component.",,,,
