Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,TABLE 27: PER CAPITA NET STATE DOMESTIC PRODUCT,,,,,
,(Constant Prices),,,,,
,(₹),,,,,
,State/Union Territory,Base: 2004-05,,,,
,,2004-05,2005-06,2006-07,2007-08,2008-09
,Andaman & Nicobar Islands,40921,41645,47522,50629,56304
,Andhra Pradesh,25959,27179,29797,33217,33733
,Arunachal Pradesh,26721,26870,27675,30287,32028
,Assam,16782,17050,17579,18089,18922
,Bihar,7914,7588,8759,9070,10297
,Chandigarh,74173,78167,85372,86923,88298
,Chhattisgarh,18559,18530,21580,22929,23926
,Delhi,63877,69128,76243,83243,91845
,Goa,76968,80844,86257,87085,90409
,Gujarat,32021,36102,38568,42498,43685
,Haryana,37972,40627,44423,47046,49780
,Himachal Pradesh,33348,35806,38195,40143,41666
,Jammu & Kashmir,21734,22406,23375,24470,25641
,Jharkhand,18510,17406,17427,20996,19867
,Karnataka,26882,29295,31967,35574,37687
,Kerala,32351,35492,38113,41315,43644
,Madhya Pradesh,15442,15927,17073,17572,19462
,Maharashtra,36077,40671,45582,50138,50183
,Manipur,18547,19341,19250,19868,20861
,Meghalaya,23079,24278,25471,25633,28223
,Mizoram,24662,25826,26308,28467,31921
,Nagaland,30441,33072,35074,37317,39041
,Odisha,17650,18194,20194,21640,22963
,Puducherry,48302,60046,61142,64749,69374
,Punjab,33103,34096,37087,39567,41003
,Rajasthan,18565,19445,21342,21922,23356
,Sikkim,26690,29008,30293,31722,35394
,Tamil Nadu,30062,34126,39166,41314,43193
,Telangana,24409,27921,30562,33271,37436
,Tripura,24394,25688,27558,29022,31711
,Uttar Pradesh,12950,13445,14241,14875,15713
,Uttarakhand,24726,27781,30644,35444,38621
,West Bengal,22649,23808,25400,27094,27914
