Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 29: GROSS STATE DOMESTIC PRODUCT,,,,,,
,(Constant Prices) (Contd.),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2004-05,,,,,
,,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
,Andaman & Nicobar Islands,320792,345963,373339,401465,421993,-
,Andhra Pradesh,19499396,20827348,22128548,23023999,24672373,26452092
,Arunachal Pradesh,502948,522041,551030,542242,590478,632124
,Assam,6979387,7344442,7684368,8079864,8686172,9243163
,Bihar,11315758,13017089,14356008,15890893,17340933,18978925
,Chandigarh,1320568,1333780,1378674,1430833,1568783,-
,Chhattisgarh,7134262,7890295,8340937,9073664,9526245,10084247
,Delhi,16863753,18076539,19027642,20399317,21999111,23802650
,Goa,1924828,2249908,2704495,2817312,3034536,-
,Gujarat,33412700,36758128,39205778,41616347,45262526,-
,Haryana,15247447,16377020,17691697,18664283,19965683,21514573
,Himachal Pradesh,3589722,3905441,4190822,4447976,4725476,-
,Jammu & Kashmir,3622489,3826996,4120305,4340196,4584716,4512631
,Jharkhand,7724004,8949114,9350951,10046081,10940841,11874316
,Karnataka,24759029,27272131,28278400,29999067,32145528,34410571
,Kerala,17757135,18985071,20095773,21285953,22620850,-
,Madhya Pradesh,16756406,17814354,19335031,21017437,23009540,25353258
,Maharashtra,66694446,74204180,77560965,83592859,89676749,94754976
,Manipur,671986,668061,732670,784251,833042,-
,Meghalaya,959122,1041308,1171520,1216021,1334704,1456112
,Mizoram,424896,497932,485206,520289,560779,-
,Nagaland,846258,925399,1002385,1067106,1136706,1213965
,Odisha,11585113,12513105,13011301,13501017,13746828,14857608
,Puducherry,1017573,1080640,1135677,1271792,1407721,1570141
,Punjab,13863647,14767012,15730291,16460224,17403765,18329810
,Rajasthan,18624454,21307929,23085925,24566578,25743195,27222748
,Sikkim,440101,478428,529904,570284,615231,-
,Tamil Nadu,35663186,40341573,43323803,44794362,48061805,51545756
,Telangana,14757687,17418546,18926867,19705584,20642724,21743200
,Tripura,1330590,1438667,1542826,1714939,1873246,-
,Uttar Pradesh,36741677,39630943,41840413,44258972,46451036,49238380
,Uttarakhand,5059803,5566681,6087959,6541424,7092553,7755209
,West Bengal,29195496,30883705,32341698,34777383,37179504,39838651
