Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 32: GROSS STATE VALUE ADDED,,,,,,
,(Current Prices),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2011-12,,,,,
,,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
,Andaman & Nicobar Islands,403755,450223,503825,554945,602695,679363
,Andhra Pradesh,34975303,37947671,42672201,48770864,55642062,62450287
,Arunachal Pradesh,1085470,1240354,1427735,1753815,1795539,1905808
,Assam,13529020,14860974,16785025,18429412,21517442,23731541
,Bihar,24169850,27669912,30668542,33519908,36415499,40845667
,Chandigarh,1873151,2156063,2461336,2636144,2866823,3179513
,Chhattisgarh,14842982,16613333,19542711,20906764,21371205,24154594
,Delhi,30323249,34258754,38593091,43424110,47878154,53117539
,Goa,3940566,3487302,3202361,4319049,4954923,5681827
,Gujarat,55192107,64515549,72108295,82423326,91525289,103915555
,Haryana,27407463,31989448,36756677,39991427,43933491,49144788
,Himachal Pradesh,6940278,7890840,8935770,9733153,10725675,11749465
,Jammu & Kashmir*,7476073,8308983,9062373,9311907,11061385,11820042
,Jharkhand,13912959,16082669,17253230,20079571,18687522,21187113
,Karnataka,55221364,63155790,74037344,83131593,94266872,108339442
,Kerala,33629310,38128287,42910029,47180920,50913738,57024819
,Madhya Pradesh,30368859,36641880,41680964,45620028,50817506,60761658
,Maharashtra,114441844,129504163,146896763,158693708,172048768,190848470
,Manipur,1272912,1372469,1583948,1786630,1903318,2043834
,Meghalaya,1892182,2073867,2184428,2202768,2287227,2467113
,Mizoram,743008,851315,1013407,1334390,1481422,1668880
,Nagaland,1206676,1401219,1642062,1824394,1927233,2124607
,Odisha,22023169,24916295,28044263,29520164,30450599,35497589
,Puducherry,1481201,1647145,1918901,1979373,2317605,2574138
,Punjab,25377427,28083782,30832906,32877935,35315538,38618871
,Rajasthan,41698354,47206334,52334881,58364573,64296040,72197182
,Sikkim,1089210,1196742,1331690,1484516,1724275,1959619
,Tamil Nadu,69302212,78477168,88778435,98284312,107641409,118379880
,Telangana,33605011,37526261,42172940,46649916,53033551,60018601
,Tripura,1879553,2128938,2503940,2886502,3472325,3772986
,Uttar Pradesh,68189459,77720557,88556502,94899345,105765147,119689996
,Uttarakhand,10833282,12374880,13950393,15048694,16359503,17983865
,West Bengal,49846984,56611164,64308808,67880033,75016317,81933989
