Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 34: GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY - AGRICULTURE,,,,,,
,(Current Prices) (Contd.),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2004-05 ,,,,,
,,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
,Andaman & Nicobar Islands,28200,31716,34935,36918,38836,-
,Andhra Pradesh,6661466,7395672,7927319,9562978,10711198,11678028
,Arunachal Pradesh,140181,223408,320928,375397,419787,492348
,Assam,2127696,2455091,2536624,2670510,3148299,3531406
,Bihar,3547540,4741478,5798081,7140334,7253667,8104404
,Chandigarh,10220,10359,9237,9795,10693,-
,Chhattisgarh,1519514,2019040,2247005,2765427,3015072,3389055
,Delhi,183455,225340,266620,320965,366150,366565
,Goa,94924,103919,125698,136116,158676,-
,Gujarat,5870700,9401448,11094668,10150280,14214101,-
,Haryana,4444567,5165501,5907442,6427406,7400608,7664337
,Himachal Pradesh,654221,819492,881551,1062492,1198210,-
,Jammu & Kashmir,815461,1114201,1218404,1485203,1878524,1704882
,Jharkhand,1169165,1467068,1928793,2205030,2554588,2959560
,Karnataka,4679203,6244015,6198503,7084784,8771625,10357361
,Kerala,2574835,3401238,4037910,4028847,4309647,-
,Madhya Pradesh,5300467,5919124,7132014,9523032,13521893,17672960
,Maharashtra,6867883,10713458,10835776,11369055,13383943,12298249
,Manipur,178583,173040,184410,214764,232062,-
,Meghalaya,174935,183955,204115,240000,271271,299169
,Mizoram,75931,93447,102041,112341,123681,-
,Nagaland,218725,239873,280201,322901,369720,423329
,Odisha,2908391,3158708,3105738,4342308,4218848,4828043
,Puducherry,43984,45454,46071,56425,71716,76533
,Punjab,5740201,6328862,7019317,7642451,8341539,8697340
,Rajasthan,5041357,8109082,10618310,11739986,13026034,14086091
,Sikkim,48112,56573,94099,103662,117610,-
,Tamil Nadu,5432279,6866431,7778598,7467449,8720310,10050859
,Telangana,3066104,4694940,5235523,6450179,7463823,7051477
,Tripura,246622,296560,319728,385295,431530,-
,Uttar Pradesh,13517556,15203248,18025758,20988346,22241872,26046042
,Uttarakhand,734128,858178,1035774,1222128,1257075,1440640
,West Bengal,7624138,8625434,9446215,11088402,13262435,15063466
