Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,TABLE 35: GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY - AGRICULTURE,,,,,
,(Constant Prices),,,,,
,(₹ Lakh),,,,,
,State/Union Territory,Base: 2004-05 ,,,,
,,2004-05,2005-06,2006-07,2007-08,2008-09
,Andaman & Nicobar Islands,23555,17747,20491,22026,22147
,Andhra Pradesh,3224006,3128389,3227189,3854936,3749978
,Arunachal Pradesh,57224,53776,64181,80611,69680
,Assam,1158871,1181144,1200941,1237322,1252426
,Bihar,2067296,1787450,2333830,2128954,2598292
,Chandigarh,7042,7294,7256,7276,7742
,Chhattisgarh,705744,832472,873831,974345,835891
,Delhi,101772,98332,99460,96369,95608
,Goa,66193,82977,65081,68661,61535
,Gujarat,2674600,3398200,3361600,3715500,3392000
,Haryana,2097146,2053262,2354339,2347579,2521178
,Himachal Pradesh,474739,494411,469257,525123,516057
,Jammu & Kashmir,610034,613278,623411,632118,660061
,Jharkhand,679460,702304,799463,846191,1019766
,Karnataka,2645533,2937671,2834979,3232974,3276766
,Kerala,1698051,1804197,1656785,1619660,1653394
,Madhya Pradesh,2753979,2973694,3055971,3001998,3289794
,Maharashtra,3442261,3836363,4458707,5185522,4154867
,Manipur,96301,95256,95271,107855,121115
,Meghalaya,108811,117245,119396,118629,125249
,Mizoram,36138,37055,38559,47274,56909
,Nagaland,160164,162992,163672,164020,173787
,Odisha,1460377,1510990,1534989,1616855,1644986
,Puducherry,19982,22164,26086,27110,33329
,Punjab,3014053,3037675,3124807,3249888,3311353
,Rajasthan,2791717,2804372,3035203,3080266,3226172
,Sikkim,28503,29835,29900,31307,32999
,Tamil Nadu,2102673,2344198,2705750,2578885,2509330
,Telangana,1401075,1805100,1784045,2097384,2219983
,Tripura,184846,188919,204814,243856,248151
,Uttar Pradesh,7016710,7181347,7351197,7614063,7915167
,Uttarakhand,411370,394103,414627,422791,394487
,West Bengal,4002017,4075650,4116824,4369531,4215545
