Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 35: GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY - AGRICULTURE,,,,,,
,(Constant Prices) (Contd.),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2004-05 ,,,,,
,,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
,Andaman & Nicobar Islands,22088,23051,23815,24789,25346,-
,Andhra Pradesh,4071800,3887040,3904992,4133498,4376550,4455876
,Arunachal Pradesh,68323,85599,99613,101458,108101,112324
,Assam,1333637,1378848,1393846,1418045,1479852,1526568
,Bihar,2198711,2636490,2993110,3251849,3016624,3156735
,Chandigarh,6610,6368,5245,4867,4854,-
,Chhattisgarh,926819,1166805,1202919,1388458,1392064,1414973
,Delhi,122969,133148,134412,136440,143700,147908
,Goa,62276,62990,64229,61764,64548,-
,Gujarat,3354400,4209796,4481060,3994542,5284307,-
,Haryana,2477116,2609154,2819950,2797350,2884831,2870676
,Himachal Pradesh,422462,545306,506400,560233,659451,-
,Jammu & Kashmir,658067,728198,746567,727715,773203,647728
,Jharkhand,925089,972177,1282061,1375029,1501690,1640019
,Karnataka,3406340,3957253,3631701,3749106,4122807,4300176
,Kerala,1603666,1486915,1570119,1593167,1547330,-
,Madhya Pradesh,3598490,3604573,4136480,4942961,6035688,7249726
,Maharashtra,4328650,5401564,5163326,5128222,5544115,4863579
,Manipur,141375,109811,113801,126777,129200,-
,Meghalaya,126314,128949,136728,154494,167283,180538
,Mizoram,64153,77292,74003,73501,73002,-
,Nagaland,179919,196516,207471,215770,224803,234222
,Odisha,1800886,1842269,1819897,2043778,1797244,1832585
,Puducherry,24306,30988,27458,32488,34760,38741
,Punjab,3292459,3343822,3402467,3413534,3520186,3493847
,Rajasthan,3116314,4423913,4368803,4351106,4589323,4712674
,Sikkim,34565,36466,51622,52756,54626,-
,Tamil Nadu,2673838,2879460,3197598,2780764,3009426,3151154
,Telangana,1920554,2332014,2297670,2579036,2798417,2458308
,Tripura,244047,261659,261671,265837,276470,-
,Uttar Pradesh,7850286,8234413,8726191,9147772,9250534,9648201
,Uttarakhand,447373,468168,485529,534377,499101,522840
,West Bengal,4565890,4470212,4479178,4642724,4709277,4779796
