Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 37: NET STATE VALUE ADDED BY ECONOMIC ACTIVITY - AGRICULTURE,,,,,,
,(Constant Prices) (Contd.),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2004-05,,,,,
,,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
,Andaman & Nicobar Islands,20843,22275,22757,23800,24416,-
,Andhra Pradesh,3818759,3634745,3639036,3851125,4073417,4147280
,Arunachal Pradesh,64720,81498,95571,97001,103352,107390
,Assam,1244862,1283447,1293594,1308269,1353671,1381530
,Bihar,1908710,2304498,2653298,2872567,2664778,2788546
,Chandigarh,6309,6078,5006,4645,4633,-
,Chhattisgarh,833500,1061063,1094261,1267644,1260254,1273038
,Delhi,121246,131161,132376,134169,141551,145643
,Goa,53193,53082,54352,51295,53451,-
,Gujarat,2933900,3776921,4177896,3656558,4450539,-
,Haryana,2311190,2418900,2624365,2580701,2673084,2659969
,Himachal Pradesh,337775,435994,404887,447929,527258,-
,Jammu & Kashmir,574435,627323,637926,624799,663854,556124
,Jharkhand,846417,888157,1171260,1300029,1371907,1497577
,Karnataka,3137621,3657875,3328717,3418970,3735884,3896607
,Kerala,1298181,1163537,1228440,1244846,1209031,-
,Madhya Pradesh,3302709,3266430,3787239,4556522,5612853,6793978
,Maharashtra,3985673,5022122,4782335,4714184,5096499,4470907
,Manipur,131442,99390,102954,114113,116294,-
,Meghalaya,114290,115038,122393,138299,149748,161613
,Mizoram,60133,72704,69374,68437,67513,-
,Nagaland,173773,189934,200522,208543,216616,225281
,Odisha,1676037,1703136,1678363,1890278,1633723,1658388
,Puducherry,22621,29104,25547,30376,32501,36095
,Punjab,3050648,3084677,3120192,3100311,3177415,3179727
,Rajasthan,2816365,4082864,4020514,3965975,4183106,4295540
,Sikkim,31567,33121,48198,49248,51050,-
,Tamil Nadu,2457731,2634148,2950003,2506373,2712471,2840215
,Telangana,1801356,2180633,2141183,2403397,2607838,2290890
,Tripura,234457,244360,254230,257724,270146,-
,Uttar Pradesh,7043912,7311199,7780509,8097174,8188134,8540130
,Uttarakhand,382857,394715,410213,450876,412654,433344
,West Bengal,4354913,4228835,4233007,4368769,4431395,4497753
