Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 37: NET STATE VALUE ADDED BY ECONOMIC ACTIVITY - AGRICULTURE,,,,,,
,(Constant Prices) (Contd.),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2011-12,,,,,
,,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
,Andaman & Nicobar Islands,22673,23144,25657,26841,26766,21714
,Andhra Pradesh,4769366,4793197,5560702,5570842,5297026,5850875
,Arunachal Pradesh,248503,273221,287222,294674,258899,182046
,Assam,1888760,2298656,2171636,2107447,2275122,2390436
,Bihar,3905314,4367513,3290765,3073814,3063960,3385781
,Chandigarh,749,698,594,499,469,427
,Chhattisgarh,1646143,1759339,1802700,1852931,1778748,2244327
,Delhi,62741,57427,51344,23598,17277,17229
,Goa,93081,93645,100326,97303,93569,101136
,Gujarat,7559820,5877481,8187059,7913255,7263047,7816676
,Haryana,3765609,3508882,3533449,3185780,3229284,3632329
,Himachal Pradesh,506994,563076,673414,577750,660768,544259
,Jammu & Kashmir*,623142,548997,585888,361664,579600,562081
,Jharkhand,1227605,1375517,1297247,1365336,987460,1304171
,Karnataka,4807446,4358184,4807504,5069296,4228126,4303893
,Kerala,2156600,1927695,1810319,1710998,1444814,1513952
,Madhya Pradesh,6889445,8916071,8687182,8768349,8357378,11145635
,Maharashtra,9615252,9395541,11205250,9189037,8426242,10684082
,Manipur,120337,140047,147174,155764,130841,119341
,Meghalaya,145770,175360,177756,185992,189972,189646
,Mizoram,71321,68250,77727,82384,78197,81225
,Nagaland,161408,189204,225448,236193,233195,235054
,Odisha,2323278,2907474,2599028,2869312,2156170,2706396
,Puducherry,11067,13206,12562,14972,8918,7800
,Punjab,4744202,4732731,4866514,4495122,4453609,4762161
,Rajasthan,6716402,6889645,7449123,7028062,6484582,6721387
,Sikkim,67799,70346,70980,71308,71548,81071
,Tamil Nadu,5031026,3849207,4644185,4813262,4554362,3030753
,Telangana,2955435,3254793,3407312,2619091,2072273,2475874
,Tripura,307680,325726,355107,358415,354370,379442
,Uttar Pradesh,11143150,11675934,11244514,10434577,10955996,11697921
,Uttarakhand,654767,655489,597741,577197,509725,543819
,West Bengal,6939766,7211011,7039577,7523872,7450630,7625248
