Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 39: GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY - MANUFACTURING,,,,,,
,(Constant Prices) (Contd.),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2011-12,,,,,
,,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
,Andaman & Nicobar Islands,6334,6372,6658,4810,7549,8337
,Andhra Pradesh,5070622,4018820,3857458,4882841,5496895,6054494
,Arunachal Pradesh,12900,14037,18285,64970,44271,49283
,Assam,1540255,1426544,1673668,1802930,2531956,2944863
,Bihar,1466570,971402,1889284,2595799,2338424,2917563
,Chandigarh,101724,108087,124029,92697,95515,114908
,Chhattisgarh,2435032,2660179,3588922,3313429,3402519,3168509
,Delhi,1890728,2203494,2293900,2059873,2805646,2687146
,Goa,1629346,1389382,1016189,1717237,1991381,2154899
,Gujarat,15681931,19338449,19838758,24024735,27820644,30825273
,Haryana,5328609,6331166,6745901,7232084,8493638,9715752
,Himachal Pradesh,1799826,1924071,2052196,2262154,2565356,2984949
,Jammu & Kashmir*,797560,743851,760705,784304,907471,914136
,Jharkhand,3016583,3614824,3356361,3672018,2726440,3656754
,Karnataka,9713888,10278581,10790066,10737587,13009332,16646176
,Kerala,3420404,3846915,3668087,3772760,4845374,5726838
,Madhya Pradesh,3828625,3950229,3665391,3758955,4823080,5320558
,Maharashtra,24603175,26616569,29276153,30765117,34088245,36416354
,Manipur,40990,28894,41278,40523,52135,54581
,Meghalaya,464603,466490,382776,316380,156142,182347
,Mizoram,6578,6609,7007,7133,9892,10578
,Nagaland,15122,18343,14020,16087,22607,26178
,Odisha,4116404,3985120,4830204,4374503,4840719,6449059
,Puducherry,427827,415760,543613,418220,485688,509427
,Punjab,3750728,3892533,4096020,4298654,4559941,4881747
,Rajasthan,6666606,5330888,4900336,5548790,6976098,7184463
,Sikkim,430623,431783,466812,523485,598054,675111
,Tamil Nadu,15176801,16945553,16632909,16209238,19970561,22451412
,Telangana,6215158,5259759,5218160,4827558,6375078,6494309
,Tripura,72651,115351,107836,146293,110593,146648
,Uttar Pradesh,8763582,9127051,10381954,9341794,11805778,17352921
,Uttarakhand,4365135,4869750,5050710,5288415,5796017,6345624
,West Bengal,6952409,6969505,6994457,6423027,7805565,9089555
