Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,TABLE 39: GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY - MANUFACTURING,,,,,,,
,(Constant Prices) (Concld.),,,,,,,
,(₹ Lakh),,,,,,,
,State/Union Territory,Base: 2011-12,,,,,,
,,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
,Andaman & Nicobar Islands,7301,6616,5932,5393,4903,3938,-
,Andhra Pradesh,6570059,7151499,7158970,9859538,10333360,10706782,11327775
,Arunachal Pradesh,36892,48429,20977,19906,35746,33091,-
,Assam,3343622,3363102,3469328,3961311,4362342,4468211,4224643
,Bihar,3058795,3018233,3103967,3533999,3669785,3449033,3496624
,Chandigarh,102134,124301,121517,100887,90797,82545,-
,Chhattisgarh,3504001,4456271,4532028,4814504,5843163,6097590,6409469
,Delhi,2699746,2757320,2894076,2895500,3226810,3245252,3390857
,Goa,2209782,2291742,2261738,2224691,2133496,1823870,-
,Gujarat,34308529,38665712,40892857,38729625,42954292,44015190,-
,Haryana,9903141,11452398,10923665,10158994,11514817,12374397,13187504
,Himachal Pradesh,3364873,3705269,3709382,3543729,3872076,4026150,4382931
,Jammu & Kashmir*,942865,925639,865861,1118435,852365,903484,952909
,Jharkhand,4168279,5101204,4618414,4685716,5834901,6026838,6251561
,Karnataka,16913665,17987383,16967696,16797019,18632681,19015405,20429434
,Kerala,6074124,5753666,5697196,5923663,6194816,6323852,6513445
,Madhya Pradesh,5732036,7337213,6182647,5596629,6057226,6286625,6658957
,Maharashtra,37360205,37538282,34719569,32450485,34916952,35660663,38342517
,Manipur,53275,52165,36966,39218,41675,38446,-
,Meghalaya,223499,233341,268230,224014,271702,269043,278791
,Mizoram,9890,10497,13004,5741,12253,11842,-
,Nagaland,26407,29351,26936,21761,19949,19006,-
,Odisha,7773873,9214682,8152166,9630983,12001907,11660644,12691027
,Puducherry,557857,983957,859318,861035,658696,664880,673585
,Punjab,5167533,5421627,5508671,5808718,6570755,6957237,7387851
,Rajasthan,7333651,8265432,9051280,9193769,10278293,10662877,12750006
,Sikkim,782910,820963,784857,742458,799531,830705,862015
,Tamil Nadu,24898500,26968103,26797294,26461739,28935008,31623514,33636400
,Telangana,7095034,8268600,8103534,8315691,8376090,7911924,8866471
,Tripura,129820,120953,134991,135246,132747,152126,164477
,Uttar Pradesh,15454385,14555129,14947238,15283535,17101511,16819148,19493438
,Uttarakhand,6772170,6733288,6645436,5654961,6254279,6628381,7171898
,West Bengal,10135979,11917620,11747316,12434091,13745768,14658535,15722394
,-: Not Available.,,,,,,,
,"* : For the years 2011-12 till 2018-19, figures relate to Jammu and Kashmir & Ladakh and for the years 2019-20 to 2023-24, relate to UT of Jammu and Kashmir.",,,,,,,
,"Source: National Statistical Office, Ministry of Statistics and Programme Implementation, Government of India.",,,,,,,
