Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,TABLE 40: NET STATE VALUE ADDED BY ECONOMIC ACTIVITY - MANUFACTURING,,,,,
,(Current Prices),,,,,
,(₹ Lakh),,,,,
,State/Union Territory,Base: 2004-05,,,,
,,2004-05,2005-06,2006-07,2007-08,2008-09
,Andaman & Nicobar Islands,1662,1387,1895,2343,2443
,Andhra Pradesh,1179075,1223165,1397980,1660583,1875417
,Arunachal Pradesh,7069,8427,10010,11616,12458
,Assam,432430,428633,471758,448216,435354
,Bihar,343745,329161,382239,534971,725531
,Chandigarh,48974,52207,65148,77899,80154
,Chhattisgarh,820238,635345,1140835,1412066,1544940
,Delhi,637193,721859,824559,964127,979515
,Goa,311027,352531,394542,433509,539819
,Gujarat,4026500,4977500,5908900,6673300,7393900
,Haryana,1628205,1828474,2046527,2254533,2572371
,Himachal Pradesh,223392,234070,285446,284725,439955
,Jammu & Kashmir,125725,136552,163490,190204,222458
,Jharkhand,1753023,1357469,1196961,2214416,1506490
,Karnataka,2340217,2483175,3453420,3765841,4485289
,Kerala,808608,861032,973874,1226886,1395116
,Madhya Pradesh,980186,1094896,1550664,1715464,2180436
,Maharashtra,6732816,9398845,11787926,13887695,13695604
,Manipur,18894,20447,24540,30268,30334
,Meghalaya,12852,25304,48293,57262,55661
,Mizoram,2632,2612,3316,4396,4226
,Nagaland,8511,10755,12718,14905,14954
,Odisha,626706,555221,790973,1073528,1327830
,Puducherry,164649,317930,271871,284627,323084
,Punjab,1207208,1345666,1821651,2379393,2472108
,Rajasthan,1269814,1470160,2008206,2146276,2489271
,Sikkim,6395,6883,8218,10155,11387
,Tamil Nadu,3282383,3905796,4972406,5244162,5337603
,Telangana,889427,1038383,1422720,1459651,1996988
,Tripura,32893,21940,25954,29877,30753
,Uttar Pradesh,2738719,2942918,3836725,4297489,4162859
,Uttarakhand,249951,394603,497468,769635,930284
,West Bengal,1774449,1769001,2177774,2617247,2778486
