Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 41: NET STATE VALUE ADDED BY ECONOMIC ACTIVITY - MANUFACTURING,,,,,,
,(Constant Prices) (Contd.),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2011-12,,,,,
,,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
,Andaman & Nicobar Islands,5052,5098,5300,3512,6277,7039
,Andhra Pradesh,3969153,3047249,2701406,3721730,4296778,4306091
,Arunachal Pradesh,9934,11338,15161,60612,40163,45556
,Assam,1274688,1199593,1444523,1573198,2099360,2586928
,Bihar,1268069,789607,1691289,2376058,2127002,2696745
,Chandigarh,91508,100609,115812,83713,85360,106213
,Chhattisgarh,2096873,2313479,3243314,2920843,2995128,2539959
,Delhi,1591119,1892053,1992032,1744814,2500209,2385360
,Goa,1508357,1294246,922261,1610989,1884849,2044276
,Gujarat,11184924,15040279,15300520,18575485,21471826,24042421
,Haryana,4454729,5253032,5804855,6095452,7207708,8335398
,Himachal Pradesh,1393182,1504007,1683199,1841069,2087832,2654515
,Jammu & Kashmir*,624272,580359,595588,609143,747146,742645
,Jharkhand,2740497,3388295,3103621,3462673,2520129,3421197
,Karnataka,8343501,8778247,9081837,9019470,11302092,14887347
,Kerala,3000616,3404420,3226609,3276047,4226212,5059920
,Madhya Pradesh,2967896,2159834,2575161,2640189,3705230,4174515
,Maharashtra,20680409,22202071,25047869,26369106,29626776,32190589
,Manipur,32858,20586,32505,31471,43071,44922
,Meghalaya,426023,422228,338181,273050,109372,140501
,Mizoram,4968,5253,5570,5702,8510,9172
,Nagaland,11153,13906,9537,11410,17876,21585
,Odisha,3273608,3259701,3798066,3251093,3476764,4858979
,Puducherry,368161,350079,480749,347223,423511,448006
,Punjab,2940858,3092552,3257929,3493724,3751196,4123948
,Rajasthan,5689422,4316304,3799857,4379336,5751651,5914130
,Sikkim,413380,411667,443382,499778,555850,627627
,Tamil Nadu,12163483,13887693,12569147,12842743,16648495,19033037
,Telangana,5292515,4362566,4350148,3985411,5492396,5594860
,Tripura,62462,105242,96542,134735,98503,133964
,Uttar Pradesh,6919442,7392673,8552794,7465709,9434858,15447730
,Uttarakhand,3741191,4229589,4401140,4719555,5233268,5796529
,West Bengal,5780269,5876362,5943262,5274087,6729882,7883496
