Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 42: GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY - CONSTRUCTION,,,,,,
,(Current Prices) (Contd.),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2011-12,,,,,
,,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
,Andaman & Nicobar Islands,53695,60319,67996,68927,76734,84854
,Andhra Pradesh,3702645,3759004,4065131,4532380,4560250,5040086
,Arunachal Pradesh,104529,107821,124594,200871,166678,184477
,Assam,1188747,1270304,1537481,1678700,1615093,1968864
,Bihar,2701685,2781005,3184760,3267784,3251516,3527262
,Chandigarh,113825,114129,129238,134214,135860,145740
,Chhattisgarh,1901330,1920771,2260022,2541824,2503685,3038575
,Delhi,1666852,1786576,1982965,1986540,2081873,2469835
,Goa,135801,140399,161627,162041,202728,189936
,Gujarat,4469267,4702959,5352370,5577264,5503048,5881881
,Haryana,2975966,3042391,3571936,3662085,3608446,3935574
,Himachal Pradesh,638216,711075,775084,807044,801175,866813
,Jammu & Kashmir*,652949,693614,790272,849300,855011,980036
,Jharkhand,1439526,1455717,1699296,1750743,1725906,1886296
,Karnataka,5033145,5233950,5940134,6137487,6110614,6431733
,Kerala,5308794,5544177,6436556,7013906,7028829,7667316
,Madhya Pradesh,3495447,3499404,4080463,4217923,4372493,4894443
,Maharashtra,8055213,8396157,9253570,10115142,10041008,10898224
,Manipur,100712,106164,120023,191000,202688,191502
,Meghalaya,113619,103723,117094,135269,181822,172996
,Mizoram,89328,88507,113326,125175,141137,151505
,Nagaland,105135,113744,117862,135297,157865,181176
,Odisha,2059629,2074164,2314669,2393041,2370792,2609537
,Puducherry,244130,245390,297167,319326,325189,358939
,Punjab,1978423,2054739,2256358,2308915,2295407,2526228
,Rajasthan,4359171,4568112,5259336,5634918,5600200,5947297
,Sikkim,67095,67755,75613,77585,96740,90014
,Tamil Nadu,9247221,10235643,11412163,11914451,12424622,13367262
,Telangana,2279090,2357908,2458242,2778617,2847345,2855442
,Tripura,148327,151630,174411,150174,198252,215067
,Uttar Pradesh,8487701,9320623,10113422,11285665,11527519,12518605
,Uttarakhand,883766,936950,1242406,1297607,1313471,1416292
,West Bengal,4440021,4785994,5279474,5368490,5377274,5774233
