Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 43: GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY - CONSTRUCTION,,,,,,
,(Constant Prices) (Contd.),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2011-12,,,,,
,,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
,Andaman & Nicobar Islands,53695,56388,61396,63828,70447,79480
,Andhra Pradesh,3702645,3557072,3707561,3996330,3994701,4365728
,Arunachal Pradesh,104529,100177,110953,173702,144364,149873
,Assam,1188747,1183219,1351276,1446532,1509561,1725258
,Bihar,2701685,2560762,2726067,2601943,2866880,2986235
,Chandigarh,113825,105008,113053,113662,118228,122998
,Chhattisgarh,1901330,1787106,1760222,1763809,1641223,1874831
,Delhi,1666852,1631484,1680535,1608184,1623918,1833738
,Goa,135801,129211,143137,139501,181179,166354
,Gujarat,4469267,4612284,5004328,5142692,5122121,5135761
,Haryana,2975966,2761498,3068676,3014678,2958179,3152208
,Himachal Pradesh,638216,675541,723125,767528,757162,819903
,Jammu & Kashmir*,652949,639993,707160,673346,689328,783726
,Jharkhand,1439526,1344315,1484303,1490431,1514673,1599270
,Karnataka,5033145,4772392,5381967,5400228,5549240,5579969
,Kerala,5308794,5144715,5615519,5744060,5741786,6190002
,Madhya Pradesh,3495447,3249077,3519458,3573333,3603975,3741354
,Maharashtra,8055213,7751740,8046688,8680703,8847319,9326105
,Manipur,100712,99017,111497,172786,198602,167221
,Meghalaya,113619,97027,100372,105083,126077,113894
,Mizoram,89328,81645,99986,106858,121596,133065
,Nagaland,105135,105374,81435,95938,107752,114874
,Odisha,2059629,2009633,2144855,2138636,2146416,2300759
,Puducherry,244130,219651,264719,230941,232624,252052
,Punjab,1978423,1942098,1997838,2025364,2071872,2132174
,Rajasthan,4359171,4269383,4506320,4569177,4495952,4635357
,Sikkim,67095,63127,66590,66452,72499,65242
,Tamil Nadu,9247221,9268389,10030098,10122449,10666070,11337286
,Telangana,2279090,2314468,2136705,2333163,2398644,2435509
,Tripura,148327,149833,167203,134256,164624,203153
,Uttar Pradesh,8487701,8573758,8671279,9232528,9716501,10356801
,Uttarakhand,883766,852422,1080655,1094865,1092495,1213594
,West Bengal,4440021,4586293,5051585,5012952,4533856,5746116
