Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 44: NET STATE VALUE ADDED BY ECONOMIC ACTIVITY – CONSTRUCTION ,,,,,,
,(Current Prices) (Contd.),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2004-05,,,,,
,,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
,Andaman & Nicobar Islands,82817,85226,109330,128507,151497,-
,Andhra Pradesh,2433572,2772129,3098617,3329481,3710012,4069177
,Arunachal Pradesh,120210,161953,167683,149289,209490,245324
,Assam,712545,929293,1152227,1165303,1326488,1622350
,Bihar,1800825,2614829,3036593,3279887,4081994,4876496
,Chandigarh,125410,123822,149958,141636,153767,-
,Chhattisgarh,909802,1121824,1877323,2151428,2363822,2576427
,Delhi,1812256,1779521,1924259,2005340,2142266,2275748
,Goa,201945,202833,232928,256579,291404,-
,Gujarat,3010600,3363677,4172153,4646801,5357694,-
,Haryana,1932109,2079800,2580247,2970112,3388598,3879865
,Himachal Pradesh,689553,704853,763447,819370,882299,-
,Jammu & Kashmir,711693,716767,829215,886052,969153,1018537
,Jharkhand,766775,1015162,1125830,1269536,1503836,1769491
,Karnataka,2921604,3673590,4275107,4595569,5089887,5557999
,Kerala,2685130,3335394,3792738,4167909,4426599,-
,Madhya Pradesh,2158515,2703478,3176927,3478888,3803451,4172565
,Maharashtra,5278546,6487497,7506624,8061347,8939970,10320941
,Manipur,180216,134146,175489,179158,195985,-
,Meghalaya,199895,214672,313970,345387,426499,465967
,Mizoram,74240,76553,91401,139474,212831,-
,Nagaland,121665,102184,139399,154773,172572,192418
,Odisha,1495821,1857457,2302682,2472815,2605734,3279855
,Puducherry,110596,123563,139795,147351,184117,196797
,Punjab,1447019,1522806,1651909,1821556,1965401,2122043
,Rajasthan,2667315,3207885,3735660,4124788,4447800,4885660
,Sikkim,58611,67170,94980,144770,202229,-
,Tamil Nadu,4307234,5719209,6760755,7195206,7940096,9169755
,Telangana,1963580,2236757,2485196,2849128,3101246,3497632
,Tripura,240481,230137,297196,322758,380854,-
,Uttar Pradesh,4457131,4950765,5424244,6116825,6886096,7503854
,Uttarakhand,556704,657991,792224,834630,1097284,1326817
,West Bengal,2309267,2762621,2948999,3026981,3248911,3721231
