Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 47: GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY - INDUSTRY,,,,,,
,(Constant Prices) (Contd.),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2004-05,,,,,
,,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
,Andaman & Nicobar Islands,81600,84964,85560,90829,92301,-
,Andhra Pradesh,4366556,4507954,5091104,4868962,4918653,5177101
,Arunachal Pradesh,150984,169064,165084,148637,177768,194605
,Assam,1660887,1687269,1751500,1877106,1980513,2126561
,Bihar,2152940,2765250,2851557,2878628,3220285,3512306
,Chandigarh,192864,181548,190027,190547,192588,-
,Chhattisgarh,3229516,3305613,3635221,3838264,4037462,4228172
,Delhi,2346119,2196235,2096455,2211747,2181325,2297011
,Goa,883494,968623,1001737,954823,1006193,-
,Gujarat,14602600,15063529,15745767,16681641,17282452,-
,Haryana,4590350,4847582,5084322,5309575,5544575,5801060
,Himachal Pradesh,1552894,1613683,1695823,1754319,1796963,-
,Jammu & Kashmir,991567,965969,995192,1074619,1150705,1167605
,Jharkhand,3098171,3758532,3736673,3869713,4102510,4288344
,Karnataka,7354186,8054698,8305167,8279532,8627279,9003108
,Kerala,3744616,4252321,4441416,4541496,4586980,-
,Madhya Pradesh,5045755,5391967,5675748,5811723,5959846,6224822
,Maharashtra,20023451,22755162,22800246,24907413,26028915,27072556
,Manipur,232918,198324,206320,210488,214953,-
,Meghalaya,287450,306628,384066,383178,421667,436728
,Mizoram,78817,81867,83791,85557,88213,-
,Nagaland,138129,117454,132630,143899,155011,167098
,Odisha,3976110,4297999,4451579,4417572,4547744,4969142
,Puducherry,472306,443203,451148,461996,474668,488047
,Punjab,4278628,4547156,4653882,4750766,4849779,4948525
,Rajasthan,6066754,6322565,7573878,7994577,8080572,8323354
,Sikkim,242622,283338,313661,340874,372800,-
,Tamil Nadu,11033619,12723942,13244766,13525594,13946860,14454101
,Telangana,4276911,4996941,5284240,5066145,5072480,5280993
,Tripura,333014,333641,364485,399014,432787,-
,Uttar Pradesh,8991324,9606320,9640976,9847172,10039526,10233067
,Uttarakhand,1773993,2018102,2260999,2471096,2783646,3126984
,West Bengal,5843877,6184007,6061022,6703446,7110452,7469676
