Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 54: GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY - SERVICES,,,,,,
,(Current Prices) (Contd.),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2011-12,,,,,
,,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
,Andaman & Nicobar Islands,265222,300411,331892,366142,403670,469202
,Andhra Pradesh,14308520,16592526,19035788,21523018,24895279,26324629
,Arunachal Pradesh,420385,458513,545792,604672,673434,769915
,Assam,6295033,7008377,7969726,8873579,9771859,10766037
,Bihar,13409195,15718193,17454166,18974816,21416063,23539766
,Chandigarh,1620834,1888990,2153485,2350905,2530284,2834206
,Chhattisgarh,5140420,5800032,6676857,7270475,7834753,8739937
,Delhi,25296499,28404102,31892716,36887909,40360012,45055091
,Goa,1231621,1339245,1475558,1681083,1855158,2118611
,Gujarat,20263330,24207926,26801079,29913701,32579924,36564368
,Haryana,12292516,14475079,16847695,19179307,21537009,24145935
,Himachal Pradesh,2708562,3153127,3565496,4044985,4421188,4849560
,Jammu & Kashmir*,4070053,4591888,5130258,5450902,6293491,6774663
,Jharkhand,5361695,6097292,6855181,7820651,8388034,9176648
,Karnataka,31386327,37335544,44744001,51791812,60369844,69581378
,Kerala,19322138,22687130,25930423,28641945,31506482,35357484
,Madhya Pradesh,11863234,14058679,15943591,17652926,19689578,22003546
,Maharashtra,58450931,67796177,77132273,87391284,96533275,108679024
,Manipur,825311,883040,1020775,1120586,1210397,1331872
,Meghalaya,846097,961451,1091850,1176668,1282650,1420827
,Mizoram,441537,528979,588011,635628,708816,791309
,Nagaland,677851,772339,908121,999749,1093883,1174548
,Odisha,8488159,9682545,10973261,12134082,13180706,14109793
,Puducherry,685793,810076,870113,988533,1105396,1238456
,Punjab,11112867,12770427,14069343,15375744,16416663,17865863
,Rajasthan,16157472,18913977,21932128,24980273,27620134,30697595
,Sikkim,313932,373345,421451,463925,521319,553796
,Tamil Nadu,34982521,40403840,46753514,53271532,57309017,63264719
,Telangana,17759661,21030774,24227296,28601072,32964122,38191200
,Tripura,984954,1108424,1315025,1263420,1523449,1633676
,Uttar Pradesh,31032616,35652242,40729658,45614831,50464892,55404875
,Uttarakhand,3670011,4196552,4958583,5597331,6288295,7008133
,West Bengal,24885034,28700533,32680663,36557930,40275944,44350743
