Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 57: NET STATE VALUE ADDED BY ECONOMIC ACTIVITY - SERVICES (Constant Prices) (Contd.),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2011-12,,,,,
,,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
,Andaman & Nicobar Islands,231097,241272,251774,276135,288934,338021
,Andhra Pradesh,12736119,13891379,14805713,16203607,18263190,18413851
,Arunachal Pradesh,376187,379840,416585,432249,464178,516851
,Assam,5700473,5819477,6155961,6614944,6812712,6759162
,Bihar,12415073,13333941,13699956,14005341,15129685,15812967
,Chandigarh,1459440,1596580,1712991,1800407,1912173,2088977
,Chhattisgarh,4653885,4852575,5241260,5436910,5753939,6037576
,Delhi,23008302,24175556,25535827,28756150,30957742,32971828
,Goa,1069204,1084472,1106697,1210776,1336102,1409120
,Gujarat,18124377,20429173,21423723,23255014,24998108,26855783
,Haryana,11144751,12296567,13460143,14808728,16397214,17757958
,Himachal Pradesh,2307541,2499391,2615530,2880459,3086925,3255619
,Jammu & Kashmir*,3353049,3521896,3655215,3734752,4118168,4186478
,Jharkhand,4762065,5078126,5333434,5901224,6295219,6634352
,Karnataka,28890822,31982298,35406759,37821154,42624200,47145464
,Kerala,17390244,19042424,20439675,21507602,23021095,24479104
,Madhya Pradesh,10496152,11502940,11942912,12595041,13627029,14565098
,Maharashtra,49597229,53667808,57457612,62593309,67373230,73248349
,Manipur,732298,741172,782415,841498,904354,935231
,Meghalaya,745123,788986,832210,871415,955301,1028875
,Mizoram,385729,435825,455501,480512,538159,587481
,Nagaland,579119,620205,688216,716396,723546,761140
,Odisha,7618428,8175433,8674317,9371877,10280452,10605974
,Puducherry,612217,657258,659460,701973,709818,766238
,Punjab,9822918,10654158,11298297,12225937,13059152,13894617
,Rajasthan,14573542,15829410,16979552,18391587,19127580,20016124
,Sikkim,261541,292049,310465,325216,347101,348632
,Tamil Nadu,31466701,33587956,36233938,39200259,40754573,43128416
,Telangana,16079475,17390421,18740316,21086218,23455209,25934741
,Tripura,869582,927289,1004917,1066425,973585,1101734
,Uttar Pradesh,27165414,28828503,30683107,33275880,35716307,37309786
,Uttarakhand,3270063,3492371,3786503,4214852,4653928,5059602
,West Bengal,22526511,23758160,24616802,26149567,27641218,28846700
