Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,TABLE 57: NET STATE VALUE ADDED BY ECONOMIC ACTIVITY - SERVICES (Constant Prices) (Concld.),,,,,,,
,(₹ Lakh),,,,,,,
,State/Union Territory,Base: 2011-12,,,,,,
,,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
,Andaman & Nicobar Islands,365109,382776,392595,361292,394348,429809,-
,Andhra Pradesh,19753570,20599173,21889234,19339130,21621066,23596340,24819711
,Arunachal Pradesh,566050,562502,644047,627118,671098,766176,-
,Assam,7579375,7391621,7934466,8272748,7121047,7846107,10887662
,Bihar,17603313,20119687,20961438,17903384,19259503,21653390,23987920
,Chandigarh,2153895,2239908,2407916,2093640,2254300,2527561,-
,Chhattisgarh,6048066,6294527,6943760,6451399,7124735,7673379,7986210
,Delhi,34562405,36250140,38012576,33655710,36049114,39378648,42383178
,Goa,1443588,1496633,1537465,1434948,1450753,1708533,-
,Gujarat,29580633,33525149,35663289,34005874,35363073,38539737,-
,Haryana,18693338,20088881,21139511,18489134,20568137,22516225,24603889
,Himachal Pradesh,3404690,3502183,3594618,3404022,3629935,4024256,4304747
,Jammu & Kashmir*,4281799,4725939,4612359,4056334,4415229,4914191,5210218
,Jharkhand,7243770,7930948,8483560,7565495,8155829,9234154,10139231
,Karnataka,49156337,53579510,58765065,54832377,60511078,66483199,72186894
,Kerala,26083395,28037154,29313304,24571715,28768189,30980895,33791201
,Madhya Pradesh,15481126,16953605,17822876,15648258,17368917,19556810,20943124
,Maharashtra,77192217,81429500,90861785,75523830,85934873,98215599,106701795
,Manipur,973643,993060,1062773,977193,1090482,1273159,-
,Meghalaya,1104337,1227638,1310271,1116318,1216669,1341929,1446947
,Mizoram,634596,677886,825995,736777,792851,935645,-
,Nagaland,807890,942066,935302,871276,995156,1058732,-
,Odisha,11506897,11695631,12478646,10720918,11649992,12564089,14302685
,Puducherry,807587,808675,851958,732832,808681,886978,954238
,Punjab,14779186,15787886,16684131,15690843,16615991,17735559,18833796
,Rajasthan,22123979,24365665,24900063,21808504,25255845,27850059,29647212
,Sikkim,363129,402092,485319,413955,431341,487161,537366
,Tamil Nadu,45572834,48070140,49832804,49294047,52401614,56894741,62108688
,Telangana,27674934,29755245,31330957,27701791,32087858,35761408,39753873
,Tripura,1341939,1448390,1583359,1421985,1494239,1623068,1761662
,Uttar Pradesh,40481960,42387602,45087934,40161033,43428567,49794612,52103411
,Uttarakhand,5546983,5746960,6046845,5208707,5914600,6470502,6931540
,West Bengal,31008458,32456057,34206363,28931903,32637915,35518823,39346627
,-: Not Available.,,,,,,,
,"* : For the years 2011-12 till 2018-19, figures relate to Jammu and Kashmir & Ladakh and for the years 2019-20 to 2023-24, relate to UT of Jammu and Kashmir.",,,,,,,
,"Source: National Statistical Office, Ministry of Statistics and Programme Implementation, Government of India.",,,,,,,
