observationAbout,observationDate,value,variableMeasured,unit,scalingFactor
country/IRL,1989,52018,dcid:Count_BirthEvent,,
country/IRL,1990,53044,dcid:Count_BirthEvent,,
country/IRL,1991,52718,dcid:Count_BirthEvent,,
country/IRL,1992,51089,dcid:Count_BirthEvent,,
country/IRL,1993,49304,dcid:Count_BirthEvent,,
country/IRL,1994,48255,dcid:Count_BirthEvent,,
country/IRL,1995,48787,dcid:Count_BirthEvent,,
country/IRL,1996,50655,dcid:Count_BirthEvent,,
country/IRL,1997,52775,dcid:Count_BirthEvent,,
country/IRL,1998,53969,dcid:Count_BirthEvent,,
country/IRL,1999,53924,dcid:Count_BirthEvent,,
country/IRL,2000,54789,dcid:Count_BirthEvent,,
country/IRL,2001,57854,dcid:Count_BirthEvent,,
country/IRL,2002,60503,dcid:Count_BirthEvent,,
country/IRL,2003,61529,dcid:Count_BirthEvent,,
country/IRL,2004,61972,dcid:Count_BirthEvent,,
country/IRL,2005,61372,dcid:Count_BirthEvent,,
country/IRL,2006,65425,dcid:Count_BirthEvent,,
country/IRL,2007,71389,dcid:Count_BirthEvent,,
country/IRL,2008,75173,dcid:Count_BirthEvent,,
country/IRL,2009,75554,dcid:Count_BirthEvent,,
country/IRL,2010,75174,dcid:Count_BirthEvent,,
country/IRL,2011,74033,dcid:Count_BirthEvent,,
country/IRL,2012,71674,dcid:Count_BirthEvent,,
country/IRL,2013,68954,dcid:Count_BirthEvent,,
country/IRL,2014,67295,dcid:Count_BirthEvent,,
country/IRL,2015,65536,dcid:Count_BirthEvent,,
country/IRL,2016,63841,dcid:Count_BirthEvent,,
country/IRL,2017,61824,dcid:Count_BirthEvent,,
country/IRL,2018,61022,dcid:Count_BirthEvent,,
country/IRL,2019,59294,dcid:Count_BirthEvent,,
country/IRL,2020,55959,dcid:Count_BirthEvent,,
country/IRL,2021,60575,dcid:Count_BirthEvent,,
country/IRL,2022,54483,dcid:Count_BirthEvent,,
country/IRL,2023,54678,dcid:Count_BirthEvent,,
