observationAbout,observationDate,value,variableMeasured,unit,scalingFactor
dcid:country/IRL,1891,3099003,dcid:Count_Person_RomanCatholicism,,
dcid:country/IRL,1891,286804,dcid:Count_Person_ChurchOfIrelandIncludingProtestant,,
dcid:country/IRL,1891,51469,dcid:Count_Person_Presbyterian,,
dcid:country/IRL,1891,18513,dcid:Count_Person_WesleyanMethodist,,
dcid:country/IRL,1891,1506,dcid:Count_Person_Judaism,,
dcid:country/IRL,1891,11399,dcid:Count_Person_IrelandOtherStatedReligion,,
dcid:country/IRL,1891,0,dcid:Count_Person_Irreligion,,
dcid:country/IRL,1891,0,dcid:indianCensus/Count_Person_Religion_ReligionNotStated,,
dcid:wikidataId/Q181882,1891,36139,dcid:Count_Person_RomanCatholicism,,
dcid:wikidataId/Q181882,1891,4454,dcid:Count_Person_ChurchOfIrelandIncludingProtestant,,
dcid:wikidataId/Q181882,1891,118,dcid:Count_Person_Presbyterian,,
dcid:wikidataId/Q181882,1891,163,dcid:Count_Person_WesleyanMethodist,,
dcid:wikidataId/Q181882,1891,5,dcid:Count_Person_Judaism,,
dcid:wikidataId/Q181882,1891,57,dcid:Count_Person_IrelandOtherStatedReligion,,
dcid:wikidataId/Q181882,1891,0,dcid:Count_Person_Irreligion,,
dcid:wikidataId/Q181882,1891,0,dcid:indianCensus/Count_Person_Religion_ReligionNotStated,,
dcid:wikidataId/Q1761,1891,322822,dcid:Count_Person_RomanCatholicism,,
dcid:wikidataId/Q1761,1891,77896,dcid:Count_Person_ChurchOfIrelandIncludingProtestant,,
dcid:wikidataId/Q1761,1891,7724,dcid:Count_Person_Presbyterian,,
dcid:wikidataId/Q1761,1891,4129,dcid:Count_Person_WesleyanMethodist,,
dcid:wikidataId/Q1761,1891,1057,dcid:Count_Person_Judaism,,
dcid:wikidataId/Q1761,1891,5588,dcid:Count_Person_IrelandOtherStatedReligion,,
dcid:wikidataId/Q1761,1891,0,dcid:Count_Person_Irreligion,,
dcid:wikidataId/Q1761,1891,0,dcid:indianCensus/Count_Person_Religion_ReligionNotStated,,
dcid:wikidataId/Q173332,1891,59034,dcid:Count_Person_RomanCatholicism,,
dcid:wikidataId/Q173332,1891,9096,dcid:Count_Person_ChurchOfIrelandIncludingProtestant,,
dcid:wikidataId/Q173332,1891,1310,dcid:Count_Person_Presbyterian,,
dcid:wikidataId/Q173332,1891,573,dcid:Count_Person_WesleyanMethodist,,
dcid:wikidataId/Q173332,1891,15,dcid:Count_Person_Judaism,,
dcid:wikidataId/Q173332,1891,178,dcid:Count_Person_IrelandOtherStatedReligion,,
dcid:wikidataId/Q173332,1891,0,dcid:Count_Person_Irreligion,,
dcid:wikidataId/Q173332,1891,0,dcid:indianCensus/Count_Person_Religion_ReligionNotStated,,
dcid:wikidataId/Q180231,1891,82732,dcid:Count_Person_RomanCatholicism,,
dcid:wikidataId/Q180231,1891,4144,dcid:Count_Person_ChurchOfIrelandIncludingProtestant,,
dcid:wikidataId/Q180231,1891,170,dcid:Count_Person_Presbyterian,,
dcid:wikidataId/Q180231,1891,132,dcid:Count_Person_WesleyanMethodist,,
dcid:wikidataId/Q180231,1891,12,dcid:Count_Person_Judaism,,
dcid:wikidataId/Q180231,1891,71,dcid:Count_Person_IrelandOtherStatedReligion,,
dcid:wikidataId/Q180231,1891,0,dcid:Count_Person_Irreligion,,
dcid:wikidataId/Q180231,1891,0,dcid:indianCensus/Count_Person_Religion_ReligionNotStated,,
