observationAbout,observationDate,value,variableMeasured,unit,scalingFactor
dcid:country/MEX,2021,65833180,dcid:Count_Person_Female,,
dcid:country/MEX,2021,63139259,dcid:Count_Person_Male,,
dcid:country/MEX,2021,128972439,dcid:Count_Person,,
dcid:country/MEX,2021,5268804,dcid:Count_Person_0To4Years_Female,,
dcid:country/MEX,2021,5401020,dcid:Count_Person_5To9Years_Female,,
dcid:country/MEX,2021,5442653,dcid:Count_Person_10To14Years_Female,,
dcid:country/MEX,2021,5451509,dcid:Count_Person_15To19Years_Female,,
dcid:country/MEX,2021,5366818,dcid:Count_Person_20To24Years_Female,,
dcid:country/MEX,2021,5334451,dcid:Count_Person_25To29Years_Female,,
dcid:country/MEX,2021,5121463,dcid:Count_Person_30To34Years_Female,,
dcid:country/MEX,2021,4788420,dcid:Count_Person_35To39Years_Female,,
dcid:country/MEX,2021,4473298,dcid:Count_Person_40To44Years_Female,,
dcid:country/MEX,2021,4202145,dcid:Count_Person_45To49Years_Female,,
dcid:country/MEX,2021,3701746,dcid:Count_Person_50To54Years_Female,,
dcid:country/MEX,2021,3142900,dcid:Count_Person_55To59Years_Female,,
dcid:country/MEX,2021,2573544,dcid:Count_Person_60To64Years_Female,,
dcid:country/MEX,2021,5564409,dcid:Count_Person_65OrMoreYears_Female,,
dcid:country/MEX,2021,5463393,dcid:Count_Person_0To4Years_Male,,
dcid:country/MEX,2021,5599947,dcid:Count_Person_5To9Years_Male,,
dcid:country/MEX,2021,5640478,dcid:Count_Person_10To14Years_Male,,
dcid:country/MEX,2021,5624910,dcid:Count_Person_15To19Years_Male,,
dcid:country/MEX,2021,5456593,dcid:Count_Person_20To24Years_Male,,
dcid:country/MEX,2021,5336323,dcid:Count_Person_25To29Years_Male,,
dcid:country/MEX,2021,4919979,dcid:Count_Person_30To34Years_Male,,
dcid:country/MEX,2021,4354874,dcid:Count_Person_35To39Years_Male,,
dcid:country/MEX,2021,3931742,dcid:Count_Person_40To44Years_Male,,
dcid:country/MEX,2021,3749218,dcid:Count_Person_45To49Years_Male,,
dcid:country/MEX,2021,3354682,dcid:Count_Person_50To54Years_Male,,
dcid:country/MEX,2021,2841770,dcid:Count_Person_55To59Years_Male,,
dcid:country/MEX,2021,2294638,dcid:Count_Person_60To64Years_Male,,
dcid:country/MEX,2021,4570712,dcid:Count_Person_65OrMoreYears_Male,,
dcid:country/MEX,2021,10732197,dcid:Count_Person_0To4Years,,
dcid:country/MEX,2021,11000967,dcid:Count_Person_5To9Years,,
dcid:country/MEX,2021,11083131,dcid:Count_Person_10To14Years,,
dcid:country/MEX,2021,11076419,dcid:Count_Person_15To19Years,,
dcid:country/MEX,2021,10823411,dcid:Count_Person_20To24Years,,
dcid:country/MEX,2021,10670774,dcid:Count_Person_25To29Years,,
dcid:country/MEX,2021,10041442,dcid:Count_Person_30To34Years,,
dcid:country/MEX,2021,9143294,dcid:Count_Person_35To39Years,,
dcid:country/MEX,2021,8405040,dcid:Count_Person_40To44Years,,
dcid:country/MEX,2021,7951363,dcid:Count_Person_45To49Years,,
dcid:country/MEX,2021,7056428,dcid:Count_Person_50To54Years,,
dcid:country/MEX,2021,5984670,dcid:Count_Person_55To59Years,,
dcid:country/MEX,2021,4868182,dcid:Count_Person_60To64Years,,
dcid:country/MEX,2021,10135121,dcid:Count_Person_65OrMoreYears,,
dcid:country/MEX,2024,67568918,dcid:Count_Person_Female,,
dcid:country/MEX,2024,64705498,dcid:Count_Person_Male,,
dcid:country/MEX,2024,132274416,dcid:Count_Person,,
dcid:country/MEX,2024,5049244,dcid:Count_Person_0To4Years_Female,,
dcid:country/MEX,2024,5199868,dcid:Count_Person_5To9Years_Female,,
dcid:country/MEX,2024,5473615,dcid:Count_Person_10To14Years_Female,,
dcid:country/MEX,2024,5564987,dcid:Count_Person_15To19Years_Female,,
dcid:country/MEX,2024,5567936,dcid:Count_Person_20To24Years_Female,,
dcid:country/MEX,2024,5459620,dcid:Count_Person_25To29Years_Female,,
dcid:country/MEX,2024,5352822,dcid:Count_Person_30To34Years_Female,,
dcid:country/MEX,2024,4954478,dcid:Count_Person_35To39Years_Female,,
dcid:country/MEX,2024,4546015,dcid:Count_Person_40To44Years_Female,,
dcid:country/MEX,2024,4275120,dcid:Count_Person_45To49Years_Female,,
dcid:country/MEX,2024,3942162,dcid:Count_Person_50To54Years_Female,,
dcid:country/MEX,2024,3361436,dcid:Count_Person_55To59Years_Female,,
dcid:country/MEX,2024,2763172,dcid:Count_Person_60To64Years_Female,,
dcid:country/MEX,2024,2118969,dcid:Count_Person_65To69Years_Female,,
dcid:country/MEX,2024,1515799,dcid:Count_Person_70To74Years_Female,,
dcid:country/MEX,2024,1088819,dcid:Count_Person_75To79Years_Female,,
dcid:country/MEX,2024,709347,dcid:Count_Person_80To84Years_Female,,
dcid:country/MEX,2024,625509,dcid:Count_Person_85OrMoreYears_Female,,
dcid:country/MEX,2024,5240545,dcid:Count_Person_0To4Years_Male,,
dcid:country/MEX,2024,5395392,dcid:Count_Person_5To9Years_Male,,
dcid:country/MEX,2024,5680503,dcid:Count_Person_10To14Years_Male,,
dcid:country/MEX,2024,5726059,dcid:Count_Person_15To19Years_Male,,
dcid:country/MEX,2024,5633880,dcid:Count_Person_20To24Years_Male,,
dcid:country/MEX,2024,5457487,dcid:Count_Person_25To29Years_Male,,
dcid:country/MEX,2024,5243266,dcid:Count_Person_30To34Years_Male,,
dcid:country/MEX,2024,4642247,dcid:Count_Person_35To39Years_Male,,
dcid:country/MEX,2024,3934189,dcid:Count_Person_40To44Years_Male,,
dcid:country/MEX,2024,3629252,dcid:Count_Person_45To49Years_Male,,
dcid:country/MEX,2024,3466687,dcid:Count_Person_50To54Years_Male,,
dcid:country/MEX,2024,3020564,dcid:Count_Person_55To59Years_Male,,
dcid:country/MEX,2024,2476336,dcid:Count_Person_60To64Years_Male,,
dcid:country/MEX,2024,1865047,dcid:Count_Person_65To69Years_Male,,
dcid:country/MEX,2024,1302692,dcid:Count_Person_70To74Years_Male,,
dcid:country/MEX,2024,914301,dcid:Count_Person_75To79Years_Male,,
dcid:country/MEX,2024,578065,dcid:Count_Person_80To84Years_Male,,
dcid:country/MEX,2024,498986,dcid:Count_Person_85OrMoreYears_Male,,
dcid:country/MEX,2024,10289789,dcid:Count_Person_0To4Years,,
dcid:country/MEX,2024,10595260,dcid:Count_Person_5To9Years,,
dcid:country/MEX,2024,11154118,dcid:Count_Person_10To14Years,,
dcid:country/MEX,2024,11291046,dcid:Count_Person_15To19Years,,
dcid:country/MEX,2024,11201816,dcid:Count_Person_20To24Years,,
dcid:country/MEX,2024,10917107,dcid:Count_Person_25To29Years,,
dcid:country/MEX,2024,10596088,dcid:Count_Person_30To34Years,,
dcid:country/MEX,2024,9596725,dcid:Count_Person_35To39Years,,
dcid:country/MEX,2024,8480204,dcid:Count_Person_40To44Years,,
dcid:country/MEX,2024,7904372,dcid:Count_Person_45To49Years,,
dcid:country/MEX,2024,7408849,dcid:Count_Person_50To54Years,,
dcid:country/MEX,2024,6382000,dcid:Count_Person_55To59Years,,
dcid:country/MEX,2024,5239508,dcid:Count_Person_60To64Years,,
