Aimag,Код,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Total,0,653,665,655,687,696,729,742,768,783,814,839,879,945,1067,1171,1288,1354,1416,1435,1439,1454,1453,1413,1410,1407
    Western region,1,129,131,134,132,132,134,135,140,140,143,144,143,145,152,163,179,183,189,192,191,198,201,200,198,201
            Bayan-Ulgii,183,22,22,24,24,24,24,25,27,26,29,29,30,31,31,32,38,43,44,44,45,50,53,53,57,62
            Govi-Altai,182,25,26,26,25,25,26,26,27,28,28,28,27,27,27,28,28,29,29,29,29,30,31,31,31,31
            Zavkhan,181,34,34,35,34,34,32,33,33,34,34,34,33,33,36,36,38,39,39,40,40,41,41,42,40,39
            Uvs,185,24,24,24,24,24,24,24,26,25,25,26,26,26,28,31,31,31,33,33,34,34,33,33,32,32
            Khovd,184,24,25,25,25,25,28,27,27,27,27,27,27,28,30,36,44,41,44,46,43,43,43,41,38,37
    Khangai region,2,152,152,151,158,159,159,163,165,164,170,172,174,182,189,201,211,214,220,223,224,236,240,235,232,231
            Arkhangai,265,28,28,31,31,29,29,30,30,29,29,29,29,29,29,31,35,36,36,35,35,36,36,35,35,35
            Bayankhongor,264,26,26,28,27,28,27,28,28,28,28,28,30,31,32,35,36,37,42,42,43,43,43,43,42,41
            Bulgan,263,24,23,23,23,25,25,24,24,23,24,24,24,24,24,25,23,23,22,22,22,22,23,22,22,22
            Orkhon,262,18,18,17,18,18,18,20,20,21,21,23,23,28,33,37,37,35,35,37,37,38,39,39,37,38
            Uvurkhangai,267,26,27,28,28,28,28,29,30,30,31,31,31,33,33,36,40,40,41,42,42,47,49,49,49,49
            Khuvsgul,261,30,30,24,31,31,32,32,33,33,37,37,37,37,38,37,40,43,44,45,45,50,50,47,47,46
    Central region,3,147,152,152,147,145,148,148,150,154,159,160,163,171,191,203,219,218,224,226,229,223,222,216,212,213
            Govisumber,344,7,7,7,7,7,7,6,6,6,7,7,6,7,9,10,9,9,10,11,10,10,10,6,6,6
            Darkhan-Uul,348,16,20,20,15,14,17,17,17,17,18,18,19,22,36,37,41,43,43,45,45,38,38,40,38,38
            Dornogovi,346,21,20,20,20,20,20,22,22,22,22,24,24,24,26,28,33,32,33,33,35,36,36,36,34,34
            Dundgovi,343,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,21,21,21,22,22,22,22,22,22
            Umnugovi,341,17,20,20,18,18,18,18,18,18,18,18,19,24,25,25,27,27,28,28,29,29,30,31,31,32
            Selenge,345,29,29,29,29,29,29,29,30,33,34,33,34,33,34,35,38,38,40,39,39,41,41,40,40,40
            Tuv,342,37,36,36,38,37,37,36,37,38,40,40,41,41,41,46,49,48,49,49,49,47,45,41,41,41
    Eastern region,4,66,66,67,69,70,70,67,67,70,69,71,73,79,81,84,88,89,95,95,93,96,96,96,92,90
            Dornod,421,24,24,24,25,26,26,23,23,23,23,23,24,26,27,28,30,32,37,37,35,36,36,36,33,32
            Sukhbaatar,422,15,15,16,16,16,16,16,16,19,18,20,20,21,21,22,24,23,24,24,24,24,24,24,24,24
            Khentii,423,27,27,27,28,28,28,28,28,28,28,28,29,32,33,34,34,34,34,34,34,36,36,36,35,34
    Ulaanbaatar,5,154,153,151,170,190,191,202,219,228,247,292,326,368,454,520,591,650,688,672,675,674,667,639,649,645
            Ulaanbaatar,511,154,153,151,170,190,191,202,219,228,247,292,326,368,454,520,591,650,688,672,675,674,667,639,649,645
    Other,6,5,11,0,11,,27,27,27,27,26,,,,,,,,,27,27,27,27,27,27,27
