observationAbout,observationDate,value,variableMeasured,#input
dcid:wikidataId/Q191792,2019,2536,dcid:Count_Person_30To34Years_LaborUnderutilized_Female,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/labour_underutilization_by_region_gender_and_agegroup.csv:2:15
dcid:wikidataId/Q191792,2020,960,dcid:Count_Person_30To34Years_LaborUnderutilized_Female,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/labour_underutilization_by_region_gender_and_agegroup.csv:2:16
dcid:wikidataId/Q191792,2021,727,dcid:Count_Person_30To34Years_LaborUnderutilized_Female,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/labour_underutilization_by_region_gender_and_agegroup.csv:2:17
dcid:wikidataId/Q191792,2022,921,dcid:Count_Person_30To34Years_LaborUnderutilized_Female,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/labour_underutilization_by_region_gender_and_agegroup.csv:2:18
dcid:wikidataId/Q191792,2023,411,dcid:Count_Person_30To34Years_LaborUnderutilized_Female,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/labour_underutilization_by_region_gender_and_agegroup.csv:2:19
dcid:wikidataId/Q191792,2024,512.45418,dcid:Count_Person_30To34Years_LaborUnderutilized_Female,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/labour_underutilization_by_region_gender_and_agegroup.csv:2:20
dcid:wikidataId/Q191792,2019,1693,dcid:Count_Person_35To39Years_LaborUnderutilized,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/labour_underutilization_by_region_gender_and_agegroup.csv:3:15
dcid:wikidataId/Q191792,2020,2481,dcid:Count_Person_35To39Years_LaborUnderutilized,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/labour_underutilization_by_region_gender_and_agegroup.csv:3:16
dcid:wikidataId/Q191792,2021,1453,dcid:Count_Person_35To39Years_LaborUnderutilized,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/labour_underutilization_by_region_gender_and_agegroup.csv:3:17
dcid:wikidataId/Q191792,2022,990,dcid:Count_Person_35To39Years_LaborUnderutilized,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/labour_underutilization_by_region_gender_and_agegroup.csv:3:18
dcid:wikidataId/Q191792,2023,838,dcid:Count_Person_35To39Years_LaborUnderutilized,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/labour_underutilization_by_region_gender_and_agegroup.csv:3:19
dcid:wikidataId/Q191792,2024,1713.8541,dcid:Count_Person_35To39Years_LaborUnderutilized,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/labour_underutilization_by_region_gender_and_agegroup.csv:3:20
dcid:wikidataId/Q191792,2019,916,dcid:Count_Person_35To39Years_LaborUnderutilized_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/labour_underutilization_by_region_gender_and_agegroup.csv:4:15
dcid:wikidataId/Q191792,2020,1327,dcid:Count_Person_35To39Years_LaborUnderutilized_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/labour_underutilization_by_region_gender_and_agegroup.csv:4:16
dcid:wikidataId/Q191792,2021,733,dcid:Count_Person_35To39Years_LaborUnderutilized_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/labour_underutilization_by_region_gender_and_agegroup.csv:4:17
dcid:wikidataId/Q191792,2022,846,dcid:Count_Person_35To39Years_LaborUnderutilized_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/labour_underutilization_by_region_gender_and_agegroup.csv:4:18
dcid:wikidataId/Q191792,2023,454,dcid:Count_Person_35To39Years_LaborUnderutilized_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/labour_underutilization_by_region_gender_and_agegroup.csv:4:19
dcid:wikidataId/Q191792,2024,802.80622,dcid:Count_Person_35To39Years_LaborUnderutilized_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/labour_underutilization_by_region_gender_and_agegroup.csv:4:20
