key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7
Region,observationAbout,{Data},,,,,,,,,,,,
,,,,,,,,,,,,,,
2009-01,observationDate,2009-01,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
2009-02,observationDate,2009-02,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
2009-03,observationDate,2009-03,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
2009-04,observationDate,2009-04,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
2009-05,observationDate,2009-05,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
2009-06,observationDate,2009-06,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
2009-07,observationDate,2009-07,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
2009-08,observationDate,2009-08,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
2009-09,observationDate,2009-09,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
2009-10,observationDate,2009-10,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
2009-11,observationDate,2009-11,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
2009-12,observationDate,2009-12,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
2010-01,observationDate,2010-01,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
2010-02,observationDate,2010-02,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
2010-03,observationDate,2010-03,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
2010-04,observationDate,2010-04,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
2010-05,observationDate,2010-05,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
2010-06,observationDate,2010-06,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
2010-07,observationDate,2010-07,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
2010-08,observationDate,2010-08,value,{Number},populationType,MortalityEvent,measuredProperty,count,measurementDenominator,Count_BirthEvent_LiveBirth,ageGroupClassification,Infant,unit,Per1000LiveBirths
