observationAbout,observationDate,value,variableMeasured
dcid:country/MNG,2016-01,1317,dcid:Count_Death
dcid:country/MNG,2016-02,1372,dcid:Count_Death
dcid:country/MNG,2016-03,1457,dcid:Count_Death
dcid:country/MNG,2016-04,1411,dcid:Count_Death
dcid:country/MNG,2016-05,1441,dcid:Count_Death
dcid:country/MNG,2016-06,1297,dcid:Count_Death
dcid:country/MNG,2016-07,1341,dcid:Count_Death
dcid:country/MNG,2016-08,1355,dcid:Count_Death
dcid:country/MNG,2016-09,1301,dcid:Count_Death
dcid:country/MNG,2016-10,1255,dcid:Count_Death
dcid:country/MNG,2016-11,1348,dcid:Count_Death
dcid:country/MNG,2016-12,1286,dcid:Count_Death
dcid:country/MNG,2017-01,1357,dcid:Count_Death
dcid:country/MNG,2017-02,1112,dcid:Count_Death
dcid:country/MNG,2017-03,1428,dcid:Count_Death
dcid:country/MNG,2017-04,1206,dcid:Count_Death
dcid:country/MNG,2017-05,1362,dcid:Count_Death
dcid:country/MNG,2017-06,1280,dcid:Count_Death
dcid:country/MNG,2017-07,1279,dcid:Count_Death
dcid:country/MNG,2017-08,1347,dcid:Count_Death
dcid:country/MNG,2017-09,1360,dcid:Count_Death
dcid:country/MNG,2017-10,1378,dcid:Count_Death
dcid:country/MNG,2017-11,1292,dcid:Count_Death
dcid:country/MNG,2017-12,1411,dcid:Count_Death
dcid:country/MNG,2018-01,1486,dcid:Count_Death
dcid:country/MNG,2018-02,1370,dcid:Count_Death
dcid:country/MNG,2018-03,1486,dcid:Count_Death
dcid:country/MNG,2018-04,1375,dcid:Count_Death
dcid:country/MNG,2018-05,1432,dcid:Count_Death
dcid:country/MNG,2018-06,1367,dcid:Count_Death
dcid:country/MNG,2018-07,1533,dcid:Count_Death
dcid:country/MNG,2018-08,1391,dcid:Count_Death
dcid:country/MNG,2018-09,1460,dcid:Count_Death
dcid:country/MNG,2018-10,1461,dcid:Count_Death
dcid:country/MNG,2018-11,1361,dcid:Count_Death
dcid:country/MNG,2018-12,1609,dcid:Count_Death
dcid:country/MNG,2019-01,1573,dcid:Count_Death
dcid:country/MNG,2019-02,1358,dcid:Count_Death
dcid:country/MNG,2019-03,1373,dcid:Count_Death
dcid:country/MNG,2019-04,1431,dcid:Count_Death
dcid:country/MNG,2019-05,1508,dcid:Count_Death
dcid:country/MNG,2019-06,1280,dcid:Count_Death
dcid:country/MNG,2019-07,1410,dcid:Count_Death
dcid:country/MNG,2019-08,1425,dcid:Count_Death
dcid:country/MNG,2019-09,1365,dcid:Count_Death
dcid:country/MNG,2019-10,1542,dcid:Count_Death
dcid:country/MNG,2019-11,1266,dcid:Count_Death
dcid:country/MNG,2019-12,1674,dcid:Count_Death
dcid:country/MNG,2020-01,1366,dcid:Count_Death
dcid:country/MNG,2020-02,1298,dcid:Count_Death
dcid:country/MNG,2020-03,1292,dcid:Count_Death
dcid:country/MNG,2020-04,1310,dcid:Count_Death
dcid:country/MNG,2020-05,1288,dcid:Count_Death
dcid:country/MNG,2020-06,1306,dcid:Count_Death
dcid:country/MNG,2020-07,1402,dcid:Count_Death
dcid:country/MNG,2020-08,1331,dcid:Count_Death
dcid:country/MNG,2020-09,1405,dcid:Count_Death
dcid:country/MNG,2020-10,1427,dcid:Count_Death
dcid:country/MNG,2020-11,1278,dcid:Count_Death
dcid:country/MNG,2020-12,1219,dcid:Count_Death
dcid:country/MNG,2021-01,1151,dcid:Count_Death
dcid:country/MNG,2021-02,1237,dcid:Count_Death
dcid:country/MNG,2021-03,1381,dcid:Count_Death
dcid:country/MNG,2021-04,1484,dcid:Count_Death
dcid:country/MNG,2021-05,1403,dcid:Count_Death
dcid:country/MNG,2021-06,1715,dcid:Count_Death
dcid:country/MNG,2021-07,1819,dcid:Count_Death
dcid:country/MNG,2021-08,1678,dcid:Count_Death
dcid:country/MNG,2021-09,2026,dcid:Count_Death
dcid:country/MNG,2021-10,2302,dcid:Count_Death
dcid:country/MNG,2021-11,1950,dcid:Count_Death
dcid:country/MNG,2021-12,1785,dcid:Count_Death
dcid:country/MNG,2022-01,1345,dcid:Count_Death
dcid:country/MNG,2022-02,1487,dcid:Count_Death
dcid:country/MNG,2022-03,1496,dcid:Count_Death
dcid:country/MNG,2022-04,1558,dcid:Count_Death
dcid:country/MNG,2022-05,1506,dcid:Count_Death
dcid:country/MNG,2022-06,1424,dcid:Count_Death
dcid:country/MNG,2022-07,1438,dcid:Count_Death
dcid:country/MNG,2022-08,1609,dcid:Count_Death
dcid:country/MNG,2022-09,1490,dcid:Count_Death
dcid:country/MNG,2022-10,1485,dcid:Count_Death
dcid:country/MNG,2022-11,1472,dcid:Count_Death
dcid:country/MNG,2022-12,1671,dcid:Count_Death
dcid:country/MNG,2023-01,1430,dcid:Count_Death
dcid:country/MNG,2023-02,1336,dcid:Count_Death
dcid:country/MNG,2023-03,1587,dcid:Count_Death
dcid:country/MNG,2023-04,1344,dcid:Count_Death
dcid:country/MNG,2023-05,1323,dcid:Count_Death
dcid:country/MNG,2023-06,1593,dcid:Count_Death
dcid:country/MNG,2023-07,1519,dcid:Count_Death
dcid:country/MNG,2023-08,1442,dcid:Count_Death
dcid:country/MNG,2023-09,1347,dcid:Count_Death
dcid:country/MNG,2023-10,1325,dcid:Count_Death
dcid:country/MNG,2023-11,1596,dcid:Count_Death
dcid:country/MNG,2023-12,1691,dcid:Count_Death
dcid:country/MNG,2024-01,1483,dcid:Count_Death
dcid:country/MNG,2024-02,1384,dcid:Count_Death
dcid:country/MNG,2024-03,1398,dcid:Count_Death
dcid:country/MNG,2024-04,1405,dcid:Count_Death
dcid:country/MNG,2024-05,1545,dcid:Count_Death
dcid:country/MNG,2024-06,1428,dcid:Count_Death
dcid:country/MNG,2024-07,1566,dcid:Count_Death
dcid:country/MNG,2024-08,1506,dcid:Count_Death
dcid:country/MNG,2024-09,1504,dcid:Count_Death
dcid:country/MNG,2024-10,1596,dcid:Count_Death
dcid:country/MNG,2024-11,1592,dcid:Count_Death
dcid:country/MNG,2024-12,1706,dcid:Count_Death
dcid:country/MNG,2025-01,1482,dcid:Count_Death
dcid:country/MNG,2025-02,1196,dcid:Count_Death
dcid:country/MNG,2025-03,1563,dcid:Count_Death
dcid:country/MNG,2025-04,1496,dcid:Count_Death
dcid:country/MNG,2025-05,1482,dcid:Count_Death
dcid:country/MNG,2025-06,1500,dcid:Count_Death
dcid:wikidataId/Q167764,2016-01,30,dcid:Count_Death
dcid:wikidataId/Q167764,2016-02,31,dcid:Count_Death
