observationAbout,observationDate,value,variableMeasured,unit
country/MNG,2015,21720,dcid:Count_HospitalBed,
country/MNG,2016,22960,dcid:Count_HospitalBed,
country/MNG,2017,23897,dcid:Count_HospitalBed,
country/MNG,2018,24884,dcid:Count_HospitalBed,
country/MNG,2019,25661,dcid:Count_HospitalBed,
country/MNG,2020,27083,dcid:Count_HospitalBed,
country/MNG,2021,35310,dcid:Count_HospitalBed,
country/MNG,2022,29629,dcid:Count_HospitalBed,
country/MNG,2023,29443,dcid:Count_HospitalBed,
country/MNG,2024,30117,dcid:Count_HospitalBed,
country/MNG,2015,6610,dcid:Count_HospitalBed_InternalMedicine,
country/MNG,2016,6610,dcid:Count_HospitalBed_InternalMedicine,
country/MNG,2017,7379,dcid:Count_HospitalBed_InternalMedicine,
country/MNG,2018,7706,dcid:Count_HospitalBed_InternalMedicine,
country/MNG,2019,7855,dcid:Count_HospitalBed_InternalMedicine,
country/MNG,2020,7886,dcid:Count_HospitalBed_InternalMedicine,
country/MNG,2021,8182,dcid:Count_HospitalBed_InternalMedicine,
country/MNG,2022,9207,dcid:Count_HospitalBed_InternalMedicine,
country/MNG,2023,9637,dcid:Count_HospitalBed_InternalMedicine,
country/MNG,2024,7564,dcid:Count_HospitalBed_InternalMedicine,
country/MNG,2015,1473,dcid:Count_HospitalBed_Surgery,
country/MNG,2016,1473,dcid:Count_HospitalBed_Surgery,
country/MNG,2017,1652,dcid:Count_HospitalBed_Surgery,
country/MNG,2018,1716,dcid:Count_HospitalBed_Surgery,
country/MNG,2019,1687,dcid:Count_HospitalBed_Surgery,
country/MNG,2020,1906,dcid:Count_HospitalBed_Surgery,
country/MNG,2021,1837,dcid:Count_HospitalBed_Surgery,
country/MNG,2022,1883,dcid:Count_HospitalBed_Surgery,
country/MNG,2023,1867,dcid:Count_HospitalBed_Surgery,
country/MNG,2024,2293,dcid:Count_HospitalBed_Surgery,
country/MNG,2015,1738,dcid:Count_HospitalBed_Obstetrics,
country/MNG,2016,1738,dcid:Count_HospitalBed_Obstetrics,
country/MNG,2017,1828,dcid:Count_HospitalBed_Obstetrics,
country/MNG,2018,1828,dcid:Count_HospitalBed_Obstetrics,
country/MNG,2019,1808,dcid:Count_HospitalBed_Obstetrics,
country/MNG,2020,1834,dcid:Count_HospitalBed_Obstetrics,
country/MNG,2021,1809,dcid:Count_HospitalBed_Obstetrics,
country/MNG,2022,1818,dcid:Count_HospitalBed_Obstetrics,
country/MNG,2023,1873,dcid:Count_HospitalBed_Obstetrics,
country/MNG,2024,1857,dcid:Count_HospitalBed_Obstetrics,
country/MNG,2015,1083,dcid:Count_HospitalBed_Gynecology,
country/MNG,2016,1083,dcid:Count_HospitalBed_Gynecology,
country/MNG,2017,1177,dcid:Count_HospitalBed_Gynecology,
country/MNG,2018,1215,dcid:Count_HospitalBed_Gynecology,
country/MNG,2019,1258,dcid:Count_HospitalBed_Gynecology,
country/MNG,2020,1333,dcid:Count_HospitalBed_Gynecology,
country/MNG,2021,1726,dcid:Count_HospitalBed_Gynecology,
country/MNG,2022,1309,dcid:Count_HospitalBed_Gynecology,
country/MNG,2023,1229,dcid:Count_HospitalBed_Gynecology,
country/MNG,2024,1663,dcid:Count_HospitalBed_Gynecology,
country/MNG,2015,2758,dcid:Count_HospitalBed_Pediatrics,
country/MNG,2016,2758,dcid:Count_HospitalBed_Pediatrics,
country/MNG,2017,3086,dcid:Count_HospitalBed_Pediatrics,
country/MNG,2018,3275,dcid:Count_HospitalBed_Pediatrics,
country/MNG,2019,3603,dcid:Count_HospitalBed_Pediatrics,
country/MNG,2020,3642,dcid:Count_HospitalBed_Pediatrics,
country/MNG,2021,3737,dcid:Count_HospitalBed_Pediatrics,
country/MNG,2022,3929,dcid:Count_HospitalBed_Pediatrics,
country/MNG,2023,3940,dcid:Count_HospitalBed_Pediatrics,
country/MNG,2024,4134,dcid:Count_HospitalBed_Pediatrics,
country/MNG,2015,1030,dcid:Count_HospitalBed_InfectiousDiseaseCare,
country/MNG,2016,1030,dcid:Count_HospitalBed_InfectiousDiseaseCare,
country/MNG,2017,1042,dcid:Count_HospitalBed_InfectiousDiseaseCare,
country/MNG,2018,1035,dcid:Count_HospitalBed_InfectiousDiseaseCare,
country/MNG,2019,1052,dcid:Count_HospitalBed_InfectiousDiseaseCare,
country/MNG,2020,1085,dcid:Count_HospitalBed_InfectiousDiseaseCare,
country/MNG,2021,9116,dcid:Count_HospitalBed_InfectiousDiseaseCare,
country/MNG,2022,1983,dcid:Count_HospitalBed_InfectiousDiseaseCare,
country/MNG,2023,1158,dcid:Count_HospitalBed_InfectiousDiseaseCare,
country/MNG,2024,1109,dcid:Count_HospitalBed_InfectiousDiseaseCare,
country/MNG,2015,358,dcid:Count_HospitalBed_Dermatology,
country/MNG,2016,358,dcid:Count_HospitalBed_Dermatology,
country/MNG,2017,428,dcid:Count_HospitalBed_Dermatology,
country/MNG,2018,426,dcid:Count_HospitalBed_Dermatology,
country/MNG,2019,443,dcid:Count_HospitalBed_Dermatology,
country/MNG,2020,439,dcid:Count_HospitalBed_Dermatology,
country/MNG,2021,363,dcid:Count_HospitalBed_Dermatology,
country/MNG,2022,383,dcid:Count_HospitalBed_Dermatology,
country/MNG,2023,377,dcid:Count_HospitalBed_Dermatology,
country/MNG,2024,369,dcid:Count_HospitalBed_Dermatology,
country/MNG,2015,533,dcid:Count_HospitalBed_TuberculosisCare,
country/MNG,2016,533,dcid:Count_HospitalBed_TuberculosisCare,
country/MNG,2017,524,dcid:Count_HospitalBed_TuberculosisCare,
country/MNG,2018,518,dcid:Count_HospitalBed_TuberculosisCare,
country/MNG,2019,525,dcid:Count_HospitalBed_TuberculosisCare,
country/MNG,2020,534,dcid:Count_HospitalBed_TuberculosisCare,
country/MNG,2021,482,dcid:Count_HospitalBed_TuberculosisCare,
country/MNG,2022,547,dcid:Count_HospitalBed_TuberculosisCare,
country/MNG,2023,523,dcid:Count_HospitalBed_TuberculosisCare,
country/MNG,2024,510,dcid:Count_HospitalBed_TuberculosisCare,
country/MNG,2015,1522,dcid:Count_HospitalBed_Neurology,
country/MNG,2016,1522,dcid:Count_HospitalBed_Neurology,
country/MNG,2017,1704,dcid:Count_HospitalBed_Neurology,
country/MNG,2018,1786,dcid:Count_HospitalBed_Neurology,
country/MNG,2019,1823,dcid:Count_HospitalBed_Neurology,
country/MNG,2020,1913,dcid:Count_HospitalBed_Neurology,
country/MNG,2021,1718,dcid:Count_HospitalBed_Neurology,
country/MNG,2022,1806,dcid:Count_HospitalBed_Neurology,
country/MNG,2023,1652,dcid:Count_HospitalBed_Neurology,
country/MNG,2024,3068,dcid:Count_HospitalBed_Neurology,
country/MNG,2015,705,dcid:Count_HospitalBed_PsychiatryAndNarcology,
country/MNG,2016,705,dcid:Count_HospitalBed_PsychiatryAndNarcology,
country/MNG,2017,764,dcid:Count_HospitalBed_PsychiatryAndNarcology,
country/MNG,2018,784,dcid:Count_HospitalBed_PsychiatryAndNarcology,
country/MNG,2019,789,dcid:Count_HospitalBed_PsychiatryAndNarcology,
country/MNG,2020,822,dcid:Count_HospitalBed_PsychiatryAndNarcology,
country/MNG,2021,841,dcid:Count_HospitalBed_PsychiatryAndNarcology,
country/MNG,2022,936,dcid:Count_HospitalBed_PsychiatryAndNarcology,
country/MNG,2023,960,dcid:Count_HospitalBed_PsychiatryAndNarcology,
country/MNG,2024,992,dcid:Count_HospitalBed_PsychiatryAndNarcology,
country/MNG,2015,838,dcid:Count_HospitalBed_Traumatology,
country/MNG,2016,838,dcid:Count_HospitalBed_Traumatology,
country/MNG,2017,873,dcid:Count_HospitalBed_Traumatology,
country/MNG,2018,925,dcid:Count_HospitalBed_Traumatology,
country/MNG,2019,954,dcid:Count_HospitalBed_Traumatology,
country/MNG,2020,1026,dcid:Count_HospitalBed_Traumatology,
country/MNG,2021,881,dcid:Count_HospitalBed_Traumatology,
country/MNG,2022,971,dcid:Count_HospitalBed_Traumatology,
country/MNG,2023,1147,dcid:Count_HospitalBed_Traumatology,
country/MNG,2024,1148,dcid:Count_HospitalBed_Traumatology,
country/MNG,2015,168,dcid:Count_HospitalBed_Nephrology,
country/MNG,2016,168,dcid:Count_HospitalBed_Nephrology,
country/MNG,2017,145,dcid:Count_HospitalBed_Nephrology,
country/MNG,2018,157,dcid:Count_HospitalBed_Nephrology,
country/MNG,2019,157,dcid:Count_HospitalBed_Nephrology,
country/MNG,2020,122,dcid:Count_HospitalBed_Nephrology,
country/MNG,2021,119,dcid:Count_HospitalBed_Nephrology,
country/MNG,2022,211,dcid:Count_HospitalBed_Nephrology,
country/MNG,2023,151,dcid:Count_HospitalBed_Nephrology,
country/MNG,2024,182,dcid:Count_HospitalBed_Nephrology,
country/MNG,2015,95,dcid:Count_HospitalBed_Urology,
country/MNG,2016,95,dcid:Count_HospitalBed_Urology,
country/MNG,2017,74,dcid:Count_HospitalBed_Urology,
country/MNG,2018,76,dcid:Count_HospitalBed_Urology,
country/MNG,2019,86,dcid:Count_HospitalBed_Urology,
country/MNG,2020,82,dcid:Count_HospitalBed_Urology,
country/MNG,2021,68,dcid:Count_HospitalBed_Urology,
country/MNG,2022,90,dcid:Count_HospitalBed_Urology,
country/MNG,2023,94,dcid:Count_HospitalBed_Urology,
country/MNG,2024,105,dcid:Count_HospitalBed_Urology,
country/MNG,2015,339,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2016,339,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2017,342,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2018,342,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2019,354,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2020,389,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2021,443,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2022,466,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2023,479,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2024,518,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2015,230,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2016,230,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2017,238,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2018,224,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2019,222,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2020,236,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2021,219,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2022,196,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2023,200,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2024,183,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2015,244,dcid:Count_HospitalBed_Otolaryngology,
country/MNG,2016,244,dcid:Count_HospitalBed_Otolaryngology,
country/MNG,2017,250,dcid:Count_HospitalBed_Otolaryngology,
country/MNG,2018,257,dcid:Count_HospitalBed_Otolaryngology,
country/MNG,2019,274,dcid:Count_HospitalBed_Otolaryngology,
