place_name,dcid,region,country
AUS,country/AUS,Australia,Australia
AU1,wikidataId/Q3224,New South Wales,Australia
AU2,wikidataId/Q36687,Victoria,Australia
AU3,wikidataId/Q36074,Queensland,Australia
AU4,wikidataId/Q35715,South Australia,Australia
AU5,wikidataId/Q3206,Western Australia,Australia
AU6,wikidataId/Q34366,Tasmania,Australia
AU7,wikidataId/Q3235,Northern Territory,Australia
AU8,wikidataId/Q3114,Canberra region (ACT),Australia
AU101,,Capital Region,Australia
AU103,,Central West,Australia
AU104,wikidataId/Q604283,Coffs Harbour - Grafton,Australia
AU105,,Far West and Orana,Australia
AU106,,Hunter Valley Exc Newcastle,Australia
AU107,,Illawarra,Australia
AU108,,Mid North Coast,Australia
AU109,wikidataId/Q1641083,Murray,Australia
AU110,,New England and North West,Australia
AU111,wikidataId/Q820325,Newcastle and Lake Macquarie,Australia
AU112,wikidataId/Q606344,Richmond - Tweed,Australia
AU113,,Riverina,Australia
AU114,,Southern Highlands and Shoalhaven,Australia
AU1GS,wikidataId/Q3130,Sydney,Australia
AU201,wikidataId/Q17856,Ballarat,Australia
AU202,wikidataId/Q497793,Bendigo,Australia
AU203,wikidataId/Q231765,Geelong,Australia
AU204,wikidataId/Q1637032,Hume,Australia
AU205,,Latrobe - Gippsland,Australia
AU215,,North West,Australia
AU216,wikidataId/Q473188,Shepparton,Australia
AU217,wikidataId/Q705867,Warrnambool and South West,Australia
AU2GM,wikidataId/Q3141,Melbourne,Australia
AU306,wikidataId/Q189133,Cairns,Australia
AU307,,Darling Downs - Maranoa,Australia
AU308,wikidataId/Q5123686,Fitzroy,Australia
AU309,wikidataId/Q140075,Gold Coast,Australia
AU312,wikidataId/Q3559122,Mackay,Australia
AU315,wikidataId/Q182262,Queensland - Outback,Australia
AU316,undata-geo/C02700020,Sunshine Coast,Australia
AU317,wikidataId/Q478302,Toowoomba,Australia
AU318,wikidataId/Q190021,Townsville,Australia
AU319,,Wide Bay,Australia
AU3GB,wikidataId/Q34932,Brisbane,Australia
AU405,,Barossa - Yorke - Mid North,Australia
AU406,,South Australia - Outback,Australia
AU407,,South Australia - South East,Australia
AU4GA,wikidataId/Q5112,Adelaide,Australia
AU501,wikidataId/Q256711,Bunbury,Australia
AU508,,Western Australia - Outback,Australia
AU509,wikidataId/Q1850966,Western Australia - Wheat Belt,Australia
AU5GP,wikidataId/Q3183,Perth,Australia
AU601,wikidataId/Q40191,Hobart,Australia
AU602,,Launceston and North East,Australia
AU603,,South East,Australia
AU604,,West and North West,Australia
AU701,wikidataId/Q2081765,Darwin,Australia
AU702,,Northern Territory - Outback,Australia
AU801,wikidataId/Q3258,Australian Capital Territory,Australia
AUT,country/AUT,Austria,Austria
AT11,nuts/AT11,Burgenland,Austria
AT12,nuts/AT12,Lower Austria,Austria
AT13,nuts/AT13,Vienna,Austria
AT21,nuts/AT21,Carinthia,Austria
AT22,nuts/AT22,Styria,Austria
AT31,nuts/AT31,Upper Austria,Austria
AT32,nuts/AT32,Salzburg,Austria
AT33,nuts/AT33,Tyrol,Austria
AT34,nuts/AT34,Vorarlberg,Austria
BEL,country/BEL,Belgium,Belgium
BE1,nuts/BE1,Brussels Capital Region,Belgium
BE2,nuts/BE2,Flemish Region,Belgium
BE3,nuts/BE3,Walloon Region,Belgium
BE31,nuts/BE31,Walloon Brabant,Belgium
BE22,nuts/BE22,Limburg (BE),Belgium
BE34,nuts/BE34,Luxembourg (BE),Belgium
BE24,nuts/BE24,Flemish Brabant,Belgium
BE25,nuts/BE25,West Flanders,Belgium
BE33,nuts/BE33,Liège,Belgium
BE10,nuts/BE10,Brussels-Capital Region,Belgium
BE23,nuts/BE23,East Flanders,Belgium
BE32,nuts/BE32,Hainaut,Belgium
BE21,nuts/BE21,Antwerp,Belgium
BE35,nuts/BE35,Namur,Belgium
BRA,country/BRA,Brazil,Brazil
BR01,wikidataId/Q40780,Acre,Brazil
BR02,wikidataId/Q40130,Amapá,Brazil
BR03,wikidataId/Q40040,Amazonas,Brazil
BR04,wikidataId/Q39517,Pará,Brazil
BR05,wikidataId/Q43235,Rondônia,Brazil
BR06,wikidataId/Q42508,Roraima,Brazil
BR07,wikidataId/Q43695,Tocantins,Brazil
BR08,wikidataId/Q40885,Alagoas,Brazil
BR09,wikidataId/Q40430,Bahia,Brazil
BR10,wikidataId/Q40123,Ceará,Brazil
BR11,wikidataId/Q42362,Maranhão,Brazil
BR12,wikidataId/Q38088,Paraíba,Brazil
BR13,wikidataId/Q40942,Pernambuco,Brazil
BR14,wikidataId/Q42722,Piauí,Brazil
BR15,wikidataId/Q43255,Rio Grande do Norte,Brazil
BR16,wikidataId/Q43783,Sergipe,Brazil
BR17,wikidataId/Q43233,Espírito Santo,Brazil
BR18,wikidataId/Q39109,Minas Gerais,Brazil
BR19,wikidataId/Q41428,Rio de Janeiro,Brazil
BR20,wikidataId/Q175,São Paulo,Brazil
BR21,wikidataId/Q15499,Paraná,Brazil
BR22,wikidataId/Q40030,Rio Grande do Sul,Brazil
BR23,wikidataId/Q41115,Santa Catarina,Brazil
BR24,wikidataId/Q119158,Distrito Federal (BR),Brazil
BR25,wikidataId/Q41587,Goiás,Brazil
BR26,wikidataId/Q42824,Mato Grosso,Brazil
BR27,wikidataId/Q43319,Mato Grosso do Sul,Brazil
BGR,country/BGR,Bulgaria,Bulgaria
BG31,nuts/BG31,North West,Bulgaria
BG32,nuts/BG32,North Central,Bulgaria
BG33,nuts/BG33,North East,Bulgaria
BG34,nuts/BG34,South East,Bulgaria
BG41,nuts/BG41,South West,Bulgaria
