key,p1,v1,p2,v2,,,p3,v3,,
Country,observationAbout,{Data},unit,Percent,,,,,,
Population connected to independent treatment,waterTreatmentSystem,WasteWaterIndependentlyTreated,populationType,Person,measuredProperty,count,measurementDenominator,waterTreatmentSystem,,
Total public sewerage (% of resident population connected to a wastewater collecting system),waterTreatmentSystem,WasteWaterCollectingSystem,populationType,Person,measuredProperty,count,residentStatus,Resident,measurementDenominator,waterTreatmentSystem
"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",waterTreatmentType,PublicSewerageWithoutTreatment,populationType,Person,measuredProperty,count,measurementDenominator,waterTreatmentType,,
Public total treatment (connected to a wastewater treatment plant),waterTreatmentType,WasteWaterTreatmentPlant,populationType,Person,measuredProperty,count,measurementDenominator,waterTreatmentType,,
"Public total treatment (connected to a wastewater treatment plant), Primary treatment",waterTreatmentLevel,PrimaryTreatment,populationType,WasteWater,waterTreatmentType,WasteWaterTreatmentPlant,measuredProperty,amount,measurementDenominator,waterTreatmentLevel
"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",waterTreatmentLevel,SecondaryTreatment,populationType,WasteWater,waterTreatmentType,WasteWaterTreatmentPlant,measuredProperty,amount,measurementDenominator,waterTreatmentLevel
"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",waterTreatmentLevel,TertiaryTreatment,populationType,WasteWater,waterTreatmentType,WasteWaterTreatmentPlant,measuredProperty,amount,measurementDenominator,waterTreatmentLevel
"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",waterTreatmentLevel,UnspecifiedTreatment,populationType,WasteWater,waterTreatmentType,WasteWaterTreatmentPlant,measuredProperty,amount,measurementDenominator,waterTreatmentLevel
Total connected to wastewater treatment,waterTreatmentStatus,WasteWaterTreated,populationType,Person,measuredProperty,count,measurementDenominator,waterTreatmentStatus,,
Year,observationDate,{Number},,,,,,,,
Value,value,{Number},,,,,,,,
Variable,name,"""{Data}""",,,,,,,,
