place_name,dcid
AUS,country/AUS
AUT,country/AUT
BEL,country/BEL
CAN,country/CAN
CZE,country/CZE
DNK,country/DNK
FIN,country/FIN
FRA,country/FRA
DEU,country/DEU
GRC,country/GRC
HUN,country/HUN
ISL,country/ISL
IRL,country/IRL
ITA,country/ITA
JPN,country/JPN
KOR,country/KOR
LUX,country/LUX
MEX,country/MEX
NLD,country/NLD
NZL,country/NZL
NOR,country/NOR
POL,country/POL
PRT,country/PRT
SVK,country/SVK
ESP,country/ESP
SWE,country/SWE
CHE,country/CHE
TUR,country/TUR
GBR,country/GBR
USA,country/USA
CHL,country/CHL
EST,country/EST
ISR,country/ISR
SVN,country/SVN
OAVG,
LVA,country/LVA
LTU,country/LTU
COL,country/COL
CRI,country/CRI
