observationAbout,observationDate,value,variableMeasured,unit,scalingFactor
country/NGA,2016,45554,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
country/NGA,2016,65397,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
country/NGA,2016,12144,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
country/NGA,2016,2695,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
country/NGA,2016,125790,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
country/NGA,2016,100,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q509300,2016,2984,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q509300,2016,9350,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q509300,2016,843,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q509300,2016,4,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q509300,2016,13181,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q509300,2016,10.47858,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q320852,2016,230,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q320852,2016,113,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q320852,2016,21,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q320852,2016,0,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q320852,2016,364,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q320852,2016,0.28937,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q337514,2016,779,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q337514,2016,1417,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q337514,2016,56,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q337514,2016,7,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q337514,2016,2259,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
