key,prop,val,p1,v1,,,,,p2,v2,p3,v3,,,,
OBS_VALUE,value,{Number},observationAbout,country/EGY,,,,,,,,,,,,
FREQ:A,observationPeriod,P1Y,,,,,,,,,,,,,,
FREQ:Q,observationPeriod,P3M,,,,,,,,,,,,,,
KN.L1,populationType,Person,#Multiply,1000000000000,,,,,name,"""Total Population""",,,,,,
KN.L2,populationType,Person,citizenship,NotACitizen,,,,,#Multiply,1000000000000,name,"""Total Population Abroad""",,,,
KN.L3,variableMeasured,Count_Person_Resident,residenceStatus,Resident,,,,,countryOfOrigin,country/ARE,countryOfResidence,country/EGY,#Multiply,1000000000000,name,"""Total Population of Arabic Resident in Egypt"""
KN.L4,#ignore,ignore,,,,,,,,,,,,,,
KN.L5,#ignore,ignored as value seems wrong in source,,,,,,,name,"""Total Number of Persons in the Labor Force""",,,,,,
KN.L6,populationType,Person,employmentStatus,InLaborForce,,,,,gender,Male,#Multiply,1000000,name,"""Total Number of Males in the Labor Force""",,
KN.L7,populationType,Person,employmentStatus,InLaborForce,,,,,gender,Female,#Multiply,1000000,name,"""Total Number of Females in the Labor Force""",,
KN.L8,variableMeasured,Count_Person_Workers,#Multiply,1000000,,,,,name,"""Total Number of Workers""",,,,,,
KN.L9,populationType,Person,workStatus,Worker,,,,,gender,Male,#Multiply,1000000,name,"""Total Number of Male Workers""",,
KN.L10,populationType,Person,workStatus,Worker,,,,,gender,Female,#Multiply,1000000,name,"""Total Number of Female Workers""",,
KN.L11,populationType,Person,workerStatus,NonWorker,,,,,#Multiply,1000000,name,"""Total Number of Non-Workers""",,,,
KN.L12,populationType,Person,workerStatus,NonWorker,,,,,gender,Male,#Multiply,1000000,name,"""Total Number of Male Non-Workers""",,
KN.L13,populationType,Person,workerStatus,NonWorker,,,,,gender,Female,#Multiply,1000000,name,"""Total Number of Female Non-Workers""",,
KN.L14,variableMeasured,Count_Person_Employed,#Multiply,1000000000000,,,,,name,"""Total Number of Employed Persons""",,,,,,
