INDICATOR,ID_INDICATOR,FREQ,TIME_PERIOD,OBS_VALUE
KN.A1,KN.A1,A,2011,57511041.77
KN.A1,KN.A1,A,2012,59929893.04
KN.A1,KN.A1,A,2013,63218721.73
KN.A1,KN.A1,A,2014,67152785.84
KN.A1,KN.A1,A,2015,69144885.84
KN.A1,KN.A1,A,2016,71758121.29
KN.A1,KN.A1,A,2017,75369068.74
KN.A1,KN.A1,A,2018,79596971.23
KN.A1,KN.A1,A,2019,84064363.5
KN.A2,KN.A2,A,2011,62980397.22
KN.A2,KN.A2,A,2012,71713935.06
KN.A2,KN.A2,A,2013,80092563.38
KN.A2,KN.A2,A,2014,89043615.26
KN.A2,KN.A2,A,2015,94268428.58
KN.A2,KN.A2,A,2016,104203951.1
KN.A2,KN.A2,A,2017,114054967.7
KN.A2,KN.A2,A,2018,124332323.6
KN.A2,KN.A2,A,2019,134950445.9
KN.A3,KN.A3,A,2011,29333001.12
KN.A3,KN.A3,A,2012,28071190.67
KN.A3,KN.A3,A,2013,21261086.29
KN.A3,KN.A3,A,2014,23459656.5
KN.A3,KN.A3,A,2015,17759239.59
KN.A3,KN.A3,A,2016,18186765.55
KN.A3,KN.A3,A,2017,23844677.11
KN.A3,KN.A3,A,2018,27973242.33
KN.A3,KN.A3,A,2019,31228982.25
KN.A4,KN.A4,A,2011,5.31
KN.A4,KN.A4,A,2012,4.21
KN.A4,KN.A4,A,2013,5.49
KN.A4,KN.A4,A,2014,6.22
KN.A4,KN.A4,A,2015,2.97
KN.A4,KN.A4,A,2016,3.78
KN.A4,KN.A4,A,2017,5.03
KN.A4,KN.A4,A,2018,5.61
KN.A4,KN.A4,A,2019,5.61
KN.A6,KN.A6,A,2011,48.75
KN.A6,KN.A6,A,2012,-4.3
KN.A6,KN.A6,A,2013,-24.26
KN.A6,KN.A6,A,2014,10.34
KN.A6,KN.A6,A,2015,-24.3
KN.A6,KN.A6,A,2016,2.41
KN.A6,KN.A6,A,2017,31.11
KN.A6,KN.A6,A,2018,17.31
KN.A6,KN.A6,A,2019,11.64
KN.A7,KN.A7,A,2011,10.83
KN.A7,KN.A7,A,2012,12.22
KN.A7,KN.A7,A,2013,8.5
KN.A7,KN.A7,A,2014,7.98
KN.A7,KN.A7,A,2015,9.55
KN.A7,KN.A7,A,2016,10.16
KN.A7,KN.A7,A,2017,9.49
KN.A7,KN.A7,A,2018,8.67
KN.A7,KN.A7,A,2019,8.54
