observationAbout,observationDate,variableMeasured,value,unit,scalingFactor,observationPeriod,measurementMethod
country/NGA,2022-12,dcid:Count_Person_InLaborForce_Urban_AsAFractionOf_Count_Person_Urban,76.5346,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_InLaborForce_Urban_AsAFractionOf_Count_Person_Urban,76.82476,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_InLaborForce_Urban_AsAFractionOf_Count_Person_Urban,78.36648,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_InLaborForce_Urban_AsAFractionOf_Count_Person_Urban,75.641,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_InLaborForce_Rural_AsAFractionOf_Count_Person_Rural,79.36227,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_InLaborForce_Rural_AsAFractionOf_Count_Person_Rural,83.03997,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_InLaborForce_Rural_AsAFractionOf_Count_Person_Rural,82.6317,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_InLaborForce_Rural_AsAFractionOf_Count_Person_Rural,84.07462,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_EducationalAttainmentNoEducation_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentNoEducation,74.00276,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_EducationalAttainmentNoEducation_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentNoEducation,77.91189,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_EducationalAttainmentNoEducation_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentNoEducation,83.85887,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_EducationalAttainmentNoEducation_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentNoEducation,82.86556,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_EducationalAttainmentPrimaryEducation_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentPrimaryEducation,80.74898,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_EducationalAttainmentPrimaryEducation_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentPrimaryEducation,84.81822,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_EducationalAttainmentPrimaryEducation_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentPrimaryEducation,81.06042,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_EducationalAttainmentPrimaryEducation_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentPrimaryEducation,80.96559,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_EducationalAttainmentLowerSecondaryEducation_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentLowerSecondaryEducation,63.06837,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_EducationalAttainmentLowerSecondaryEducation_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentLowerSecondaryEducation,64.45269,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_EducationalAttainmentLowerSecondaryEducation_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentLowerSecondaryEducation,55.68822,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_EducationalAttainmentLowerSecondaryEducation_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentLowerSecondaryEducation,54.19182,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_EducationalAttainmentUpperSecondary_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondary,76.26661,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_EducationalAttainmentUpperSecondary_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondary,76.87241,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_EducationalAttainmentUpperSecondary_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondary,82.31346,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_EducationalAttainmentUpperSecondary_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondary,81.29298,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_EducationalAttainmentUpperSecondaryEducation_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondaryEducation,82.63115,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_EducationalAttainmentUpperSecondaryEducation_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondaryEducation,84.58544,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_EducationalAttainmentUpperSecondaryEducation_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondaryEducation,88.27768,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_EducationalAttainmentUpperSecondaryEducation_InLaborForce_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondaryEducation,87.88406,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_15To24Years_InLaborForce_AsAFractionOf_Count_Person_15To24Years,59.99493,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_15To24Years_InLaborForce_AsAFractionOf_Count_Person_15To24Years,61.0048,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_15To24Years_InLaborForce_AsAFractionOf_Count_Person_15To24Years,62.26384,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_15To24Years_InLaborForce_AsAFractionOf_Count_Person_15To24Years,60.31912,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_25To34Years_InLaborForce_AsAFractionOf_Count_Person_25To34Years,87.48432,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_25To34Years_InLaborForce_AsAFractionOf_Count_Person_25To34Years,89.10107,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_25To34Years_InLaborForce_AsAFractionOf_Count_Person_25To34Years,89.90796,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_25To34Years_InLaborForce_AsAFractionOf_Count_Person_25To34Years,89.06771,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_35To44Years_InLaborForce_AsAFractionOf_Count_Person_35To44Years,92.06454,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_35To44Years_InLaborForce_AsAFractionOf_Count_Person_35To44Years,95.03302,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_35To44Years_InLaborForce_AsAFractionOf_Count_Person_35To44Years,94.74641,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_35To44Years_InLaborForce_AsAFractionOf_Count_Person_35To44Years,94.05319,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_45To55Years_InLaborForce_AsAFractionOf_Count_Person_45To55Years,91.45245,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_45To55Years_InLaborForce_AsAFractionOf_Count_Person_45To55Years,94.39916,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_45To55Years_InLaborForce_AsAFractionOf_Count_Person_45To55Years,93.33622,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_45To55Years_InLaborForce_AsAFractionOf_Count_Person_45To55Years,94.84359,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_55To64Years_InLaborForce_AsAFractionOf_Count_Person_55To64Years,87.0811,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_55To64Years_InLaborForce_AsAFractionOf_Count_Person_55To64Years,88.86146,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_55To64Years_InLaborForce_AsAFractionOf_Count_Person_55To64Years,88.6835,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_55To64Years_InLaborForce_AsAFractionOf_Count_Person_55To64Years,88.89583,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_65OrMoreYears_InLaborForce_AsAFractionOf_Count_Person_65OrMoreYears,61.81527,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_65OrMoreYears_InLaborForce_AsAFractionOf_Count_Person_65OrMoreYears,62.48989,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_65OrMoreYears_InLaborForce_AsAFractionOf_Count_Person_65OrMoreYears,63.339,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_65OrMoreYears_InLaborForce_AsAFractionOf_Count_Person_65OrMoreYears,61.57427,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_Employed_Urban_AsAFractionOf_Count_Person_Urban,71.60223,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_Employed_Urban_AsAFractionOf_Count_Person_Urban,72.66367,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_Employed_Urban_AsAFractionOf_Count_Person_Urban,73.76487,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_Employed_Urban_AsAFractionOf_Count_Person_Urban,71.12784,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_Employed_Rural_AsAFractionOf_Count_Person_Rural,76.0249,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_Employed_Rural_AsAFractionOf_Count_Person_Rural,80.55373,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_Employed_Rural_AsAFractionOf_Count_Person_Rural,80.54247,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_Employed_Rural_AsAFractionOf_Count_Person_Rural,80.6921,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_EducationalAttainmentNoEducation_Employed_AsAFractionOf_Count_Person_EducationalAttainmentNoEducation,71.24495,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_EducationalAttainmentNoEducation_Employed_AsAFractionOf_Count_Person_EducationalAttainmentNoEducation,76.13619,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_EducationalAttainmentNoEducation_Employed_AsAFractionOf_Count_Person_EducationalAttainmentNoEducation,81.73994,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_EducationalAttainmentNoEducation_Employed_AsAFractionOf_Count_Person_EducationalAttainmentNoEducation,80.61421,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_EducationalAttainmentPrimaryEducation_Employed_AsAFractionOf_Count_Person_EducationalAttainmentPrimaryEducation,77.61987,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_EducationalAttainmentPrimaryEducation_Employed_AsAFractionOf_Count_Person_EducationalAttainmentPrimaryEducation,81.83463,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_EducationalAttainmentPrimaryEducation_Employed_AsAFractionOf_Count_Person_EducationalAttainmentPrimaryEducation,78.61458,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_EducationalAttainmentPrimaryEducation_Employed_AsAFractionOf_Count_Person_EducationalAttainmentPrimaryEducation,77.0822,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_EducationalAttainmentLowerSecondaryEducation_Employed_AsAFractionOf_Count_Person_EducationalAttainmentLowerSecondaryEducation,60.12106,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_EducationalAttainmentLowerSecondaryEducation_Employed_AsAFractionOf_Count_Person_EducationalAttainmentLowerSecondaryEducation,61.96917,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_EducationalAttainmentLowerSecondaryEducation_Employed_AsAFractionOf_Count_Person_EducationalAttainmentLowerSecondaryEducation,53.65456,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_EducationalAttainmentLowerSecondaryEducation_Employed_AsAFractionOf_Count_Person_EducationalAttainmentLowerSecondaryEducation,51.22632,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_EducationalAttainmentUpperSecondary_Employed_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondary,71.62502,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_EducationalAttainmentUpperSecondary_Employed_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondary,73.24513,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_EducationalAttainmentUpperSecondary_Employed_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondary,77.85701,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_EducationalAttainmentUpperSecondary_Employed_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondary,76.17525,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_EducationalAttainmentUpperSecondaryEducation_Employed_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondaryEducation,77.55352,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_EducationalAttainmentUpperSecondaryEducation_Employed_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondaryEducation,80.79786,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_EducationalAttainmentUpperSecondaryEducation_Employed_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondaryEducation,81.17415,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_EducationalAttainmentUpperSecondaryEducation_Employed_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondaryEducation,81.07081,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_15To24Years_Employed_AsAFractionOf_Count_Person_15To24Years,54.8495,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_15To24Years_Employed_AsAFractionOf_Count_Person_15To24Years,56.76697,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_15To24Years_Employed_AsAFractionOf_Count_Person_15To24Years,57.78946,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_15To24Years_Employed_AsAFractionOf_Count_Person_15To24Years,55.11302,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_25To34Years_Employed_AsAFractionOf_Count_Person_25To34Years,81.23445,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_25To34Years_Employed_AsAFractionOf_Count_Person_25To34Years,84.51518,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_25To34Years_Employed_AsAFractionOf_Count_Person_25To34Years,85.66468,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_25To34Years_Employed_AsAFractionOf_Count_Person_25To34Years,83.17823,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_35To44Years_Employed_AsAFractionOf_Count_Person_35To44Years,88.57372,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_35To44Years_Employed_AsAFractionOf_Count_Person_35To44Years,92.74603,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_35To44Years_Employed_AsAFractionOf_Count_Person_35To44Years,92.01228,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_35To44Years_Employed_AsAFractionOf_Count_Person_35To44Years,91.57605,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_45To55Years_Employed_AsAFractionOf_Count_Person_45To55Years,89.09442,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_45To55Years_Employed_AsAFractionOf_Count_Person_45To55Years,92.84479,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_45To55Years_Employed_AsAFractionOf_Count_Person_45To55Years,91.60602,Percent,100,,
country/NGA,2023-09,dcid:Count_Person_45To55Years_Employed_AsAFractionOf_Count_Person_45To55Years,92.68471,Percent,100,,
country/NGA,2022-12,dcid:Count_Person_55To64Years_Employed_AsAFractionOf_Count_Person_55To64Years,85.71131,Percent,100,,
country/NGA,2023-03,dcid:Count_Person_55To64Years_Employed_AsAFractionOf_Count_Person_55To64Years,87.14716,Percent,100,,
country/NGA,2023-06,dcid:Count_Person_55To64Years_Employed_AsAFractionOf_Count_Person_55To64Years,86.99913,Percent,100,,
