key,prop,val,p1,v1,p2,v2
OBS_VALUE,value,{Number},populationType,Person,observationAbout,country/RWA
I2,age,[0 4 Years],,,,
I3,age,[5 9 Years],,,,
I4,age,[10 14 Years],,,,
I5,age,[15 19 Years],,,,
I6,age,[20 24 Years],,,,
I7,age,[25 29 Years],,,,
I8,age,[30 34 Years],,,,
I9,age,[35 39 Years],,,,
I10,age,[40 44 Years],,,,
I11,age,[45 49 Years],,,,
I12,age,[50 54 Years],,,,
I13,age,[55 59 Years],,,,
I14,age,[60 64 Years],,,,
I15,age,[65 69 Years],,,,
I16,age,[70 74 Years],,,,
I17,age,[75 - Years],,,,
M,gender,Male,,,,
F,gender,Female,,,,
U,placeOfResidenceClassification,Urban,,,,
R,placeOfResidenceClassification,Rural,,,,
2018,observationDate,2018,,,,
2019,observationDate,2019,,,,
2020,observationDate,2020,,,,
2021,observationDate,2021,,,,
2019-Q1,observationDate,2019-03,,,,
2019-Q2,observationDate,2019-06,,,,
2019-Q3,observationDate,2019-09,,,,
2019-Q4,observationDate,2019-12,,,,
2020-Q1,observationDate,2020-03,,,,
2020-Q2,observationDate,2020-06,,,,
2020-Q3,observationDate,2020-09,,,,
2020-Q4,observationDate,2020-12,,,,
2021-Q1,observationDate,2021-03,,,,
2021-Q2,observationDate,2021-06,,,,
2021-Q3,observationDate,2021-09,,,,
2021-Q4,observationDate,2021-12,,,,
2022-Q1,observationDate,2022-03,,,,
2022-Q3,observationDate,2022-06,,,,
FREQ:A,observationPeriod,P1Y,,,,
FREQ:Q,observationPeriod,P3M,,,,
