place_name,dcid
Adams,geoId/42001
Allegheny,geoId/42003
Armstrong,geoId/42005
Beaver,geoId/42007
Bedford,geoId/42009
Berks,geoId/42011
Blair,geoId/42013
Bradford,geoId/42015
Bucks,geoId/42017
Butler,geoId/42019
Cambria,geoId/42021
Cameron,geoId/42023
Carbon,geoId/42025
Centre,geoId/42027
Chester,geoId/42029
Clarion,geoId/42031
Clearfield,geoId/42033
Clinton,geoId/42035
Columbia,geoId/42037
Crawford,geoId/42039
Cumberland,geoId/42041
Dauphin,geoId/42043
Lawrence,geoId/42045
Delaware,geoId/42047
Elk,geoId/42049
Erie,geoId/42051
Fayette,geoId/42053
Forest,geoId/42055
Franklin,geoId/42057
Fulton,geoId/42059
Greene,geoId/42061
Huntingdon,geoId/42063
Indiana,geoId/42065
Jefferson,geoId/42067
Juniata,geoId/42069
Lackawanna,geoId/42071
Lancaster,geoId/42073
Lebanon,geoId/42075
Lehigh,geoId/42077
Luzerne,geoId/42079
Lycoming,geoId/42081
Sullivan,geoId/42083
McKean,geoId/42085
Mercer,geoId/42087
Mifflin,geoId/42089
Monroe,geoId/42091
Montgomery,geoId/42093
Montour,geoId/42095
Northampton,geoId/42097
Northumberland,geoId/42099
Perry,geoId/42101
Philadelphia,geoId/4260000
Pike,geoId/42103
Potter,geoId/42107
Schuylkill,geoId/42109
Snyder,geoId/42111
Somerset,geoId/42113
Susquehanna,geoId/42115
Tioga,geoId/42117
Union,geoId/42119
Venango,geoId/42121
Warren,geoId/42123
Washington,geoId/42125
Wayne,geoId/42127
Westmoreland,geoId/42129
Wyoming,geoId/42131
York,geoId/42133
Statewide [cite: Data],
