"MinDate","StatVar","Units","ScalingFactors","NumPlaces","observationPeriods","MeasurementMethods"
"2003","Count_Person_Years3To6_Male","[]","[]","17","[]","[]"
"2003","Count_Person_7To12Years_Male","[]","[]","17","[]","[]"
"2003","Count_Person_Years0To2_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_Years7To12_Female_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_Years0To2_Male_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years3To6_Female_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_16To19Years","[]","[]","17","[]","[]"
"2003","Count_Person_20To24Years_Urban_Female","[]","[]","17","[]","[]"
"2003","Count_Person_20To24Years_Rural_Male","[]","[]","17","[]","[]"
"2003","Count_Person_Years65Onwards_Male_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_Years0To2_Female_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years0To2_Female_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_20To24Years_Rural_Female","[]","[]","17","[]","[]"
"2003","Count_Person_Rural_Female","[]","[]","17","[]","[]"
"2003","Count_Person_Years0To2_Male","[]","[]","17","[]","[]"
"2003","Count_Person_Years55To64_Male_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_Years35To44_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years25To34_Male_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_65OrMoreYears_Female","[]","[]","17","[]","[]"
"2003","Count_Person_45To54Years_Female","[]","[]","17","[]","[]"
"2003","Count_Person_Years0To2_Male_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_Years3To6_Male_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years13To15_Male_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years55To64_Male_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years35To44_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_Years0To2_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years25To34_Male_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_16To19Years_Male","[]","[]","17","[]","[]"
"2003","Count_Person_Years16To19_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_7To12Years_Female","[]","[]","17","[]","[]"
"2003","Count_Person_Years45To54_Male_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years0To2","[]","[]","17","[]","[]"
"2003","Count_Person_Years13To15_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_Years45To54_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_25To34Years_Female","[]","[]","17","[]","[]"
"2003","Count_Person_Urban_Female","[]","[]","17","[]","[]"
"2003","Count_Person_25To34Years_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_20To24Years_Urban_Male","[]","[]","17","[]","[]"
"2003","Count_Person_Years7To12_Female_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years35To44_Male_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_Years13To15","[]","[]","17","[]","[]"
"2003","Count_Person_Years65Onwards_Female_Rural","[]","[]","17","[]","[]"
