Value,,Functional age groups,Sex,Locations,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0-2,,,,,,,,,,,,,,,,,,13-15,,,,,,,,,,,,,,,,,,16-19,,,,,,,,,,,,,,,,,,20-24,,,,,,,,,,,,,,,,,,25-34,,,,,,,,,,,,,,,,,,3-6,,,,,,,,,,,,,,,,,,35-44,,,,,,,,,,,,,,,,,,45-54,,,,,,,,,,,,,,,,,,55-64,,,,,,,,,,,,,,,,,,65 and more,,,,,,,,,,,,,,,,,,7-12,,,,,,,,,,,,,,,,,,total,,,,,,,,,,,,,,,,,
,,females,,,,,,males,,,,,,total,,,,,,females,,,,,,males,,,,,,total,,,,,,females,,,,,,males,,,,,,total,,,,,,females,,,,,,males,,,,,,total,,,,,,females,,,,,,males,,,,,,total,,,,,,females,,,,,,males,,,,,,total,,,,,,females,,,,,,males,,,,,,total,,,,,,females,,,,,,males,,,,,,total,,,,,,females,,,,,,males,,,,,,total,,,,,,females,,,,,,males,,,,,,total,,,,,,females,,,,,,males,,,,,,total,,,,,,females,,,,,,males,,,,,,total,,,,,
,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,,in rural areas,,in urban areas,,total,
Code,Name,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024
0000000,POLAND,186265,167227,255397,233851,441662,401078,195499,175813,268668,246529,464167,422342,381764,343040,524065,480380,905829,823420,281241,277142,344708,337264,625949,614406,297784,293762,360653,354407,658437,648169,579025,570904,705361,691671,1284386,1262575,330880,344353,392483,416505,723363,760858,350812,364710,409410,433253,760222,797963,681692,709063,801893,849758,1483585,1558821,405641,405370,469644,457558,875285,862928,433139,429928,478307,470424,911446,900352,838780,835298,947951,927982,1786731,1763280,891701,862508,1399054,1344530,2290755,2207038,978622,949725,1387640,1328708,2366262,2278433,1870323,1812233,2786694,2673238,4657017,4485471,336745,317524,408788,390949,745533,708473,356376,335624,430988,412518,787364,748142,693121,653148,839776,803467,1532897,1456615,1184229,1171535,1866774,1835585,3051003,3007120,1240558,1225844,1876831,1845585,3117389,3071429,2424787,2397379,3743605,3681170,6168392,6078549,1077756,1101228,1611319,1663287,2689075,2764515,1126816,1150852,1556999,1611226,2683815,2762078,2204572,2252080,3168318,3274513,5372890,5526593,931098,920471,1421068,1376001,2352166,2296472,953890,939495,1219804,1192374,2173694,2131869,1884988,1859966,2640872,2568375,4525860,4428341,1500311,1532166,3006895,3068942,4507206,4601108,1121272,1160028,1921416,1963914,3042688,3123942,2621583,2692194,4928311,5032856,7549894,7725050,524738,528519,627374,629545,1152112,1158064,554588,559296,662327,663012,1216915,1222308,1079326,1087815,1289701,1292557,2369027,2380372,7650605,7628043,11803504,11754017,19454109,19382060,7609356,7585077,10573043,10521950,18182399,18107027,15259961,15213120,22376547,22275967,37636508,37489087
0200000,DOLNOŚLĄSKIE,10593,9519,21881,19709,32474,29228,11263,9997,23128,20918,34391,30915,21856,19516,45009,40627,66865,60143,17628,17287,27633,26987,45261,44274,18509,18379,28898,28226,47407,46605,36137,35666,56531,55213,92668,90879,20027,21291,31191,33210,51218,54501,21170,22483,32319,34400,53489,56883,41197,43774,63510,67610,104707,111384,22287,22725,39265,37456,61552,60181,24128,24233,39017,37699,63145,61932,46415,46958,78282,75155,124697,122113,53113,51163,128964,123958,182077,175121,55851,54243,127907,122108,183758,176351,108964,105406,256871,246066,365835,351472,20307,19018,33417,32115,53724,51133,21566,20431,34775,33635,56341,54066,41873,39449,68192,65750,110065,105199,79914,79404,164800,162382,244714,241786,82080,81157,167854,165366,249934,246523,161994,160561,332654,327748,494648,488309,68488,71511,135893,140403,204381,211914,72806,75871,133411,138049,206217,213920,141294,147382,269304,278452,410598,425834,56053,54983,118133,113213,174186,168196,56696,55428,102177,99101,158873,154529,112749,110411,220310,212314,333059,322725,90521,93455,272213,276566,362734,370021,69472,72449,172395,175447,241867,247896,159993,165904,444608,452013,604601,617917,32775,33472,50685,50564,83460,84036,34520,35002,53548,53229,88068,88231,67295,68474,104233,103793,171528,172267,471706,473828,1024075,1016563,1495781,1490391,468061,469673,915429,908178,1383490,1377851,939767,943501,1939504,1924741,2879271,2868242
0400000,KUJAWSKO-POMORSKIE,9860,8605,11983,10979,21843,19584,10381,9175,12682,11459,23063,20634,20241,17780,24665,22438,44906,40218,16262,15605,18073,17633,34335,33238,16996,16611,18795,18301,35791,34912,33258,32216,36868,35934,70126,68150,18940,19756,20524,21837,39464,41593,20224,20950,21117,22538,41341,43488,39164,40706,41641,44375,80805,85081,22801,23031,24372,23712,47173,46743,24449,24320,25181,24651,49630,48971,47250,47351,49553,48363,96803,95714,48902,47151,68541,65842,117443,112993,53750,51893,68943,66260,122693,118153,102652,99044,137484,132102,240136,231146,18256,17186,19903,18866,38159,36052,19597,18196,21217,20273,40814,38469,37853,35382,41120,39139,78973,74521,65362,64345,92809,91067,158171,155412,68451,67341,94073,92179,162524,159520,133813,131686,186882,183246,320695,314932,60108,61023,84296,86462,144404,147485,62748,63840,80698,83274,143446,147114,122856,124863,164994,169736,287850,294599,51096,50310,77926,75807,129022,126117,52462,51427,65757,64294,118219,115721,103558,101737,143683,140101,247241,241838,78346,80249,161673,165187,240019,245436,61365,63510,102564,104970,163929,168480,139711,143759,264237,270157,403948,413916,29074,29074,31495,31315,60569,60389,31149,31213,32802,32762,63951,63975,60223,60287,64297,64077,124520,124364,419007,416335,611595,608707,1030602,1025042,421572,418476,543829,540961,965401,959437,840579,834811,1155424,1149668,1996003,1984479
0600000,LUBELSKIE,11915,10533,9904,9075,21819,19608,12521,11310,10537,9680,23058,20990,24436,21843,20441,18755,44877,40598,18906,18415,14607,14344,33513,32759,20046,19694,15007,14814,35053,34508,38952,38109,29614,29158,68566,67267,23454,24059,16849,17832,40303,41891,24766,25352,17423,18275,42189,43627,48220,49411,34272,36107,82492,85518,29944,29803,19930,19106,49874,48909,32397,31859,20393,19794,52790,51653,62341,61662,40323,38900,102664,100562,60794,58630,53898,51992,114692,110622,70663,68404,54645,52462,125308,120866,131457,127034,108543,104454,240000,231488,21607,20258,16470,15577,38077,35835,22872,21449,17542,16784,40414,38233,44479,41707,34012,32361,78491,74068,78590,77106,73565,71983,152155,149089,85828,84111,74974,73402,160802,157513,164418,161217,148539,145385,312957,306602,74563,75176,66437,68089,141000,143265,78983,80073,63123,65073,142106,145146,153546,155249,129560,133162,283106,288411,67341,66756,63438,61478,130779,128234,69613,68380,51716,50655,121329,119035,136954,135136,115154,112133,252108,247269,123110,124415,131972,135511,255082,259926,85694,87930,81800,84090,167494,172020,208804,212345,213772,219601,422576,431946,34514,34305,25828,25869,60342,60174,36041,35724,26827,26813,62868,62537,70555,70029,52655,52682,123210,122711,544738,539456,492898,490856,1037636,1030312,539424,534286,433987,431842,973411,966128,1084162,1073742,926885,922698,2011047,1996440
0800000,LUBUSKIE,3770,3226,6612,6099,10382,9325,3910,3469,6808,6494,10718,9963,7680,6695,13420,12593,21100,19288,6541,6362,10179,9884,16720,16246,6911,6693,10710,10521,17621,17214,13452,13055,20889,20405,34341,33460,7626,8092,11887,12488,19513,20580,8292,8632,12202,12821,20494,21453,15918,16724,24089,25309,40007,42033,8953,9128,13100,12907,22053,22035,9666,9680,13453,13257,23119,22937,18619,18808,26553,26164,45172,44972,19760,19005,35014,33465,54774,52470,21576,20967,36323,34672,57899,55639,41336,39972,71337,68137,112673,108109,7314,6797,11034,10555,18348,17352,7648,6984,11495,10821,19143,17805,14962,13781,22529,21376,37491,35157,28286,27799,52319,50736,80605,78535,29820,29221,53055,51408,82875,80629,58106,57020,105374,102144,163480,159164,24929,25849,45545,47128,70474,72977,26931,27754,44780,46616,71711,74370,51860,53603,90325,93744,142185,147347,21553,20940,39950,38406,61503,59346,22247,21772,34753,33643,57000,55415,43800,42712,74703,72049,118503,114761,34232,35179,83496,85564,117728,120743,26328,27343,54706,56062,81034,83405,60560,62522,138202,141626,198762,204148,11673,11743,18081,17996,29754,29739,12459,12643,19096,18998,31555,31641,24132,24386,37177,36994,61309,61380,174637,174120,327217,325228,501854,499348,175788,175158,297381,295313,473169,470471,350425,349278,624598,620541,975023,969819
1000000,ŁÓDZKIE,10414,9309,15665,14463,26079,23772,10973,9814,16589,15244,27562,25058,21387,19123,32254,29707,53641,48830,15996,15642,21443,21058,37439,36700,17146,16706,22390,22290,39536,38996,33142,32348,43833,43348,76975,75696,19187,19711,24494,25771,43681,45482,20124,20991,25846,27042,45970,48033,39311,40702,50340,52813,89651,93515,23187,23099,29506,29111,52693,52210,24894,24482,30633,30470,55527,54952,48081,47581,60139,59581,108220,107162,49975,48207,83172,80051,133147,128258,55976,54223,84195,81073,140171,135296,105951,102430,167367,161124,273318,263554,18635,17418,24653,23756,43288,41174,19765,18588,25615,24701,45380,43289,38400,36006,50268,48457,88668,84463,66499,64936,114769,112118,181268,177054,70662,69053,116382,113816,187044,182869,137161,133989,231151,225934,368312,359923,65214,65885,107479,110331,172693,176216,67553,68205,102517,105517,170070,173722,132767,134090,209996,215848,342763,349938,56010,55091,99216,95852,155226,150943,57413,56330,80217,78353,137630,134683,113423,111421,179433,174205,292856,285626,100270,100929,223490,227835,323760,328764,72211,73700,132812,135728,205023,209428,172481,174629,356302,363563,528783,538192,29368,29374,38202,38290,67570,67664,31392,31342,40370,40019,71762,71361,60760,60716,78572,78309,139332,139025,454755,449601,782089,778636,1236844,1228237,448109,443434,677566,674253,1125675,1117687,902864,893035,1459655,1452889,2362519,2345924
1200000,MAŁOPOLSKIE,24044,21968,21294,19992,45338,41960,25309,23049,22156,20742,47465,43791,49353,45017,43450,40734,92803,85751,33796,33531,24030,23573,57826,57104,35807,35741,25008,24746,60815,60487,69603,69272,49038,48319,118641,117591,39091,40902,27612,29246,66703,70148,41266,42769,28539,30010,69805,72779,80357,83671,56151,59256,136508,142927,50140,49588,34998,33368,85138,82956,52440,51772,35190,34200,87630,85972,102580,101360,70188,67568,172768,168928,111922,108953,120918,117009,232840,225962,119914,117435,115231,110741,235145,228176,231836,226388,236149,227750,467985,454138,41891,40202,31402,30558,73293,70760,44486,42483,33326,32325,77812,74808,86377,82685,64728,62883,151105,145568,138456,138045,141468,141504,279924,279549,142336,141549,140640,140430,282976,281979,280792,279594,282108,281934,562900,561528,124511,126987,114021,117599,238532,244586,126876,129484,108631,112528,235507,242012,251387,256471,222652,230127,474039,486598,107690,107640,97655,95429,205345,203069,108785,108193,84689,83257,193474,191450,216475,215833,182344,178686,398819,394519,163804,168292,208482,211931,372286,380223,122989,127848,133677,136360,256666,264208,286793,296140,342159,348291,628952,644431,64064,64450,45214,45742,109278,110192,68044,68620,47790,48293,115834,116913,132108,133070,93004,94035,225112,227105,899409,900558,867094,865951,1766503,1766509,888252,888943,774877,773632,1663129,1662575,1787661,1789501,1641971,1639583,3429632,3429084
