observationDate,observationAbout,value,variableMeasured
2020,country/USA,2501357,dcid:Count_Student_AllStudents_InstitutionAll_AllInstitution_Adjusted
2020,country/USA,1408404,dcid:Count_Student_AllStudents_InstitutionAll_AllInstitution_Received
2020,country/USA,56.3,dcid:Percent_Student_AllStudents_InstitutionAll_AllInstitution_Graduation
2020,country/USA,1708697,dcid:Count_Student_AllStudents_InstitutionControlPublic_AllInstitution_Adjusted
2020,country/USA,892039,dcid:Count_Student_AllStudents_InstitutionControlPublic_AllInstitution_Received
2020,country/USA,52.2,dcid:Percent_Student_AllStudents_InstitutionControlPublic_AllInstitution_Graduation
2020,country/USA,528669,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_AllInstitution_Adjusted
2020,country/USA,356838,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_AllInstitution_Received
2020,country/USA,67.5,dcid:Percent_Student_AllStudents_InstitutionControlPrivateNonProfit_AllInstitution_Graduation
2020,country/USA,263991,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_AllInstitution_Adjusted
2020,country/USA,159527,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_AllInstitution_Received
2020,country/USA,60.4,dcid:Percent_Student_AllStudents_InstitutionControlPrivateForProfit_AllInstitution_Graduation
2020,country/USA,1043086,dcid:Count_Student_PellGrant_InstitutionAll_AllInstitution_Adjusted
2020,country/USA,495392,dcid:Count_Student_PellGrant_InstitutionAll_AllInstitution_Received
2020,country/USA,47.5,dcid:Percent_Student_PellGrant_InstitutionAll_AllInstitution_Graduation
2020,country/USA,685371,dcid:Count_Student_PellGrant_InstitutionControlPublic_AllInstitution_Adjusted
2020,country/USA,292729,dcid:Count_Student_PellGrant_InstitutionControlPublic_AllInstitution_Received
2020,country/USA,42.7,dcid:Percent_Student_PellGrant_InstitutionControlPublic_AllInstitution_Graduation
2020,country/USA,176914,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_AllInstitution_Adjusted
2020,country/USA,96323,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_AllInstitution_Received
2020,country/USA,54.4,dcid:Percent_Student_PellGrant_InstitutionControlPrivateNonProfit_AllInstitution_Graduation
2020,country/USA,180801,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_AllInstitution_Adjusted
2020,country/USA,106340,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_AllInstitution_Received
2020,country/USA,58.8,dcid:Percent_Student_PellGrant_InstitutionControlPrivateForProfit_AllInstitution_Graduation
2020,country/USA,350854,dcid:Count_Student_SubsidizedLoan_InstitutionAll_AllInstitution_Adjusted
2020,country/USA,224046,dcid:Count_Student_SubsidizedLoan_InstitutionAll_AllInstitution_Received
2020,country/USA,63.9,dcid:Percent_Student_SubsidizedLoan_InstitutionAll_AllInstitution_Graduation
2020,country/USA,202860,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_AllInstitution_Adjusted
2020,country/USA,120861,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_AllInstitution_Received
2020,country/USA,59.6,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPublic_AllInstitution_Graduation
2020,country/USA,119805,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_AllInstitution_Adjusted
2020,country/USA,83178,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_AllInstitution_Received
2020,country/USA,69.4,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_AllInstitution_Graduation
2020,country/USA,28189,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_AllInstitution_Adjusted
2020,country/USA,20007,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_AllInstitution_Received
2020,country/USA,71,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_AllInstitution_Graduation
2020,country/USA,1107417,dcid:Count_Student_NoGrant_InstitutionAll_AllInstitution_Adjusted
2020,country/USA,688966,dcid:Count_Student_NoGrant_InstitutionAll_AllInstitution_Received
2020,country/USA,62.2,dcid:Percent_Student_NoGrant_InstitutionAll_AllInstitution_Graduation
2020,country/USA,820466,dcid:Count_Student_NoGrant_InstitutionControlPublic_AllInstitution_Adjusted
2020,country/USA,478449,dcid:Count_Student_NoGrant_InstitutionControlPublic_AllInstitution_Received
2020,country/USA,58.3,dcid:Percent_Student_NoGrant_InstitutionControlPublic_AllInstitution_Graduation
2020,country/USA,231950,dcid:Count_Student_NoGrant_InstitutionControlPrivateNonProfit_AllInstitution_Adjusted
2020,country/USA,177337,dcid:Count_Student_NoGrant_InstitutionControlPrivateNonProfit_AllInstitution_Received
2020,country/USA,76.5,dcid:Percent_Student_NoGrant_InstitutionControlPrivateNonProfit_AllInstitution_Graduation
2020,country/USA,55001,dcid:Count_Student_NoGrant_InstitutionControlPrivateForProfit_AllInstitution_Adjusted
2020,country/USA,33180,dcid:Count_Student_NoGrant_InstitutionControlPrivateForProfit_AllInstitution_Received
2020,country/USA,60.3,dcid:Percent_Student_NoGrant_InstitutionControlPrivateForProfit_AllInstitution_Graduation
2020,country/USA,1785032,dcid:Count_Student_AllStudents_InstitutionAll_FourYearInstitution_Adjusted
2020,country/USA,1088230,dcid:Count_Student_AllStudents_InstitutionAll_FourYearInstitution_Received
2020,country/USA,61,dcid:Percent_Student_AllStudents_InstitutionAll_FourYearInstitution_Graduation
2020,country/USA,1230853,dcid:Count_Student_AllStudents_InstitutionControlPublic_FourYearInstitution_Adjusted
2020,country/USA,723763,dcid:Count_Student_AllStudents_InstitutionControlPublic_FourYearInstitution_Received
2020,country/USA,58.8,dcid:Percent_Student_AllStudents_InstitutionControlPublic_FourYearInstitution_Graduation
2020,country/USA,505137,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_FourYearInstitution_Adjusted
