"MinDate","Units","NumPlaces","ScalingFactors","StatVar","observationPeriods","MeasurementMethods"
"2011","[]","1","[]","Count_Person_BachelorOfTheologyAndReligionMajor_EducationalAttainmentBachelorsDegree_Male_Black","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfPhilosophyReligiousStudiesMajor_EducationalAttainmentBachelorsDegree_Male_HispanicOrLatino","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfHealthRelatedMajor_EducationalAttainmentBachelorsDegree_Male_Black","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfCommunicationsTechnologiesMajor_EducationalAttainmentBachelorsDegree_Male_NonUSResident","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfPhilosophyReligiousStudiesMajor_EducationalAttainmentBachelorsDegree_Male_NonUSResident","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfEngineeringMajor_EducationalAttainmentBachelorsDegree_Male_NonUSResident","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfLibraryScienceMajor_EducationalAttainmentBachelorsDegree_Male_WhiteAlone","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfSocialSciencesMajor_EducationalAttainmentBachelorsDegree_Male_Black","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfPrecisionProductionMajor_EducationalAttainmentBachelorsDegree_Male_Asian","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfPsychologyMajor_EducationalAttainmentBachelorsDegree_Male_Black","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfOtherMajor_EducationalAttainmentBachelorsDegree_Male_HispanicOrLatino","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfHistoryMajor_EducationalAttainmentBachelorsDegree_Male","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfArchitectureAndRelatedServicesMajor_EducationalAttainmentBachelorsDegree_Male_HispanicOrLatino","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfFamilyAndConsumerSciencesMajor_EducationalAttainmentBachelorsDegree_Male_WhiteAlone","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfParksRecFitnessKinesiologyMajor_EducationalAttainmentBachelorsDegree_Male_TwoOrMoreRaces","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfHomelandSecurityLawEnforcementFirefightingMajor_EducationalAttainmentBachelorsDegree_Male_HispanicOrLatino","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfTransportationAndMaterialsMovingMajor_EducationalAttainmentBachelorsDegree_Male_AsianOrPacificIslander","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfEngineeringMajor_EducationalAttainmentBachelorsDegree_Male_AsianOrPacificIslander","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfParksRecFitnessKinesiologyMajor_EducationalAttainmentBachelorsDegree_Male_NonUSResident","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfTheologyAndReligionMajor_EducationalAttainmentBachelorsDegree_Male_HispanicOrLatino","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfEnglishAndLiteratureMajor_EducationalAttainmentBachelorsDegree_Male_TwoOrMoreRaces","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfEnglishAndLiteratureMajor_EducationalAttainmentBachelorsDegree_Male_Black","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfHomelandSecurityLawEnforcementFirefightingMajor_EducationalAttainmentBachelorsDegree_Male_Black","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfBusinessMajor_EducationalAttainmentBachelorsDegree_Male_TwoOrMoreRaces","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_EducationalAttainmentBachelorsDegree_Male_AmericanIndianOrAlaskaNative","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfArtsHumanitiesAndOtherMajor_EducationalAttainmentBachelorsDegree_Male_NonUSResident","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfTheologyAndReligionMajor_EducationalAttainmentBachelorsDegree_Male_WhiteAlone","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfSocialSciencesMajor_EducationalAttainmentBachelorsDegree_Male_HawaiianNativeOrPacificIslander","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfLegalProfessionsAndStudiesMajor_EducationalAttainmentBachelorsDegree_Male","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_EducationalAttainmentBachelorsDegree_Male_NonUSResident","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfArchitectureAndRelatedServicesMajor_EducationalAttainmentBachelorsDegree_Male_AmericanIndianOrAlaskaNative","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfLibraryScienceMajor_EducationalAttainmentBachelorsDegree_Male_NonUSResident","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfEngineeringTechnologiesMajor_EducationalAttainmentBachelorsDegree_Male_Asian","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfArchitectureAndRelatedServicesMajor_EducationalAttainmentBachelorsDegree_Male_TwoOrMoreRaces","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfTransportationAndMaterialsMovingMajor_EducationalAttainmentBachelorsDegree_Male_HispanicOrLatino","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfAgricultureAndNaturalResourcesMajor_EducationalAttainmentBachelorsDegree_Male_Black","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfArtsHumanitiesAndOtherMajor_EducationalAttainmentBachelorsDegree_Male_WhiteAlone","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfComputerAndITMajor_EducationalAttainmentBachelorsDegree_Male_HispanicOrLatino","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfPsychologyMajor_EducationalAttainmentBachelorsDegree_Male_NonUSResident","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfParksRecFitnessKinesiologyMajor_EducationalAttainmentBachelorsDegree_Male_AmericanIndianOrAlaskaNative","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfLegalProfessionsAndStudiesMajor_EducationalAttainmentBachelorsDegree_Male_WhiteAlone","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfTransportationAndMaterialsMovingMajor_EducationalAttainmentBachelorsDegree_Male_HawaiianNativeOrPacificIslander","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfFamilyAndConsumerSciencesMajor_EducationalAttainmentBachelorsDegree_Male_HawaiianNativeOrPacificIslander","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfTheologyAndReligionMajor_EducationalAttainmentBachelorsDegree_Male_AmericanIndianOrAlaskaNative","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfPrecisionProductionMajor_EducationalAttainmentBachelorsDegree_Male_WhiteAlone","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_EducationalAttainmentBachelorsDegree_Male_Black","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfEducationMajor_EducationalAttainmentBachelorsDegree_Male_Asian","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfBusinessMajor_EducationalAttainmentBachelorsDegree_Male_HispanicOrLatino","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfEngineeringTechnologiesMajor_EducationalAttainmentBachelorsDegree_Male","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfHistoryMajor_EducationalAttainmentBachelorsDegree_Male_Black","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfCommunicationsTechnologiesMajor_EducationalAttainmentBachelorsDegree_Male_TwoOrMoreRaces","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfPhysicalSciencesAndTechnologiesMajor_EducationalAttainmentBachelorsDegree_Male_HawaiianNativeOrPacificIslander","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfLegalProfessionsAndStudiesMajor_EducationalAttainmentBachelorsDegree_Male_AsianOrPacificIslander","[P1Y]","[]"
