key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5
CEU0000000001,industry,NAICS/JOLTS_000000,,,measurementMethod,BLSSeasonallyUnadjusted,,,name,"""All employees, total nonfarm"""
CES0000000001,industry,NAICS/JOLTS_000000,,,measurementMethod,BLSSeasonallyAdjusted,,,name,"""All employees, total nonfarm"""
CEU0500000001,establishmentOwnership,PrivatelyOwned,,,measurementMethod,BLSSeasonallyUnadjusted,,,name,"""All employees, total private"""
CES0500000001,establishmentOwnership,PrivatelyOwned,,,measurementMethod,BLSSeasonallyAdjusted,,,name,"""All employees, total private"""
CEU0600000001,industry,NAICS/101,,,measurementMethod,BLSSeasonallyUnadjusted,,,name,"""All employees, goods-producing"""
CES0600000001,industry,NAICS/101,,,measurementMethod,BLSSeasonallyAdjusted,,,name,"""All employees, goods-producing"""
CEU1000000001,industry,NAICS/JOLTS_110099,,,measurementMethod,BLSSeasonallyUnadjusted,,,name,"""All employees, mining and logging"""
CES1000000001,industry,NAICS/JOLTS_110099,,,measurementMethod,BLSSeasonallyAdjusted,,,name,"""All employees, mining and logging"""
CEU1011330001,industry,NAICS/1133,,,measurementMethod,BLSSeasonallyUnadjusted,,,name,"""All employees, logging"""
CES1011330001,industry,NAICS/1133,,,measurementMethod,BLSSeasonallyAdjusted,,,name,"""All employees, logging"""
CEU1021000001,industry,NAICS/21,,,measurementMethod,BLSSeasonallyUnadjusted,,,name,"""All employees, mining, quarrying, and oil and gas extraction"""
CES1021000001,industry,NAICS/21,,,measurementMethod,BLSSeasonallyAdjusted,,,name,"""All employees, mining, quarrying, and oil and gas extraction"""
CEU1021100001,industry,NAICS/211,,,measurementMethod,BLSSeasonallyUnadjusted,,,name,"""All employees, oil and gas extraction"""
CES1021100001,industry,NAICS/211,,,measurementMethod,BLSSeasonallyAdjusted,,,name,"""All employees, oil and gas extraction"""
CEU1021200001,industry,NAICS/212,,,measurementMethod,BLSSeasonallyUnadjusted,,,name,"""All employees, mining (except oil and gas)"""
CES1021200001,industry,NAICS/212,,,measurementMethod,BLSSeasonallyAdjusted,,,name,"""All employees, mining (except oil and gas)"""
CEU1021210001,industry,NAICS/2121,,,measurementMethod,BLSSeasonallyUnadjusted,,,name,"""All employees, coal mining"""
CES1021210001,industry,NAICS/2121,,,measurementMethod,BLSSeasonallyAdjusted,,,name,"""All employees, coal mining"""
CEU1021220001,industry,NAICS/2122,,,measurementMethod,BLSSeasonallyUnadjusted,,,name,"""All employees, metal ore mining"""
CES1021220001,industry,NAICS/2122,,,measurementMethod,BLSSeasonallyAdjusted,,,name,"""All employees, metal ore mining"""
CEU1021230001,industry,NAICS/2123,,,measurementMethod,BLSSeasonallyUnadjusted,,,name,"""All employees, nonmetallic mineral mining and quarrying"""
CES1021230001,industry,NAICS/2123,,,measurementMethod,BLSSeasonallyAdjusted,,,name,"""All employees, nonmetallic mineral mining and quarrying"""
CEU1021300001,industry,NAICS/213,,,measurementMethod,BLSSeasonallyUnadjusted,,,name,"""All employees, support activities for mining"""
CES1021300001,industry,NAICS/213,,,measurementMethod,BLSSeasonallyAdjusted,,,name,"""All employees, support activities for mining"""
CEU2000000001,industry,NAICS/23,,,measurementMethod,BLSSeasonallyUnadjusted,,,name,"""All employees, construction"""
CES2000000001,industry,NAICS/23,,,measurementMethod,BLSSeasonallyAdjusted,,,name,"""All employees, construction"""
CEU2023600001,industry,NAICS/236,,,measurementMethod,BLSSeasonallyUnadjusted,,,name,"""All employees, construction of buildings"""
CES2023600001,industry,NAICS/236,,,measurementMethod,BLSSeasonallyAdjusted,,,name,"""All employees, construction of buildings"""
CEU2023610001,industry,NAICS/23611,,,measurementMethod,BLSSeasonallyUnadjusted,,,name,"""All employees, residential building construction"""
CES2023610001,industry,NAICS/23611,,,measurementMethod,BLSSeasonallyAdjusted,,,name,"""All employees, residential building construction"""
CEU2023620001,industry,NAICS/2362,,,measurementMethod,BLSSeasonallyUnadjusted,,,name,"""All employees, nonresidential building construction"""
CES2023620001,industry,NAICS/2362,,,measurementMethod,BLSSeasonallyAdjusted,,,name,"""All employees, nonresidential building construction"""
CEU2023700001,industry,NAICS/237,,,measurementMethod,BLSSeasonallyUnadjusted,,,name,"""All employees, heavy and civil engineering construction"""
CES2023700001,industry,NAICS/237,,,measurementMethod,BLSSeasonallyAdjusted,,,name,"""All employees, heavy and civil engineering construction"""
