"key","value"
"1:process_input_generated-svobs",64016
"1:process_input_generated-svobs-sb_ca_all_years_normalized.txt",64016
"1:process_input_input-data-rows",9402
"1:process_input_input-files-processed",1
"1:process_input_input-header-rows",1
"1:process_input_input-rows-processed",9429
"1:process_input_input-sections",1
"1:process_input_num-rows-input_files/sb_ca_all_years_normalized.txt",12201
"1:process_input_process-mem",4146962432
"1:process_input_process-mem-rss",1300381696
"1:process_input_process-time-sys-secs",6.64
"1:process_input_process-time-user-secs",100.32
"1:process_input_process_elapsed_time",54.71908008300014
"1:process_input_process_remaining_time",86.89243674650133
"1:process_input_processed",9429
"1:process_input_processing-input-rows-rate",172.31772023188162
"1:process_input_processing-input-rows-rate_input_files/sb_ca_all_years_normalized.txt",172.339548077672
"1:process_input_processing-time-seconds",54.71803651300024
"1:process_input_processing-time-seconds_input_files/sb_ca_all_years_normalized.txt",54.71803651300024
"1:process_input_processing_rate",172.31649336388162
"1:process_input_start_time",2028.288000167
"1:process_input_total",24402
"1:process_input_warning-unresolved-value-ref",6030
"2:prepare_output_process-mem",4149059584
"2:prepare_output_process-mem-rss",1302745088
"2:prepare_output_process-time-sys-secs",6.74
"2:prepare_output_process-time-user-secs",103.85
"2:prepare_output_process_elapsed_time",22.978151400999902
"2:prepare_output_processed",0
"2:prepare_output_start_time",2083.007294716
"3:write_statvar_mcf_process-mem",4151156736
"3:write_statvar_mcf_process-mem-rss",1305145344
"3:write_statvar_mcf_process-time-sys-secs",6.76
"3:write_statvar_mcf_process-time-user-secs",104.3
"3:write_statvar_mcf_process_elapsed_time",3.2742244069998176
"3:write_statvar_mcf_processed",0
"3:write_statvar_mcf_start_time",2105.985730112
"4:write_svobs_csv_process-mem",4151156736
"4:write_svobs_csv_process-mem-rss",1305145344
"4:write_svobs_csv_process-time-sys-secs",6.78
"4:write_svobs_csv_process-time-user-secs",105.71
"4:write_svobs_csv_process_elapsed_time",1.4304956909998305
"4:write_svobs_csv_processed",0
"4:write_svobs_csv_start_time",2109.260218805
"PVs-matched",826
"dropped-output-statvars-mcf",0
"error-node-merge-conflict",98
"existing-nodes-from-api",98
"existing-statvars-from-mcf",97531
"generated-statvars",110511
"generated-unique-statvars",110
"input-nodes-with-additions",98
"nodes-with-diff",98
"output-new-schema-mcf",0
"output-statvars-mcf",110
"output-svobs-csv-rows",64016
"output-svobs-unique-observationAbout",59
"output-svobs-unique-observationDate",10
"output-svobs-unique-scalingFactor",1
"output-svobs-unique-typeOf",1
"output-svobs-unique-unit",1
"output-svobs-unique-value",13532
"output-svobs-unique-variableMeasured",110
"process-mem",4100825088
"process-mem-rss",1254895616
"process-time-sys-secs",6.53
"process-time-user-secs",45.73
"process_elapsed_time",0.012378501000082542
"processed",110
"pvs-added",98
"pvs-added-definition",98
"pvs-modified",98
"pvs-modified-name",98
"recon-lookup-schema",13762
"recon-unmodified-nodes",64126
"spell-allowlist-file",1
"spell-allowlist-words",24
"spell-check-ignored-pvs",110
"spell-check-nodes",110
"spell-check-pvs",815
"start_time",2028.287452481
"svobs-added",64016
"total",110
"urls-allowlist",0
"warning-missing-property-key",1966010
