key,p1,v1,p2,v2,p3,v3
Florida,observationAbout,geoId/12,,,,
Degrees Awarded,value,{Number},measuredProperty,count,populationType,Person
Year,observationDate,{Data},,,,
Undergraduate,educationalAttainment,Undergraduate,,,,
Graduate,educationalAttainment,Graduate,,,,
Bachelors,educationalAttainment,BachelorDegree,,,,
Masters,educationalAttainment,MasterDegree,,,,
Doctorate: Research (ex. Ph.D.),educationalAttainment,DoctorateDegree,doctorateDegreeMajor,ResearchExcludingPhD,,
"Doctorate: Professional (ex. M.D., J.D.)",educationalAttainment,DoctorateDegree,doctorateDegreeMajor,ProfessionalExcludingMDAndJD,,
American Indian or Alaska Native,race,AmericanIndianOrAlaskaNative,,,,
Asian,race,Asian,,,,
Black or African American,race,BlackOrAfricanAmerican,,,,
Hispanic/Latino,race,HispanicOrLatino,,,,
Native Hawaiian or Other Pacific Islander,race,NativeHawaiianOrOtherPacificIslander,,,,
Nonresident Alien,race,NonResidentAlien,,,,
Race/Ethnicity Unknown,race,UnknownRace,,,,
Two or More Races,race,TwoOrMoreRaces,,,,
White,race,White,,,,
Female,gender,Female,,,,
Male,gender,Male,,,,
