key,property1,value1,property2,value2,property3,value3,property4,value4,property5,value5
unitid,#Format,observationAbout=ipedsId/{Data},populationType,Student
year,observationDate,{Number},,
enrollment_fall,measuredProperty,count,value,{Number},measurementQualifier,age

sex:1,gender,Male,,,
sex:2,gender,Female,,,
sex:3,gender,TransgenderOrGenderNonConforming,,
sex:4,#ignore,,
sex:9,gender,GenderUnknownOrNotStated,,
sex:99,#ignore,,,,

,,,,
age:9,age,AgeUnknown,,
age:10,age,[ - 18 Years],,
age:11,age,[18 24 Years],,
age:12,age,[25 39 Years],,
age:13,age,[40 - Years],,
age:21,age,[18 19 Years],,
age:22,age,[20 21 Years],,
age:23,age,[22 24 Years],,
age:24,age,[25 29 Years],,
age:25,age,[30 34 Years],,
age:26,age,[35 39 Years],,
age:27,age,[40 49 Years],,
age:28,age,[50 64 Years],,
age:29,age,[60 - Years],,
age:99,#ignore,,
,,,,
ftpt:1,enrollmentLevel,EnrolledFullTime,,
ftpt:2,enrollmentLevel,EnrolledPartTime,,
ftpt:99,#ignore,,
,,,,
level_of_study:1,educationalAttainment,UniversityGraduate,,
level_of_study:2,educationalAttainment,UniversityOrHigher,,
level_of_study:3,educationalAttainment,FirstProfessional,,
level_of_study:4,educationalAttainment,PostBaccalaureate,,
level_of_study:99,#ignore,,
,,,,
degree_seeking:0,studentDegreeStatus,NonDegreeSeeking,,
degree_seeking:1,studentDegreeStatus,DegreeSeeking,,
degree_seeking:99,#ignore,,
