key,p1,v1,p2,v2
,,,,
,,,,
year,observationDate,{Data},,
unitid,observationAbout,ipedsId/{Data},,
,,,,
,,,,
level_of_study:1,educationalAttainment,UniversityGraduate,,
level_of_study:2,educationalAttainment,UniversityOrHigher,,
level_of_study:3,educationalAttainment,FirstProfessional,,
level_of_study:4,educationalAttainment,PostBaccalaureate,,
,,,,
race:1,race,White,,,,,,
race:2,race,Black,,,,,,
race:3,race,HispanicOrLatino,,,,,,
race:4,race,Asian,,,,,,
race:5,race,AmericanIndianOrAlaskaNative,,,,,,
race:6,race,NativeHawaiianOrOtherPacificIslanderAlone,,,,,,
race:7,race,TwoOrMoreRaces,,,,,,
race:8,race,NonresidentAlien,,,,,,
race:9,race,UnknownRace,,,,,,
race:20,race,SomeOtherRaceAlone,,,,,,
,,,,
# Sex Mappings,,,,
sex:1,gender,Male,,
sex:2,gender,Female,,
Sex:3,gender,TransgenderOrGenderNonConforming,,
Sex:9,gender,GenderUnknownOrNotStated,,
,,,,
headcount,measuredProperty,count,populationType,Student,value,{Number}
