"NumPlaces","MeasurementMethods","ScalingFactors","MinDate","observationPeriods","Units","StatVar"
"1","[]","[]","1997-01-03","[]","[Percent]","InterestRate_FinancialInstrument_60Day_FinancialCommercialPaperAA"
"1","[]","[]","1970-01-02","[]","[PercentPerAnnum]","InterestRate_TreasuryBill_3Month_SecondaryMarket"
"1","[]","[]","2001-08-03","[]","[PercentPerAnnum]","InterestRate_TreasurySecurity_1Month_ConstantMaturity"
"1","[]","[]","1997-01-03","[]","[Percent]","InterestRate_FinancialInstrument_90Day_NonfinancialCommercialPaperAA"
"1","[]","[]","1970-01-02","[]","[PercentPerAnnum]","InterestRate_TreasurySecurity_20Year_ConstantMaturity"
"1","[]","[]","1976-06-04","[]","[PercentPerAnnum]","InterestRate_TreasurySecurity_2Year_ConstantMaturity"
"1","[]","[]","2000-01-07","[]","[PercentPerAnnum]","Mean_InterestRate_TreasurySecurity_10OrMoreYear_GovernmentSecurityLongTerm"
"1","[]","[]","1970-01-02","[]","[PercentPerAnnum]","InterestRate_TreasurySecurity_1Year_ConstantMaturity"
"1","[]","[]","1970-01-02","[]","[PercentPerAnnum]","InterestRate_TreasuryBill_6Month_SecondaryMarket"
"1","[]","[]","2003-01-03","[]","[PercentPerAnnum]","InterestRate_TreasurySecurity_5Year_ConstantMaturityInflationIndexed"
"1","[]","[]","1977-02-18","[]","[PercentPerAnnum]","InterestRate_TreasurySecurity_30Year_ConstantMaturity"
"1","[]","[]","1981-09-04","[]","[PercentPerAnnum]","InterestRate_TreasurySecurity_3Month_ConstantMaturity"
"1","[]","[]","1970-01-02","[]","[PercentPerAnnum]","InterestRate_TreasuryBill_1Year_SecondaryMarket"
"1","[]","[]","1997-01-03","[]","[Percent]","InterestRate_FinancialInstrument_90Day_FinancialCommercialPaperAA"
"1","[]","[]","2003-01-03","[]","[PercentPerAnnum]","InterestRate_TreasurySecurity_7Year_ConstantMaturityInflationIndexed"
"1","[]","[]","1970-01-02","[]","[PercentPerAnnum]","InterestRate_TreasurySecurity_3Year_ConstantMaturity"
"1","[]","[]","1997-01-03","[]","[Percent]","InterestRate_FinancialInstrument_30Day_NonfinancialCommercialPaperAA"
"1","[]","[]","2010-02-26","[]","[PercentPerAnnum]","InterestRate_TreasurySecurity_30Year_ConstantMaturityInflationIndexed"
"1","[]","[]","2003-01-03","[]","[PercentPerAnnum]","InterestRate_TreasurySecurity_10Year_ConstantMaturityInflationIndexed"
"1","[]","[]","1981-09-04","[]","[PercentPerAnnum]","InterestRate_TreasurySecurity_6Month_ConstantMaturity"
"1","[]","[]","2004-07-30","[]","[PercentPerAnnum]","InterestRate_TreasurySecurity_20Year_ConstantMaturityInflationIndexed"
"1","[]","[]","1997-01-03","[]","[Percent]","InterestRate_FinancialInstrument_60Day_NonfinancialCommercialPaperAA"
"1","[]","[]","1997-01-03","[]","[Percent]","InterestRate_FinancialInstrument_30Day_FinancialCommercialPaperAA"
"1","[]","[]","1970-01-02","[]","[PercentPerAnnum]","InterestRate_TreasurySecurity_10Year_ConstantMaturity"
"1","[]","[]","2001-08-03","[]","[PercentPerAnnum]","InterestRate_TreasuryBill_4Week_SecondaryMarket"
"1","[]","[]","1970-01-02","[]","[PercentPerAnnum]","InterestRate_TreasurySecurity_7Year_ConstantMaturity"
"1","[]","[]","1970-01-02","[]","[PercentPerAnnum]","InterestRate_TreasurySecurity_5Year_ConstantMaturity"
