"Units","observationPeriods","MinDate","ScalingFactors","StatVar","MeasurementMethods","NumPlaces"
"[]","[]","2021","[]","Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_Female_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_FourYear_Female_HBCU_Black","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_FourYear_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPublicCollegeOrGraduateSchool_FourYear_Female_HBCU_Black","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInCollegeOrGraduateSchool_Male_HBCU_Black","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInCollegeOrGraduateSchool_Female_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPublicCollegeOrGraduateSchool_TwoYear_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInCollegeOrGraduateSchool_Female_HBCU_Black","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPublicCollegeOrGraduateSchool_TwoYear_Female_HBCU_Black","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPublicCollegeOrGraduateSchool_Female_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPublicCollegeOrGraduateSchool_TwoYear_Female_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_TwoYear_Male_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPublicCollegeOrGraduateSchool_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPublicCollegeOrGraduateSchool_Male_HBCU_Black","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPublicCollegeOrGraduateSchool_FourYear_Male_HBCU_Black","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_TwoYear_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPublicCollegeOrGraduateSchool_FourYear_Female_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInCollegeOrGraduateSchool_Male_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInCollegeOrGraduateSchool_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_FourYear_Female_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPublicCollegeOrGraduateSchool_FourYear_Male_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPublicCollegeOrGraduateSchool_Female_HBCU_Black","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_TwoYear_Female_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPublicCollegeOrGraduateSchool_TwoYear_Male_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_FourYear_Male_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_TwoYear_Female_HBCU_Black","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPublicCollegeOrGraduateSchool_TwoYear_Male_HBCU_Black","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_Female_HBCU_Black","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_Male_HBCU_Black","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_TwoYear_Male_HBCU_Black","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_Male_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPublicCollegeOrGraduateSchool_FourYear_HBCU","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_FourYear_Male_HBCU_Black","[]","1"
"[]","[]","2021","[]","Count_Person_EnrolledInPublicCollegeOrGraduateSchool_Male_HBCU","[]","1"
