place_name,dcid
Albany,geoId/36001
Allegany,geoId/36003
Bronx,geoId/36005
Broome,geoId/36007
Cattaraugus,geoId/36009
Cayuga,geoId/36011
Chautauqua,geoId/36013
Chemung,geoId/36015
Chenango,geoId/36017
Clinton,geoId/36019
Columbia,geoId/36021
Cortland,geoId/36023
Delaware,geoId/36025
Dutchess,geoId/36027
Erie,geoId/36029
Essex,geoId/36031
Franklin,geoId/36033
Fulton,geoId/36035
Genesee,geoId/36037
Greene,geoId/36039
Hamilton,geoId/36041
Herkimer,geoId/36043
Jefferson,geoId/36045
Kings,geoId/36047
Lewis,geoId/36049
Livingston,geoId/36051
Madison,geoId/36053
Monroe,geoId/36055
Montgomery,geoId/36057
Nassau,geoId/36059
New York,geoId/36061
Niagara,geoId/36063
Oneida,geoId/36065
Onondaga,geoId/36067
Ontario,geoId/36069
Orange,geoId/36071
Orleans,geoId/36073
Oswego,geoId/36075
Otsego,geoId/36077
Putnam,geoId/36079
Queens,geoId/36081
Rensselaer,geoId/36083
Richmond,geoId/36085
Rockland,geoId/36087
Saratoga,geoId/36091
Schenectady,geoId/36093
Schoharie,geoId/36095
Schuyler,geoId/36097
Seneca,geoId/36099
St Lawrence,geoId/36089
Steuben,geoId/36101
Suffolk,geoId/36103
Sullivan,geoId/36105
Tioga,geoId/36107
Tompkins,geoId/36109
Ulster,geoId/36111
Warren,geoId/36113
Washington,geoId/36115
Wayne,geoId/36117
Westchester,geoId/36119
Wyoming,geoId/36121
Yates,geoId/36123
