"NumPlaces","observationPeriods","MinDate","MeasurementMethods","StatVar","ScalingFactors","Units"
"96352","[]","2016","[]","Count_Teacher_FullTimeEmployee","[]","[]"
"96354","[]","2016","[]","Count_Faculty_FullTimeEmployee_SchoolPsychologist","[]","[]"
"96352","[]","2016","[]","Count_Faculty_FullTimeEmployee_SchoolCounselor","[]","[]"
"96351","[]","2016","[]","Count_Teacher_CurrentSchoolYear","[]","[]"
"25423","[]","2016","[]","Count_Faculty_FullTimeEmployee_LawEnforcementOfficer","[]","[]"
"96353","[]","2016","[]","Count_Teacher_AbsentMoreThan10Days_FullTimeEmployee","[]","[]"
"96345","[]","2016","[]","Count_Teacher_FullTimeEmployee_FirstYear","[]","[]"
"96345","[]","2016","[]","Count_Teacher_FullTimeEmployee_SecondYear","[]","[]"
"96351","[]","2016","[]","Count_Teacher_Certified_FullTimeEmployee","[]","[]"
"96353","[]","2016","[]","Count_Faculty_FullTimeEmployee_SocialWorker","[]","[]"
"96353","[]","2016","[]","Count_Faculty_FullTimeEmployee_Nurse","[]","[]"
"96351","[]","2016","[]","Count_Teacher_PreviousSchoolYear","[]","[]"
"94511","[]","2016","[]","Count_Faculty_FullTimeEmployee_SecurityGuard","[]","[]"
"96351","[]","2016","[]","Count_Teacher_NotCertified_FullTimeEmployee","[]","[]"
