key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,,
,,,,,,,,,,,,
2018,observationDate,2018,value,{Number},measuredProperty,unemploymentRate,populationType,dcs:Person,employmentStatus,InLaborForce,age,[15 - Years]
2019,observationDate,2019,value,{Number},measuredProperty,unemploymentRate,populationType,dcs:Person,employmentStatus,InLaborForce,age,[15 - Years]
2020,observationDate,2020,value,{Number},measuredProperty,unemploymentRate,populationType,dcs:Person,employmentStatus,InLaborForce,age,[15 - Years]
2021,observationDate,2021,value,{Number},measuredProperty,unemploymentRate,populationType,dcs:Person,employmentStatus,InLaborForce,age,[15 - Years]
2022,observationDate,2022,value,{Number},measuredProperty,unemploymentRate,populationType,dcs:Person,employmentStatus,InLaborForce,age,[15 - Years]
2023,observationDate,2023,value,{Number},measuredProperty,unemploymentRate,populationType,dcs:Person,employmentStatus,InLaborForce,age,[15 - Years]
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
WHOLE COUNTRY,observationAbout,country/VNM,,,,,,,,,,
Red River Delta,observationAbout,wikidataId/Q342451,,,,,,,,,,
Ha Noi,observationAbout,wikidataId/Q1858,,,,,,,,,,
Vinh Phuc,observationAbout,wikidataId/Q27566,,,,,,,,,,
Bac Ninh,observationAbout,wikidataId/Q33408,,,,,,,,,,
Quang Ninh,observationAbout,wikidataId/Q33396,,,,,,,,,,
Hai Duong,observationAbout,wikidataId/Q36729,,,,,,,,,,
Hai Phong,observationAbout,wikidataId/Q72818,,,,,,,,,,
Hung Yen,observationAbout,wikidataId/Q36235,,,,,,,,,,
Thai Binh,observationAbout,wikidataId/Q36681,,,,,,,,,,
Ha Nam,observationAbout,wikidataId/Q36413,,,,,,,,,,
Nam Dinh,observationAbout,wikidataId/Q36907,,,,,,,,,,
Ninh Binh,observationAbout,wikidataId/Q36900,,,,,,,,,,
Northern midlands and mountain areas,observationAbout,,,,,,,,,,,
Ha Giang,observationAbout,wikidataId/Q36685,,,,,,,,,,
Cao Bang,observationAbout,wikidataId/Q36865,,,,,,,,,,
Bac Kan,observationAbout,wikidataId/Q36404,,,,,,,,,,
Tuyen Quang,observationAbout,wikidataId/Q2332060,,,,,,,,,,
Lao Cai,observationAbout,wikidataId/Q36446,,,,,,,,,,
Yen Bai,observationAbout,wikidataId/Q36349,,,,,,,,,,
Thai  Nguyen,observationAbout,wikidataId/Q26575,,,,,,,,,,
Lang Son,observationAbout,wikidataId/Q33403,,,,,,,,,,
Bac Giang,observationAbout,wikidataId/Q36367,,,,,,,,,,
Phu Tho,observationAbout,wikidataId/Q36610,,,,,,,,,,
Dien Bien,observationAbout,wikidataId/Q36955,,,,,,,,,,
Lai Chau,observationAbout,wikidataId/Q10507824,,,,,,,,,,
Son La,observationAbout,wikidataId/Q33379,,,,,,,,,,
Hoa Binh,observationAbout,wikidataId/Q36015,,,,,,,,,,
Northern Central area and Central coastal area,observationAbout,wikidataId/Q1022242,,,,,,,,,,
Thanh Hoa,observationAbout,wikidataId/Q36512,,,,,,,,,,
Nghe An,observationAbout,wikidataId/Q36587,,,,,,,,,,
Ha Tinh,observationAbout,wikidataId/Q33351,,,,,,,,,,
Quang Binh,observationAbout,wikidataId/Q23533,,,,,,,,,,
Quang Tri,observationAbout,wikidataId/Q36579,,,,,,,,,,
Thua Thien-Hue,observationAbout,wikidataId/Q36399,,,,,,,,,,
Da Nang,observationAbout,wikidataId/Q25282,,,,,,,,,,
Quang  Nam,observationAbout,wikidataId/Q33356,,,,,,,,,,
Quang  Ngai,observationAbout,wikidataId/Q33304,,,,,,,,,,
Binh Dinh,observationAbout,wikidataId/Q36693,,,,,,,,,,
Phu Yen,observationAbout,wikidataId/Q36725,,,,,,,,,,
Khanh  Hoa,observationAbout,wikidataId/Q33369,,,,,,,,,,
Ninh  Thuan,observationAbout,wikidataId/Q36903,,,,,,,,,,
Binh Thuan,observationAbout,wikidataId/Q36869,,,,,,,,,,
Central Highlands,observationAbout,wikidataId/Q1140648,,,,,,,,,,
Kon Tum,observationAbout,wikidataId/Q36315,,,,,,,,,,
Gia Lai,observationAbout,wikidataId/Q36662,,,,,,,,,,
Dak Lak,observationAbout,wikidataId/Q36690,,,,,,,,,,
Dak Nong,observationAbout,wikidataId/Q36723,,,,,,,,,,
Lam Dong,observationAbout,wikidataId/Q36721,,,,,,,,,,
South East,observationAbout,wikidataId/Q1068987,,,,,,,,,,
Binh Phuoc,observationAbout,wikidataId/Q36672,,,,,,,,,,
Tay Ninh,observationAbout,wikidataId/Q36608,,,,,,,,,,
Binh  Duong,observationAbout,wikidataId/Q36866,,,,,,,,,,
Dong Nai,observationAbout,wikidataId/Q33271,,,,,,,,,,
Ba Ria - Vung Tau,observationAbout,wikidataId/Q36874,,,,,,,,,,
Ho Chi Minh city,observationAbout,wikidataId/Q1854,,,,,,,,,,
Mekong River Delta,observationAbout,wikidataId/Q1052867,,,,,,,,,,
Long An,observationAbout,wikidataId/Q26573,,,,,,,,,,
Tien Giang,observationAbout,wikidataId/Q36666,,,,,,,,,,
Ben Tre,observationAbout,wikidataId/Q33366,,,,,,,,,,
Tra Vinh,observationAbout,wikidataId/Q36615,,,,,,,,,,
Vinh Long,observationAbout,wikidataId/Q7333405,,,,,,,,,,
Dong Thap,observationAbout,wikidataId/Q36676,,,,,,,,,,
An Giang,observationAbout,wikidataId/Q36592,,,,,,,,,,
Kien  Giang,observationAbout,wikidataId/Q36576,,,,,,,,,,
Can Tho,observationAbout,wikidataId/Q216075,,,,,,,,,,
Hau Giang,observationAbout,wikidataId/Q36320,,,,,,,,,,
Soc Trang,observationAbout,wikidataId/Q33272,,,,,,,,,,
Bac Lieu,observationAbout,wikidataId/Q36658,,,,,,,,,,
Ca Mau,observationAbout,wikidataId/Q33354,,,,,,,,,,
Ha Tay,observationAbout,wikidataId/Q1077294,,,,,,,,,,
