observationDate,observationAbout,value,observationPeriod,measurementMethod
2000,dcid:wikidataId/Q165376,745000,P1Y,WorldBankSubnationalPopulationEstimate
2001,dcid:wikidataId/Q165376,774000,P1Y,WorldBankSubnationalPopulationEstimate
2002,dcid:wikidataId/Q165376,809000,P1Y,WorldBankSubnationalPopulationEstimate
2003,dcid:wikidataId/Q165376,846000,P1Y,WorldBankSubnationalPopulationEstimate
2004,dcid:wikidataId/Q165376,882000,P1Y,WorldBankSubnationalPopulationEstimate
2005,dcid:wikidataId/Q165376,914000,P1Y,WorldBankSubnationalPopulationEstimate
2006,dcid:wikidataId/Q165376,944000,P1Y,WorldBankSubnationalPopulationEstimate
2007,dcid:wikidataId/Q165376,970000,P1Y,WorldBankSubnationalPopulationEstimate
2008,dcid:wikidataId/Q165376,985000,P1Y,WorldBankSubnationalPopulationEstimate
2009,dcid:wikidataId/Q165376,1008000,P1Y,WorldBankSubnationalPopulationEstimate
2010,dcid:wikidataId/Q165376,1033000,P1Y,WorldBankSubnationalPopulationEstimate
2011,dcid:wikidataId/Q165376,1061000,P1Y,WorldBankSubnationalPopulationEstimate
2012,dcid:wikidataId/Q165376,1093000,P1Y,WorldBankSubnationalPopulationEstimate
2013,dcid:wikidataId/Q165376,1126000,P1Y,WorldBankSubnationalPopulationEstimate
2014,dcid:wikidataId/Q165376,1158000,P1Y,WorldBankSubnationalPopulationEstimate
2015,dcid:wikidataId/Q165376,1188000,P1Y,WorldBankSubnationalPopulationEstimate
2016,dcid:wikidataId/Q165376,1216000,P1Y,WorldBankSubnationalPopulationEstimate
2000,dcid:wikidataId/Q172052,389000,P1Y,WorldBankSubnationalPopulationEstimate
2001,dcid:wikidataId/Q172052,404000,P1Y,WorldBankSubnationalPopulationEstimate
2002,dcid:wikidataId/Q172052,422000,P1Y,WorldBankSubnationalPopulationEstimate
2003,dcid:wikidataId/Q172052,442000,P1Y,WorldBankSubnationalPopulationEstimate
2004,dcid:wikidataId/Q172052,460000,P1Y,WorldBankSubnationalPopulationEstimate
2005,dcid:wikidataId/Q172052,477000,P1Y,WorldBankSubnationalPopulationEstimate
2006,dcid:wikidataId/Q172052,493000,P1Y,WorldBankSubnationalPopulationEstimate
2007,dcid:wikidataId/Q172052,506000,P1Y,WorldBankSubnationalPopulationEstimate
2008,dcid:wikidataId/Q172052,514000,P1Y,WorldBankSubnationalPopulationEstimate
2009,dcid:wikidataId/Q172052,526000,P1Y,WorldBankSubnationalPopulationEstimate
2010,dcid:wikidataId/Q172052,539000,P1Y,WorldBankSubnationalPopulationEstimate
2011,dcid:wikidataId/Q172052,554000,P1Y,WorldBankSubnationalPopulationEstimate
2012,dcid:wikidataId/Q172052,570000,P1Y,WorldBankSubnationalPopulationEstimate
2013,dcid:wikidataId/Q172052,587000,P1Y,WorldBankSubnationalPopulationEstimate
2014,dcid:wikidataId/Q172052,604000,P1Y,WorldBankSubnationalPopulationEstimate
2015,dcid:wikidataId/Q172052,620000,P1Y,WorldBankSubnationalPopulationEstimate
2016,dcid:wikidataId/Q172052,634000,P1Y,WorldBankSubnationalPopulationEstimate
2000,dcid:wikidataId/Q170309,701000,P1Y,WorldBankSubnationalPopulationEstimate
2001,dcid:wikidataId/Q170309,730000,P1Y,WorldBankSubnationalPopulationEstimate
2002,dcid:wikidataId/Q170309,763000,P1Y,WorldBankSubnationalPopulationEstimate
2003,dcid:wikidataId/Q170309,799000,P1Y,WorldBankSubnationalPopulationEstimate
2004,dcid:wikidataId/Q170309,834000,P1Y,WorldBankSubnationalPopulationEstimate
2005,dcid:wikidataId/Q170309,865000,P1Y,WorldBankSubnationalPopulationEstimate
2006,dcid:wikidataId/Q170309,893000,P1Y,WorldBankSubnationalPopulationEstimate
2007,dcid:wikidataId/Q170309,918000,P1Y,WorldBankSubnationalPopulationEstimate
2008,dcid:wikidataId/Q170309,935000,P1Y,WorldBankSubnationalPopulationEstimate
2009,dcid:wikidataId/Q170309,958000,P1Y,WorldBankSubnationalPopulationEstimate
2010,dcid:wikidataId/Q170309,983000,P1Y,WorldBankSubnationalPopulationEstimate
2011,dcid:wikidataId/Q170309,1011000,P1Y,WorldBankSubnationalPopulationEstimate
2012,dcid:wikidataId/Q170309,1042000,P1Y,WorldBankSubnationalPopulationEstimate
2013,dcid:wikidataId/Q170309,1075000,P1Y,WorldBankSubnationalPopulationEstimate
2014,dcid:wikidataId/Q170309,1106000,P1Y,WorldBankSubnationalPopulationEstimate
2015,dcid:wikidataId/Q170309,1137000,P1Y,WorldBankSubnationalPopulationEstimate
2016,dcid:wikidataId/Q170309,1164000,P1Y,WorldBankSubnationalPopulationEstimate
2000,dcid:wikidataId/Q121104,969000,P1Y,WorldBankSubnationalPopulationEstimate
2001,dcid:wikidataId/Q121104,1013000,P1Y,WorldBankSubnationalPopulationEstimate
2002,dcid:wikidataId/Q121104,1063000,P1Y,WorldBankSubnationalPopulationEstimate
2003,dcid:wikidataId/Q121104,1117000,P1Y,WorldBankSubnationalPopulationEstimate
2004,dcid:wikidataId/Q121104,1170000,P1Y,WorldBankSubnationalPopulationEstimate
2005,dcid:wikidataId/Q121104,1217000,P1Y,WorldBankSubnationalPopulationEstimate
2006,dcid:wikidataId/Q121104,1257000,P1Y,WorldBankSubnationalPopulationEstimate
2007,dcid:wikidataId/Q121104,1292000,P1Y,WorldBankSubnationalPopulationEstimate
2008,dcid:wikidataId/Q121104,1330000,P1Y,WorldBankSubnationalPopulationEstimate
2009,dcid:wikidataId/Q121104,1364000,P1Y,WorldBankSubnationalPopulationEstimate
2010,dcid:wikidataId/Q121104,1403000,P1Y,WorldBankSubnationalPopulationEstimate
2011,dcid:wikidataId/Q121104,1449000,P1Y,WorldBankSubnationalPopulationEstimate
2012,dcid:wikidataId/Q121104,1498000,P1Y,WorldBankSubnationalPopulationEstimate
2013,dcid:wikidataId/Q121104,1549000,P1Y,WorldBankSubnationalPopulationEstimate
2014,dcid:wikidataId/Q121104,1600000,P1Y,WorldBankSubnationalPopulationEstimate
2015,dcid:wikidataId/Q121104,1649000,P1Y,WorldBankSubnationalPopulationEstimate
2016,dcid:wikidataId/Q121104,1695000,P1Y,WorldBankSubnationalPopulationEstimate
2000,dcid:wikidataId/Q171382,351000,P1Y,WorldBankSubnationalPopulationEstimate
2001,dcid:wikidataId/Q171382,365000,P1Y,WorldBankSubnationalPopulationEstimate
2002,dcid:wikidataId/Q171382,381000,P1Y,WorldBankSubnationalPopulationEstimate
2003,dcid:wikidataId/Q171382,398000,P1Y,WorldBankSubnationalPopulationEstimate
2004,dcid:wikidataId/Q171382,415000,P1Y,WorldBankSubnationalPopulationEstimate
